"106年06月12日 外資及陸資買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","3481  ","群創            ","18,759,354","10,766,000","7,993,354",
" ","6116  ","彩晶            ","8,106,000","554,000","7,552,000",
"*","3231  ","緯創            ","9,213,646","3,381,000","5,832,646",
" ","2345  ","智邦            ","6,365,000","1,130,000","5,235,000",
" ",="00632R","元大台灣50反1   ","4,945,000","0","4,945,000",
" ","2633  ","台灣高鐵        ","4,618,000","1,020,000","3,598,000",
" ","2352  ","佳世達          ","4,868,000","2,306,000","2,562,000",
" ","2356  ","英業達          ","7,965,798","5,856,000","2,109,798",
" ","1902  ","台紙            ","2,117,000","157,000","1,960,000",
" ","2886  ","兆豐金          ","8,770,468","6,995,515","1,774,953",
" ","1312  ","國喬            ","2,279,000","575,000","1,704,000",
" ","2337  ","旺宏            ","12,011,000","10,365,000","1,646,000",
" ","2344  ","華邦電          ","3,375,000","2,095,000","1,280,000",
" ","2409  ","友達            ","10,147,450","8,870,000","1,277,450",
" ","8112  ","至上            ","1,353,000","238,000","1,115,000",
" ","2371  ","大同            ","2,147,000","1,105,000","1,042,000",
" ","1605  ","華新            ","2,982,000","2,001,000","981,000",
" ","1504  ","東元            ","2,856,828","1,881,000","975,828",
" ","2454  ","聯發科          ","3,172,093","2,200,000","972,093",
" ","2049  ","上銀            ","984,902","117,000","867,902",
" ","1210  ","大成            ","994,000","146,000","848,000",
" ","1447  ","力鵬            ","839,000","17,000","822,000",
" ","2820  ","華票            ","841,000","38,000","803,000",
" ","1305  ","華夏            ","1,052,000","289,000","763,000",
" ","1314  ","中石化          ","1,003,000","243,000","760,000",
" ","2014  ","中鴻            ","925,000","186,000","739,000",
" ","5871  ","中租-KY         ","1,124,000","385,000","739,000",
" ","4915  ","致伸            ","1,166,000","430,000","736,000",
" ","3044  ","健鼎            ","844,000","200,000","644,000",
" ","3653  ","健策            ","655,000","23,000","632,000",
" ","1227  ","佳格            ","1,507,492","917,000","590,492",
" ","2449  ","京元電子        ","2,286,000","1,713,000","573,000",
" ","2481  ","強茂            ","570,000","1,000","569,000",
" ","2882  ","國泰金          ","6,031,273","5,473,979","557,294",
" ","2421  ","建準            ","1,837,000","1,283,000","554,000",
" ","1455  ","集盛            ","593,000","46,000","547,000",
" ",="00664R","國泰臺灣加權反1 ","541,000","10,000","531,000",
" ","2426  ","鼎元            ","793,000","277,000","516,000",
" ","3576  ","新日光          ","527,000","11,000","516,000",
" ","1568  ","倉佑            ","540,000","46,000","494,000",
" ","2379  ","瑞昱            ","997,000","503,000","494,000",
" ","2727  ","王品            ","528,000","38,000","490,000",
" ",="00672L","元大S&P原油正2  ","489,000","1,000","488,000",
" ","6176  ","瑞儀            ","1,007,000","534,000","473,000",
" ","2889  ","國票金          ","462,000","11,000","451,000",
" ","2504  ","國產            ","1,067,000","622,000","445,000",
" ","1905  ","華紙            ","541,000","98,000","443,000",
" ","6285  ","啟碁            ","649,000","207,000","442,000",
" ","3596  ","智易            ","480,000","40,000","440,000",
" ","1215  ","卜蜂            ","1,197,000","759,000","438,000",
" ","1452  ","宏益            ","448,000","15,000","433,000",
" ","2809  ","京城銀          ","796,000","363,000","433,000",
" ","2325  ","矽品            ","2,621,806","2,205,502","416,304",
" ",="01003T","兆豐新光R1      ","452,000","38,000","414,000",
" ","9934  ","成霖            ","649,000","242,000","407,000",
" ","1582  ","信錦            ","439,000","40,000","399,000",
" ","6412  ","群電            ","794,000","409,000","385,000",
" ","2369  ","菱生            ","428,000","65,000","363,000",
" ","5305  ","敦南            ","398,000","36,000","362,000",
" ","3042  ","晶技            ","378,000","29,000","349,000",
" ","2404  ","漢唐            ","346,000","2,000","344,000",
" ","3019  ","亞光            ","527,000","192,000","335,000",
" ","3032  ","偉訓            ","522,000","198,000","324,000",
" ","3049  ","和鑫            ","349,000","25,000","324,000",
" ","2327  ","國巨            ","1,007,500","704,000","303,500",
" ","2324  ","仁寶            ","4,071,766","3,779,704","292,062",
" ","1909  ","榮成            ","1,509,000","1,221,000","288,000",
" ","3037  ","欣興            ","999,000","728,000","271,000",
" ","4984  ","科納-KY         ","287,000","24,000","263,000",
" ","2355  ","敬鵬            ","472,000","229,000","243,000",
" ","2823  ","中壽            ","4,704,462","4,464,000","240,462",
" ","2340  ","光磊            ","325,000","93,000","232,000",
" ","2812  ","台中銀          ","257,000","25,000","232,000",
" ","6192  ","巨路            ","248,000","16,000","232,000",
" ","2392  ","正崴            ","276,000","51,000","225,000",
" ","2455  ","全新            ","237,000","12,000","225,000",
" ","3014  ","聯陽            ","254,000","34,000","220,000",
" ","3532  ","台勝科          ","210,932","2,000","208,932",
" ",="00643 ","群益深証中小    ","200,000","0","200,000",
" ","2206  ","三陽工業        ","228,000","32,000","196,000",
" ","3673  ","TPK-KY          ","774,000","586,000","188,000",
" ","2031  ","新光鋼          ","211,000","27,000","184,000",
" ","2606  ","裕民            ","260,000","77,000","183,000",
" ","3376  ","新日興          ","292,000","115,000","177,000",
" ","2439  ","美律            ","551,000","375,000","176,000",
" ","2913  ","農林            ","200,000","24,000","176,000",
"*","2474  ","可成            ","2,084,662","1,910,000","174,662",
" ","3437  ","榮創            ","209,000","36,000","173,000",
" ","2023  ","燁輝            ","808,000","642,000","166,000",
" ","2413  ","環科            ","201,000","35,000","166,000",
" ","6165  ","捷泰            ","287,000","121,000","166,000",
" ","2227  ","裕日車          ","184,000","22,000","162,000",
" ","2908  ","特力            ","193,000","31,000","162,000",
" ","3035  ","智原            ","308,000","147,000","161,000",
" ","3698  ","隆達            ","430,000","272,000","158,000",
" ","6205  ","詮欣            ","163,000","5,000","158,000",
" ","5880  ","合庫金          ","4,993,870","4,843,000","150,870",
" ","2373  ","震旦行          ","171,000","22,000","149,000",
" ","2534  ","宏盛            ","149,000","5,000","144,000",
" ","1507  ","永大            ","272,000","130,000","142,000",
" ","2637  ","慧洋-KY         ","342,000","200,000","142,000",
" ","8163  ","達方            ","205,000","69,000","136,000",
" ","6257  ","矽格            ","195,000","62,000","133,000",
" ",="00677U","富邦VIX         ","1,000,000","869,000","131,000",
" ","2444  ","友旺            ","187,000","61,000","126,000",
" ","1730  ","花仙子          ","126,000","1,000","125,000",
" ","2363  ","矽統            ","124,000","5,000","119,000",
" ","6005  ","群益證          ","185,000","66,000","119,000",
" ","1464  ","得力            ","133,000","15,000","118,000",
" ","6282  ","康舒            ","147,000","32,000","115,000",
" ","8215  ","明基材          ","265,000","150,000","115,000",
" ","8429  ","金麗-KY         ","141,000","29,000","112,000",
" ","8039  ","台虹            ","114,000","5,000","109,000",
" ","5469  ","瀚宇博          ","402,000","298,000","104,000",
" ","1904  ","正隆            ","251,000","149,000","102,000",
" ","3704  ","合勤控          ","115,000","16,000","99,000",
" ","2607  ","榮運            ","99,000","3,000","96,000",
" ","2841  ","台開            ","138,000","42,000","96,000",
" ","1560  ","中砂            ","115,000","20,000","95,000",
" ","3018  ","同開            ","105,000","11,000","94,000",
" ","9921  ","巨大            ","501,724","408,000","93,724",
" ","1308  ","亞聚            ","95,000","2,000","93,000",
" ",="057538","群電元大69購01  ","90,000","0","90,000",
" ","2457  ","飛宏            ","187,000","103,000","84,000",
" ","2359  ","所羅門          ","117,000","35,000","82,000",
" ","2547  ","日勝生          ","218,000","136,000","82,000",
" ","2748  ","雲品            ","81,000","0","81,000",
" ","3006  ","晶豪科          ","525,000","444,000","81,000",
" ","6269  ","台郡            ","832,000","751,000","81,000",
" ",="054917","和大兆豐67購02  ","80,000","0","80,000",
" ","5388  ","中磊            ","187,000","109,000","78,000",
" ","1229  ","聯華            ","153,000","76,000","77,000",
" ","2332  ","友訊            ","198,000","121,000","77,000",
" ","2897  ","王道銀行        ","122,000","46,000","76,000",
" ","2723  ","美食-KY         ","143,000","69,000","74,000",
" ","2405  ","浩鑫            ","106,000","34,000","72,000",
" ","2731  ","雄獅            ","102,000","30,000","72,000",
" ","6139  ","亞翔            ","80,000","8,000","72,000",
" ","1304  ","台聚            ","150,000","82,000","68,000",
" ","1590  ","亞德客-KY       ","388,000","323,464","64,536",
" ","3041  ","揚智            ","118,000","54,000","64,000",
" ","2535  ","達欣工          ","122,000","59,000","63,000",
" ","3062  ","建漢            ","100,000","38,000","62,000",
" ","3665  ","貿聯-KY         ","303,000","245,000","58,000",
" ",="006207","FH滬深          ","56,000","0","56,000",
" ",="00634R","富邦上証反1     ","66,000","10,000","56,000",
" ","8016  ","矽創            ","399,000","343,000","56,000",
" ","1723  ","中碳            ","80,000","25,000","55,000",
" ","2387  ","精元            ","87,000","32,000","55,000",
" ","2636  ","台驊投控        ","65,496","11,000","54,496",
" ","2390  ","云辰            ","61,000","7,000","54,000",
" ","2030  ","彰源            ","54,000","1,000","53,000",
" ","2461  ","光群雷          ","55,000","3,000","52,000",
" ","3057  ","喬鼎            ","57,000","5,000","52,000",
" ","6552  ","易華電          ","52,000","0","52,000",
" ","3450  ","聯鈞            ","141,000","90,000","51,000",
" ","1442  ","名軒            ","50,000","0","50,000",
" ","3022  ","威強電          ","82,000","32,000","50,000",
" ","5515  ","建國            ","50,000","0","50,000",
" ","2062  ","橋椿            ","52,000","3,000","49,000",
" ","6145  ","勁永            ","107,000","58,000","49,000",
" ","1338  ","廣華-KY         ","68,000","20,000","48,000",
" ","1309  ","台達化          ","83,000","36,000","47,000",
" ","8213  ","志超            ","56,000","9,000","47,000",
" ","1817  ","凱撒衛          ","56,000","10,000","46,000",
" ","3002  ","歐格            ","49,000","3,000","46,000",
" ","1453  ","大將            ","98,000","53,000","45,000",
" ","2368  ","金像電          ","175,000","130,000","45,000",
" ","5234  ","達興材料        ","52,000","7,000","45,000",
" ","2417  ","圓剛            ","46,000","2,000","44,000",
" ","6141  ","柏承            ","46,000","2,000","44,000",
" ","6197  ","佳必琪          ","57,000","13,000","44,000",
" ","8110  ","華東            ","187,000","144,000","43,000",
