"106年08月15日 外資及陸資買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2603  ","長榮            ","35,654,000","3,446,400","32,207,600",
" ","2610  ","華航            ","26,537,000","1,739,671","24,797,329",
" ","6116  ","彩晶            ","25,469,000","5,456,000","20,013,000",
"*","1216  ","統一            ","12,446,000","5,059,715","7,386,285",
" ","2303  ","聯電            ","38,617,000","31,344,000","7,273,000",
" ","1312  ","國喬            ","8,618,000","2,407,000","6,211,000",
" ","3041  ","揚智            ","5,878,000","41,000","5,837,000",
" ","2609  ","陽明            ","8,324,000","2,590,100","5,733,900",
" ","2823  ","中壽            ","6,542,000","1,709,000","4,833,000",
" ",="00637L","元大滬深300正2  ","7,222,000","3,084,000","4,138,000",
" ","2618  ","長榮航          ","5,645,000","1,653,000","3,992,000",
"*","2317  ","鴻海            ","10,145,457","6,723,068","3,422,389",
" ","1303  ","南亞            ","3,569,000","733,136","2,835,864",
" ","2313  ","華通            ","5,932,000","3,372,000","2,560,000",
" ","2481  ","強茂            ","2,688,000","131,000","2,557,000",
" ","2376  ","技嘉            ","2,440,000","185,000","2,255,000",
" ","2892  ","第一金          ","5,455,200","3,339,000","2,116,200",
" ",="04612P","綠悅群益72售01  ","1,900,000","0","1,900,000",
" ","2448  ","晶電            ","2,382,000","574,000","1,808,000",
" ","2405  ","浩鑫            ","2,290,000","652,000","1,638,000",
" ","3036  ","文曄            ","1,813,000","234,000","1,579,000",
" ","2606  ","裕民            ","1,567,000","26,000","1,541,000",
" ",="00673R","元大S&P原油反1  ","1,463,000","0","1,463,000",
" ","2345  ","智邦            ","1,722,000","286,000","1,436,000",
" ","1477  ","聚陽            ","1,467,000","87,000","1,380,000",
" ","2881  ","富邦金          ","3,857,000","2,518,388","1,338,612",
" ","2883  ","開發金          ","4,011,000","2,674,000","1,337,000",
" ","2915  ","潤泰全          ","2,008,000","741,000","1,267,000",
" ","3673  ","TPK-KY          ","1,826,000","615,000","1,211,000",
" ","2885  ","元大金          ","2,512,000","1,324,000","1,188,000",
" ","2633  ","台灣高鐵        ","1,309,000","208,000","1,101,000",
" ","5388  ","中磊            ","1,372,000","306,000","1,066,000",
" ","1802  ","台玻            ","1,274,000","222,000","1,052,000",
" ","2412  ","中華電          ","1,352,000","349,207","1,002,793",
" ","8039  ","台虹            ","1,082,000","87,000","995,000",
" ","2891  ","中信金          ","6,470,000","5,595,016","874,984",
" ","6176  ","瑞儀            ","3,401,000","2,531,000","870,000",
" ","2049  ","上銀            ","1,335,565","482,000","853,565",
" ","1909  ","榮成            ","1,197,571","354,000","843,571",
" ","6269  ","台郡            ","1,096,317","283,000","813,317",
" ","3682  ","亞太電          ","992,000","195,000","797,000",
" ","3035  ","智原            ","819,000","46,000","773,000",
" ","1515  ","力山            ","807,000","39,000","768,000",
" ","2449  ","京元電子        ","1,240,000","512,000","728,000",
"*","2353  ","宏碁            ","3,666,000","2,944,000","722,000",
"*","2330  ","台積電          ","8,767,235","8,049,890","717,345",
" ","5521  ","工信            ","699,000","7,000","692,000",
" ","5871  ","中租-KY         ","2,194,000","1,509,371","684,629",
" ","3665  ","貿聯-KY         ","952,000","272,000","680,000",
" ","2419  ","仲琦            ","685,000","39,000","646,000",
" ","2204  ","中華            ","792,000","156,000","636,000",
" ","3406  ","玉晶光          ","642,000","33,000","609,000",
" ","2882  ","國泰金          ","3,339,000","2,731,781","607,219",
" ","2360  ","致茂            ","949,000","356,000","593,000",
" ","1262  ","綠悅-KY         ","879,000","295,000","584,000",
" ","8341  ","日友            ","538,000","14,000","524,000",
"*","2382  ","廣達            ","4,382,000","3,867,800","514,200",
" ","1305  ","華夏            ","1,087,000","589,000","498,000",
" ","2615  ","萬海            ","558,000","63,000","495,000",
" ","1582  ","信錦            ","544,000","59,000","485,000",
" ",="0050  ","元大台灣50      ","461,073","13,000","448,073",
" ","3645  ","達邁            ","611,000","169,000","442,000",
" ","2340  ","光磊            ","625,000","189,000","436,000",
" ","6271  ","同欣電          ","1,097,000","700,420","396,580",
" ","3017  ","奇鋐            ","432,000","48,000","384,000",
" ","1907  ","永豐餘          ","506,000","124,000","382,000",
" ","1718  ","中纖            ","743,000","367,000","376,000",
" ","3060  ","銘異            ","437,000","67,000","370,000",
" ","2355  ","敬鵬            ","655,000","290,000","365,000",
" ","2383  ","台光電          ","800,000","438,000","362,000",
" ","3019  ","亞光            ","536,000","184,845","351,155",
" ","3005  ","神基            ","874,000","535,000","339,000",
" ","3380  ","明泰            ","950,000","617,000","333,000",
"*","3044  ","健鼎            ","2,208,000","1,877,000","331,000",
" ","3443  ","創意            ","755,000","424,000","331,000",
" ","4977  ","眾達-KY         ","390,000","60,000","330,000",
" ","1512  ","瑞利            ","513,000","188,000","325,000",
" ","4906  ","正文            ","1,124,000","826,000","298,000",
" ","2351  ","順德            ","423,000","130,000","293,000",
" ","3515  ","華擎            ","444,000","156,000","288,000",
" ","3059  ","華晶科          ","1,230,000","944,000","286,000",
" ","3308  ","聯德            ","283,000","0","283,000",
" ","3413  ","京鼎            ","284,000","9,000","275,000",
" ","2457  ","飛宏            ","332,000","58,000","274,000",
" ","1605  ","華新            ","1,040,000","771,000","269,000",
" ","3167  ","大量            ","257,000","0","257,000",
" ","9933  ","中鼎            ","424,000","167,000","257,000",
" ","4551  ","智伸科          ","259,000","4,000","255,000",
" ","4934  ","太極            ","269,000","15,000","254,000",
" ","2359  ","所羅門          ","292,000","43,000","249,000",
" ",="00640L","富邦日本正2     ","241,000","0","241,000",
" ","1710  ","東聯            ","1,041,000","800,000","241,000",
" ","2347  ","聯強            ","665,000","425,000","240,000",
" ","2030  ","彰源            ","375,000","139,000","236,000",
" ","4137  ","麗豐-KY         ","339,000","111,000","228,000",
" ","3504  ","揚明光          ","258,000","31,000","227,000",
" ","6215  ","和椿            ","250,000","23,000","227,000",
" ","3661  ","世芯-KY         ","540,000","314,000","226,000",
" ","2515  ","中工            ","268,000","44,000","224,000",
" ","2486  ","一詮            ","242,000","23,000","219,000",
" ","2889  ","國票金          ","727,000","508,000","219,000",
" ","3450  ","聯鈞            ","353,000","134,000","219,000",
" ","3596  ","智易            ","336,000","117,000","219,000",
" ","6141  ","柏承            ","217,000","0","217,000",
" ","1560  ","中砂            ","272,000","60,000","212,000",
" ","2727  ","王品            ","222,000","11,000","211,000",
" ","4141  ","龍燈-KY         ","213,000","2,000","211,000",
" ","2316  ","楠梓電          ","522,000","313,000","209,000",
" ","2845  ","遠東銀          ","430,000","224,000","206,000",
" ","8163  ","達方            ","269,000","68,000","201,000",
" ","3561  ","昇陽光電        ","231,000","32,000","199,000",
" ","1609  ","大亞            ","201,000","7,000","194,000",
" ","2809  ","京城銀          ","518,000","325,000","193,000",
" ","3706  ","神達            ","393,000","203,000","190,000",
" ","9938  ","百和            ","348,000","159,000","189,000",
" ","3545  ","敦泰            ","583,000","396,000","187,000",
" ",="00633L","富邦上証正2     ","2,015,000","1,829,000","186,000",
"*","6415  ","矽力-KY         ","294,000","108,007","185,993",
" ","3003  ","健和興          ","222,000","41,000","181,000",
" ","3535  ","晶彩科          ","187,000","7,000","180,000",
" ","2467  ","志聖            ","171,000","2,000","169,000",
" ","2451  ","創見            ","342,000","174,000","168,000",
" ","3034  ","聯詠            ","783,000","618,000","165,000",
" ","2373  ","震旦行          ","164,000","0","164,000",
" ","2707  ","晶華            ","198,000","38,000","160,000",
" ",="006207","FH滬深          ","159,000","0","159,000",
" ","2436  ","偉詮電          ","379,000","220,000","159,000",
" ","2406  ","國碩            ","536,000","378,000","158,000",
" ","2475  ","華映            ","158,000","0","158,000",
" ","1507  ","永大            ","194,000","37,000","157,000",
" ","1730  ","花仙子          ","160,000","3,000","157,000",
" ","1513  ","中興電          ","157,000","2,000","155,000",
" ",="006206","元大上證50      ","187,000","34,000","153,000",
" ",="00635U","元大S&P黃金     ","153,000","0","153,000",
" ","1902  ","台紙            ","259,000","106,000","153,000",
" ","9911  ","櫻花            ","180,000","34,000","146,000",
" ","2464  ","盟立            ","170,000","26,000","144,000",
" ","1210  ","大成            ","334,000","192,000","142,000",
" ","2402  ","毅嘉            ","289,000","148,000","141,000",
" ","1227  ","佳格            ","246,000","106,000","140,000",
" ","2912  ","統一超          ","1,016,000","876,000","140,000",
" ","3189  ","景碩            ","920,000","781,000","139,000",
" ","3533  ","嘉澤            ","367,000","229,000","138,000",
" ","6153  ","嘉聯益          ","226,000","88,000","138,000",
" ","2415  ","錩新            ","162,000","29,000","133,000",
"*","4904  ","遠傳            ","1,105,000","972,000","133,000",
" ","2605  ","新興            ","252,000","120,000","132,000",
" ","1568  ","倉佑            ","134,000","6,000","128,000",
" ","2006  ","東和鋼鐵        ","160,000","34,000","126,000",
" ","6285  ","啟碁            ","504,763","382,579","122,184",
" ","6108  ","競國            ","130,000","8,000","122,000",
" ","6443  ","元晶            ","135,000","16,000","119,000",
" ","2399  ","映泰            ","158,000","41,000","117,000",
" ","6239  ","力成            ","756,000","640,000","116,000",
" ","2547  ","日勝生          ","117,000","2,000","115,000",
" ","1217  ","愛之味          ","161,000","47,000","114,000",
" ","1309  ","台達化          ","133,000","19,000","114,000",
" ","6257  ","矽格            ","243,000","129,000","114,000",
" ","1590  ","亞德客-KY       ","237,001","123,594","113,407",
" ","8105  ","凌巨            ","536,000","427,000","109,000",
