"106年06月09日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","3380  ","明泰            ","2,850,000","0","2,850,000",
" ","3231  ","緯創            ","891,000","4,000","887,000",
" ","2603  ","長榮            ","760,000","21,000","739,000",
" ","8150  ","南茂            ","680,000","0","680,000",
" ","2317  ","鴻海            ","650,000","43,000","607,000",
" ","2311  ","日月光          ","500,000","12,000","488,000",
" ","3706  ","神達            ","399,000","0","399,000",
" ","6269  ","台郡            ","398,000","0","398,000",
" ","4943  ","康控-KY         ","382,000","0","382,000",
" ","1909  ","榮成            ","485,000","148,000","337,000",
" ","2204  ","中華            ","300,000","2,000","298,000",
" ","2367  ","燿華            ","287,000","0","287,000",
" ","2891  ","中信金          ","289,000","27,000","262,000",
" ","3653  ","健策            ","260,000","0","260,000",
" ","2408  ","南亞科          ","350,000","109,000","241,000",
" ","3017  ","奇鋐            ","219,000","0","219,000",
" ","2439  ","美律            ","239,000","21,000","218,000",
" ","2327  ","國巨            ","224,000","10,000","214,000",
" ","2393  ","億光            ","157,000","0","157,000",
" ","3376  ","新日興          ","142,000","0","142,000",
" ","4551  ","智伸科          ","123,000","0","123,000",
" ","2352  ","佳世達          ","123,000","3,000","120,000",
" ","2356  ","英業達          ","120,000","5,000","115,000",
" ","3032  ","偉訓            ","114,000","0","114,000",
" ","2359  ","所羅門          ","100,000","0","100,000",
" ","1536  ","和大            ","84,000","0","84,000",
" ","2474  ","可成            ","91,000","8,000","83,000",
" ","1589  ","永冠-KY         ","74,000","0","74,000",
" ","2382  ","廣達            ","78,000","5,000","73,000",
" ","2412  ","中華電          ","80,000","13,000","67,000",
" ","4968  ","立積            ","63,000","0","63,000",
" ","2731  ","雄獅            ","62,000","0","62,000",
" ","2314  ","台揚            ","50,000","0","50,000",
" ","8039  ","台虹            ","50,000","0","50,000",
" ","1477  ","聚陽            ","48,000","0","48,000",
" ","1476  ","儒鴻            ","58,000","12,000","46,000",
" ","9802  ","鈺齊-KY         ","34,000","0","34,000",
" ","8464  ","億豐            ","31,000","0","31,000",
" ","3665  ","貿聯-KY         ","28,000","0","28,000",
" ","1525  ","江申            ","25,000","0","25,000",
" ","5269  ","祥碩            ","25,000","0","25,000",
" ","3443  ","創意            ","69,000","45,000","24,000",
" ","9910  ","豐泰            ","20,000","0","20,000",
" ","3661  ","世芯-KY         ","15,000","0","15,000",
" ","4958  ","臻鼎-KY         ","14,000","1,000","13,000",
" ","2383  ","台光電          ","76,000","64,000","12,000",
" ","5305  ","敦南            ","12,000","0","12,000",
" ","2330  ","台積電          ","170,000","159,000","11,000",
" ","1537  ","廣隆            ","10,000","0","10,000",
" ","1301  ","台塑            ","60,000","52,000","8,000",
" ","2231  ","為升            ","8,000","0","8,000",
" ","2723  ","美食-KY         ","8,000","0","8,000",
" ","6409  ","旭隼            ","2,000","0","2,000",
" ","3481  ","群創            ","0","6,094,000","-6,094,000",
" ","2344  ","華邦電          ","0","6,061,000","-6,061,000",
" ","2337  ","旺宏            ","1,657,000","6,260,000","-4,603,000",
" ","2448  ","晶電            ","0","4,227,000","-4,227,000",
" ","2886  ","兆豐金          ","290,000","2,727,000","-2,437,000",
" ","2882  ","國泰金          ","0","2,229,000","-2,229,000",
" ","1326  ","台化            ","0","698,000","-698,000",
" ","5871  ","中租-KY         ","0","623,000","-623,000",
" ","6285  ","啟碁            ","10,000","605,000","-595,000",
" ","2915  ","潤泰全          ","0","543,000","-543,000",
" ","2492  ","華新科          ","620,000","1,097,000","-477,000",
" ","1590  ","亞德客-KY       ","4,000","467,000","-463,000",
" ","1704  ","榮化            ","0","456,000","-456,000",
" ","6271  ","同欣電          ","0","454,000","-454,000",
" ","6456  ","GIS-KY          ","0","420,000","-420,000",
" ","2449  ","京元電子        ","0","417,000","-417,000",
" ","3532  ","台勝科          ","0","395,000","-395,000",
" ","2464  ","盟立            ","0","380,000","-380,000",
" ","1101  ","台泥            ","150,000","522,000","-372,000",
" ","6196  ","帆宣            ","0","322,000","-322,000",
" ","3673  ","TPK-KY          ","0","308,000","-308,000",
" ","1310  ","台苯            ","0","250,000","-250,000",
" ","1402  ","遠東新          ","0","228,000","-228,000",
" ","6116  ","彩晶            ","0","222,000","-222,000",
" ","2377  ","微星            ","64,000","274,000","-210,000",
" ",="00664R","國泰臺灣加權反1 ","0","200,000","-200,000",
" ","2351  ","順德            ","0","200,000","-200,000",
" ","2308  ","台達電          ","0","182,000","-182,000",
" ","1305  ","華夏            ","0","170,000","-170,000",
" ","5434  ","崇越            ","0","142,000","-142,000",
" ","1210  ","大成            ","0","128,000","-128,000",
" ","1303  ","南亞            ","0","111,000","-111,000",
" ","1568  ","倉佑            ","62,000","165,000","-103,000",
" ","2727  ","王品            ","0","102,000","-102,000",
" ","1312  ","國喬            ","0","100,000","-100,000",
" ","1905  ","華紙            ","0","100,000","-100,000",
" ","2049  ","上銀            ","0","98,000","-98,000",
" ","2823  ","中壽            ","0","96,000","-96,000",
" ","2456  ","奇力新          ","87,000","181,000","-94,000",
" ","2634  ","漢翔            ","0","92,000","-92,000",
" ","4532  ","瑞智            ","81,000","169,000","-88,000",
" ","2360  ","致茂            ","0","83,000","-83,000",
" ","1722  ","台肥            ","0","59,000","-59,000",
" ","2548  ","華固            ","0","58,000","-58,000",
" ","3454  ","晶睿            ","0","55,000","-55,000",
" ","2892  ","第一金          ","0","51,000","-51,000",
" ","2397  ","友通            ","0","50,000","-50,000",
" ","8411  ","福貞-KY         ","0","50,000","-50,000",
" ","9939  ","宏全            ","0","50,000","-50,000",
" ","6239  ","力成            ","36,000","79,000","-43,000",
" ","1592  ","英瑞-KY         ","0","40,000","-40,000",
" ","2345  ","智邦            ","150,000","189,000","-39,000",
" ","4746  ","台耀            ","0","36,000","-36,000",
" ","1104  ","環泥            ","0","34,000","-34,000",
" ","3346  ","麗清            ","50,000","82,000","-32,000",
" ","2228  ","劍麟            ","0","30,000","-30,000",
" ","1598  ","岱宇            ","0","29,000","-29,000",
" ","9917  ","中保            ","0","25,360","-25,360",
" ","2542  ","興富發          ","0","24,000","-24,000",
" ","9911  ","櫻花            ","0","23,000","-23,000",
" ","2002  ","中鋼            ","0","22,000","-22,000",
" ","2883  ","開發金          ","0","21,000","-21,000",
" ",="00637L","元大滬深300正2  ","0","20,000","-20,000",
" ","6412  ","群電            ","0","20,000","-20,000",
" ","1216  ","統一            ","0","18,000","-18,000",
" ","2303  ","聯電            ","0","18,000","-18,000",
" ","2885  ","元大金          ","0","17,000","-17,000",
" ","5880  ","合庫金          ","0","16,000","-16,000",
" ","2880  ","華南金          ","0","15,000","-15,000",
" ","2888  ","新光金          ","0","15,000","-15,000",
" ","2890  ","永豐金          ","0","15,000","-15,000",
" ","4557  ","永新-KY         ","0","15,000","-15,000",
" ","2881  ","富邦金          ","0","14,000","-14,000",
" ","2887  ","台新金          ","0","14,000","-14,000",
" ","6505  ","台塑化          ","0","14,000","-14,000",
" ","2409  ","友達            ","0","13,000","-13,000",
" ","2884  ","玉山金          ","0","13,000","-13,000",
" ","2801  ","彰銀            ","0","12,000","-12,000",
" ","3189  ","景碩            ","0","12,000","-12,000",
" ","1521  ","大億            ","0","10,000","-10,000",
" ","2834  ","臺企銀          ","0","8,000","-8,000",
" ","2912  ","統一超          ","0","8,000","-8,000",
" ","2610  ","華航            ","0","7,000","-7,000",
" ","4438  ","廣越            ","0","7,000","-7,000",
" ","2324  ","仁寶            ","0","6,000","-6,000",
" ","2618  ","長榮航          ","0","6,000","-6,000",
" ","3533  ","嘉澤            ","85,000","91,000","-6,000",
" ","1102  ","亞泥            ","0","5,000","-5,000",
" ","2812  ","台中銀          ","0","5,000","-5,000",
" ","3045  ","台灣大          ","0","5,000","-5,000",
" ","4904  ","遠傳            ","0","5,000","-5,000",
" ","6605  ","帝寶            ","0","5,000","-5,000",
" ","2325  ","矽品            ","0","4,000","-4,000",
" ","2615  ","萬海            ","0","4,000","-4,000",
" ","2838  ","聯邦銀          ","0","4,000","-4,000",
" ","2845  ","遠東銀          ","0","4,000","-4,000",
" ","3450  ","聯鈞            ","0","4,000","-4,000",
" ","9904  ","寶成            ","0","4,000","-4,000",
" ","2201  ","裕隆            ","0","3,000","-3,000",
