Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2007/01/02,4511000,2101980,0.52,0.54,0.40,0.52,-0.01,243
2007/01/03,6063000,3252150,0.51,0.61,0.45,0.60,0.08,263
2007/01/04,2440000,1295700,0.60,0.60,0.49,0.52,-0.08,137
2007/01/05,3175000,1671920,0.53,0.56,0.50,0.50,-0.02,180
2007/01/08,2199000,1017170,0.52,0.52,0.43,0.47,-0.03,146
2007/01/09,5318000,3201980,0.47,0.69,0.47,0.63,0.16,258
2007/01/10,3058000,1831420,0.62,0.67,0.54,0.57,-0.06,191
2007/01/11,1799000,934400,0.57,0.58,0.45,0.45,-0.12,139
2007/01/12,3964000,2102700,0.48,0.57,0.48,0.52,0.07,165
2007/01/15,1954000,1071190,0.53,0.58,0.50,0.50,-0.02,112
2007/01/16,1442000,696060,0.52,0.52,0.45,0.46,-0.04,98
2007/01/17,902000,418080,0.46,0.48,0.44,0.48,0.02,53
2007/01/18,3791000,2039660,0.48,0.58,0.48,0.53,0.05,167
2007/01/19,1257000,623310,0.53,0.53,0.47,0.47,-0.06,86
2007/01/22,1143000,532820,0.49,0.50,0.44,0.45,-0.02,84
2007/01/23,1207000,539840,0.43,0.47,0.42,0.46,0.01,79
2007/01/24,2395000,1201870,0.47,0.53,0.47,0.49,0.03,137
2007/01/25,949000,451970,0.49,0.50,0.46,0.48,-0.01,77
2007/01/26,494000,228690,0.46,0.48,0.44,0.47,-0.01,56
2007/01/29,2528000,917960,0.45,0.45,0.33,0.34,-0.13,144
2007/01/30,2385000,675190,0.33,0.34,0.26,0.27,-0.07,151
2007/01/31,1965000,583360,0.27,0.31,0.27,0.30,0.03,122
2007/02/01,952000,316330,0.31,0.37,0.31,0.31,0.01,67
2007/02/02,681000,218140,0.31,0.34,0.28,0.28,-0.03,55
2007/02/05,560000,167620,0.30,0.31,0.29,0.31,0.03,51
2007/02/06,770000,217720,0.30,0.31,0.26,0.31,,55
2007/02/07,1018000,322260,0.31,0.34,0.29,0.32,0.01,65
2007/02/08,446000,131130,0.32,0.32,0.28,0.29,-0.03,45
2007/02/09,738000,215800,0.28,0.33,0.26,0.30,0.01,66
2007/02/12,401000,111190,0.29,0.30,0.26,0.28,-0.02,43
2007/02/13,551000,145450,0.26,0.28,0.24,0.26,-0.02,60
2007/02/14,546000,133190,0.26,0.26,0.23,0.24,-0.02,64
2007/02/26,1124000,277450,0.24,0.27,0.21,0.23,-0.01,60
2007/02/27,1381000,238540,0.23,0.23,0.13,0.16,-0.07,65
2007/03/01,2357000,209250,0.14,0.14,0.07,0.11,-0.05,102
2007/03/02,1625000,201570,0.10,0.14,0.10,0.12,0.01,91
2007/03/05,1089000,78040,0.10,0.10,0.06,0.06,-0.04,64
2007/03/06,1388000,65430,0.07,0.07,0.03,0.05,-0.01,70
2007/03/07,1350000,50340,0.04,0.05,0.03,0.04,-0.01,81
2007/03/08,1767000,109280,0.04,0.10,0.04,0.08,0.04,82
2007/03/09,2801000,389950,0.08,0.23,0.08,0.17,0.09,108
2007/03/12,5376000,1749250,0.17,0.38,0.17,0.38,0.21,206
2007/03/13,2417000,923820,0.36,0.41,0.33,0.39,0.01,125
2007/03/14,1274000,455690,0.37,0.41,0.29,0.41,0.02,91
2008/05/05,14070000,14070300,1.00,1.04,0.99,1.00,-0.04,229
2008/05/06,153000,220290,1.00,1.47,1.00,1.45,0.45,18
2008/05/07,132000,201970,1.50,1.54,1.50,1.53,0.08,11
2008/05/08,353000,432630,1.53,1.53,1.05,1.53,,43
2008/05/09,82000,99220,1.48,1.48,1.06,1.06,-0.47,9
2008/05/12,196000,151620,0.80,0.99,0.59,0.59,-0.47,19
2008/05/13,108000,63050,0.64,0.64,0.45,0.45,-0.14,8
2008/05/14,72000,35540,0.54,0.54,0.47,0.47,0.02,7
2008/05/15,116000,56950,0.54,0.54,0.30,0.45,-0.02,12
2008/05/16,102000,41310,0.43,0.43,0.40,0.40,-0.05,8
2008/05/19,20000,7800,0.39,0.39,0.39,0.39,-0.01,1
2008/05/20,59000,18150,0.26,0.36,0.25,0.25,-0.14,5
2008/05/21,97000,27060,0.29,0.29,0.27,0.27,0.02,7
2008/05/22,97000,22940,0.25,0.25,0.22,0.23,-0.04,11
2008/05/23,282000,79270,0.30,0.30,0.26,0.27,0.04,22
2008/05/26,87000,22620,0.26,0.26,0.26,0.26,-0.01,6
2008/05/27,65000,16250,0.25,0.25,0.25,0.25,-0.01,5
2008/05/28,78000,21320,0.30,0.30,0.27,0.27,0.02,8
2008/05/29,127000,37420,0.27,0.32,0.26,0.29,0.02,14
2008/05/30,84000,19890,0.36,0.36,0.17,0.25,-0.04,9
2008/06/02,69000,16600,0.28,0.28,0.23,0.23,-0.02,7
2008/06/03,112000,26550,0.30,0.30,0.20,0.20,-0.03,10
2008/06/04,152000,37090,0.26,0.26,0.20,0.21,0.01,19
2008/06/05,119000,23650,0.27,0.27,0.11,0.23,0.02,12
2008/06/06,205000,54820,0.32,0.32,0.15,0.27,0.04,21
2008/06/09,76000,14810,0.12,0.26,0.12,0.25,-0.02,8
2008/06/10,85000,23400,0.30,0.30,0.22,0.22,-0.03,7
2008/06/11,101000,24210,0.26,0.26,0.12,0.20,-0.02,13
2008/06/12,30000,5900,0.23,0.23,0.18,0.18,-0.02,4
2008/06/13,93000,21240,0.27,0.27,0.22,0.24,0.06,9
2008/06/16,97000,23330,0.28,0.28,0.22,0.23,-0.01,10
2008/06/17,82000,17710,0.24,0.24,0.20,0.21,-0.02,8
2008/06/18,52000,12540,0.29,0.29,0.22,0.22,0.01,5
2008/06/19,47000,8790,0.22,0.22,0.17,0.17,-0.05,4
2008/06/20,54000,8060,0.26,0.26,0.10,0.16,-0.01,7
2008/06/23,33000,4130,0.15,0.15,0.12,0.12,-0.04,4
2008/06/24,34000,4120,0.12,0.14,0.12,0.12,,5
2008/06/25,30000,4300,0.14,0.15,0.14,0.15,0.03,6
2008/06/26,39000,5910,0.17,0.17,0.14,0.14,-0.01,4
2008/06/27,8000,1010,0.13,0.13,0.12,0.12,-0.02,3
2008/06/30,58000,5840,0.12,0.12,0.07,0.07,-0.05,8
2008/07/01,59000,6280,0.13,0.13,0.08,0.10,0.03,9
2008/07/02,62000,3950,0.15,0.15,0.05,0.10,,4
2008/07/03,30000,2300,0.08,0.09,0.07,0.09,-0.01,3
2008/07/04,8000,990,0.18,0.18,0.09,0.09,,2
2008/07/07,107000,8430,0.06,0.24,0.06,0.24,0.15,7
2008/07/08,37000,5280,0.15,0.15,0.14,0.14,-0.10,3
2008/07/09,195000,13800,0.08,0.20,0.05,0.05,-0.09,11
2008/07/10,40000,14600,0.46,0.46,0.08,0.08,0.03,4
2008/07/11,17000,1110,0.08,0.08,0.06,0.06,-0.02,3
2008/07/14,47000,4310,0.13,0.13,0.09,0.09,0.03,4
2008/07/15,35000,1650,0.05,0.06,0.03,0.03,-0.06,6
2008/07/16,75000,5050,0.07,0.07,0.03,0.03,,4
2008/07/17,10000,900,0.09,0.09,0.09,0.09,0.06,1
2008/07/18,15000,1200,0.08,0.08,0.08,0.08,-0.01,1
2008/07/21,25000,2400,0.09,0.10,0.09,0.10,0.02,3
2008/07/22,10000,900,0.09,0.09,0.09,0.09,-0.01,1
2008/07/23,45000,4450,0.09,0.10,0.09,0.10,0.01,4
2008/07/24,10000,1100,0.11,0.11,0.11,0.11,0.01,1
2008/07/25,11000,740,0.05,0.24,0.05,0.24,0.13,2
2008/07/29,10000,1200,0.12,0.12,0.12,0.12,-0.12,1
2008/07/30,45000,5450,0.06,0.14,0.06,0.13,0.01,4
2008/07/31,15000,2100,0.14,0.14,0.14,0.14,0.01,1
2008/08/01,10000,1400,0.14,0.14,0.14,0.14,,1
2008/08/04,32000,2350,0.11,0.11,0.04,0.05,-0.09,3
2008/08/05,20000,1000,0.05,0.05,0.05,0.05,,1
2008/08/06,58000,4630,0.05,0.10,0.05,0.10,0.05,7
2008/08/07,85000,5000,0.05,0.06,0.05,0.06,-0.04,2
2008/08/08,0,0,--,--,--,--,,0
2008/08/11,42000,4790,0.07,0.12,0.07,0.12,0.06,3
2008/08/12,6000,1900,0.48,0.48,0.10,0.10,-0.02,3
2008/08/13,11000,1560,0.15,0.15,0.06,0.06,-0.04,2
2008/08/14,0,0,--,--,--,--,,0
2008/08/15,0,0,--,--,--,--,,0
2008/08/18,0,0,--,--,--,--,,0
2008/08/19,0,0,--,--,--,--,,0
2008/08/20,3000,60,0.02,0.02,0.02,0.02,-0.04,2
2008/08/21,0,0,--,--,--,--,,0
2008/08/22,0,0,--,--,--,--,,0
2008/08/25,0,0,--,--,--,--,,0
2008/08/26,3000,330,0.11,0.11,0.11,0.11,0.09,1
2008/08/27,2000,60,0.03,0.03,0.03,0.03,-0.08,1
2008/08/28,3000,120,0.04,0.04,0.04,0.04,0.01,2
2008/08/29,0,0,--,--,--,--,,0
2008/09/01,0,0,--,--,--,--,,0
2008/09/02,0,0,--,--,--,--,,0
2008/09/03,0,0,--,--,--,--,,0
2008/09/04,0,0,--,--,--,--,,0
2008/09/05,0,0,--,--,--,--,,0
