Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2011/03/15,0,0,0.00,0.00,0.00,0.00,---,0
2011/03/16,1038000,319050,0.30,0.32,0.30,0.30,-0.11,16
2011/03/17,1078000,261730,0.24,0.26,0.24,0.26,-0.04,21
2011/03/18,56000,16370,0.28,0.31,0.27,0.29,0.03,7
2011/03/21,68000,25560,0.32,0.40,0.32,0.40,0.11,5
2011/03/22,288000,138350,0.44,0.63,0.44,0.52,0.12,14
2011/03/23,45000,21000,0.46,0.48,0.46,0.48,-0.04,5
2011/03/24,36000,17020,0.47,0.51,0.45,0.45,-0.03,5
2011/03/25,170000,78050,0.45,0.46,0.45,0.45,0.00,6
2011/03/28,51000,19500,0.39,0.40,0.35,0.35,-0.10,3
2011/03/29,50000,17750,0.34,0.37,0.34,0.37,0.02,2
2011/03/30,5000,1900,0.38,0.38,0.38,0.38,0.01,1
2011/03/31,127000,64450,0.41,0.61,0.41,0.60,0.22,11
2011/04/01,191000,88710,0.48,0.49,0.43,0.46,-0.14,9
2011/04/06,366000,174150,0.46,0.48,0.46,0.47,0.01,9
2011/04/07,31000,14150,0.46,0.47,0.44,0.45,-0.02,4
2011/04/08,382000,179890,0.45,0.48,0.45,0.45,0.00,10
2011/04/11,969000,465750,0.46,0.55,0.44,0.52,0.07,27
2011/04/12,1587000,1012290,0.56,0.79,0.56,0.72,0.20,57
2011/04/13,1218000,975260,0.74,0.90,0.73,0.85,0.13,87
2011/04/14,1005000,804860,0.83,0.85,0.76,0.80,-0.05,53
2011/04/15,558000,455090,0.80,0.88,0.79,0.79,-0.01,39
2011/04/18,596000,425290,0.83,0.83,0.67,0.67,-0.12,29
2011/04/19,158000,96640,0.62,0.64,0.56,0.64,-0.03,12
2011/04/20,335000,226520,0.69,0.69,0.66,0.67,0.03,16
2011/04/21,390000,313760,0.68,1.08,0.66,1.08,0.41,40
2011/04/22,502000,475800,1.08,1.08,0.84,0.85,-0.23,54
2011/04/25,283000,220020,0.76,0.82,0.76,0.76,-0.09,15
2011/04/26,359000,312640,0.82,0.92,0.82,0.88,0.12,25
2011/04/27,390000,350260,0.96,0.96,0.86,0.86,-0.02,17
2011/04/28,408000,359830,0.90,0.94,0.85,0.85,-0.01,18
2011/04/29,364000,323800,0.90,0.95,0.85,0.88,0.03,24
2011/05/03,757000,456330,0.85,0.85,0.49,0.49,-0.39,23
2011/05/04,753000,395890,0.53,0.58,0.47,0.53,0.04,16
2011/05/05,316000,182170,0.52,0.60,0.52,0.57,0.04,12
2011/05/06,462000,229120,0.51,0.52,0.49,0.52,-0.05,13
2011/05/09,130000,67600,0.49,0.53,0.49,0.51,-0.01,5
2011/05/10,603000,345910,0.50,0.70,0.48,0.70,0.19,31
2011/05/11,771000,466880,0.70,0.70,0.56,0.57,-0.13,28
2011/05/12,730000,486370,0.55,0.75,0.55,0.68,0.11,29
2011/05/13,802000,583980,0.66,0.79,0.66,0.74,0.06,32
2011/05/16,585000,386330,0.74,0.74,0.63,0.66,-0.08,11
2011/05/17,32000,20010,0.60,0.63,0.60,0.63,-0.03,4
2011/05/18,1139000,820150,0.66,0.78,0.66,0.78,0.15,34
2011/05/19,807000,555740,0.76,0.78,0.63,0.63,-0.15,32
2011/05/20,415000,251810,0.65,0.65,0.57,0.57,-0.06,12
2011/05/23,38000,20340,0.55,0.55,0.53,0.53,-0.04,3
2011/05/24,224000,110820,0.52,0.52,0.48,0.51,-0.02,8
2011/05/25,35000,18000,0.54,0.54,0.50,0.50,-0.01,3
2011/05/26,940000,625400,0.49,0.74,0.49,0.71,0.21,48
2011/05/27,1866000,1466710,0.71,0.84,0.70,0.76,0.05,67
2011/05/30,553000,423780,0.71,0.84,0.71,0.77,0.01,35
2011/05/31,858000,639170,0.78,0.79,0.73,0.73,-0.04,38
2011/06/01,1105000,752920,0.75,0.77,0.62,0.62,-0.11,39
2011/06/02,430000,275180,0.55,0.69,0.55,0.63,0.01,19
2011/06/03,269000,170160,0.63,0.64,0.61,0.62,-0.01,20
2011/06/07,135000,73900,0.55,0.60,0.53,0.60,-0.02,7
2011/06/08,61000,33710,0.55,0.57,0.55,0.56,-0.04,4
2011/06/09,506000,254070,0.53,0.53,0.49,0.50,-0.06,17
2011/06/10,342000,167520,0.52,0.52,0.45,0.45,-0.05,6
