2017/08/07,0,0,---,---,---,---,---,0
2017/08/08,200000,149390,0.70,0.80,0.70,0.76,+0.09,17
2017/08/09,533000,424220,0.77,0.84,0.76,0.82,+0.06,12
2017/08/10,339000,261600,0.78,0.80,0.76,0.76,-0.06,8
2017/08/11,306000,221070,0.73,0.74,0.67,0.67,-0.09,9
2017/08/14,118000,75600,0.65,0.65,0.63,0.63,-0.04,3
2017/08/15,420000,281450,0.68,0.68,0.66,0.68,+0.05,11
2017/08/16,70000,44800,0.64,0.64,0.64,0.64,-0.04,2
2017/08/17,65000,39150,0.61,0.61,0.60,0.60,-0.04,4
2017/08/18,0,0,---,---,---,---,---,0
2017/08/21,650000,305730,0.51,0.51,0.43,0.45,-0.09,20
