Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2012/01/12,20000,15000,0.76,0.76,0.74,0.74,-0.04,2
2012/01/13,74000,54310,0.72,0.74,0.72,0.73,-0.01,13
2012/01/16,20000,14300,0.71,0.72,0.71,0.72,-0.01,2
2012/01/17,35000,23850,0.71,0.71,0.65,0.65,-0.07,4
2012/01/18,186000,104770,0.55,0.57,0.55,0.55,-0.10,14
2012/01/30,144000,66640,0.48,0.48,0.46,0.46,-0.09,4
2012/01/31,307000,138150,0.47,0.47,0.44,0.45,-0.01,4
2012/02/01,179000,82580,0.47,0.47,0.44,0.44,-0.01,6
2012/02/02,304000,133410,0.43,0.45,0.43,0.43,-0.01,8
2012/02/03,347000,135730,0.37,0.44,0.37,0.44,0.01,14
2012/02/06,318000,131040,0.39,0.45,0.39,0.45,0.07,19
2012/02/07,513000,198670,0.48,0.48,0.32,0.33,-0.12,18
2012/02/08,550000,175620,0.32,0.35,0.30,0.31,-0.02,23
2012/02/09,112000,35050,0.31,0.35,0.29,0.35,0.04,14
2012/02/10,181000,64840,0.35,0.38,0.35,0.36,0.01,11
2012/02/13,210000,70690,0.36,0.36,0.33,0.33,-0.03,15
2012/02/14,25000,7750,0.31,0.32,0.30,0.32,-0.01,3
2012/02/15,60000,19200,0.32,0.32,0.32,0.32,,2
2012/02/16,180000,61000,0.31,0.36,0.30,0.36,0.04,6
2012/02/17,290000,94400,0.34,0.37,0.31,0.31,-0.05,12
2012/02/20,170000,52200,0.31,0.32,0.26,0.26,-0.05,7
2012/02/21,120000,32900,0.27,0.28,0.27,0.28,0.02,4
2012/02/22,112000,30210,0.27,0.28,0.26,0.28,,5
2012/02/23,151000,37880,0.26,0.28,0.25,0.28,,5
2012/02/24,10000,2700,0.27,0.27,0.27,0.27,-0.01,1
2012/02/29,50000,11500,0.23,0.23,0.23,0.23,-0.04,1
2012/03/01,65000,14750,0.23,0.23,0.22,0.22,-0.01,7
2012/03/02,50000,10500,0.21,0.21,0.21,0.21,-0.01,2
2012/03/05,31000,6420,0.21,0.22,0.20,0.22,0.02,4
2012/03/06,50000,12000,0.24,0.24,0.24,0.24,0.02,3
2012/03/07,155000,32900,0.26,0.26,0.20,0.20,-0.04,7
2012/03/08,51000,10720,0.22,0.22,0.21,0.21,0.01,2
2012/03/09,100000,20000,0.20,0.20,0.20,0.20,-0.01,2
2012/03/12,244000,44960,0.19,0.19,0.18,0.19,-0.01,6
2012/03/13,90000,18100,0.18,0.21,0.18,0.21,0.02,3
2012/03/14,241000,41190,0.18,0.18,0.15,0.15,-0.06,8
2012/03/15,29000,4060,0.14,0.14,0.14,0.14,-0.01,1
2012/03/16,15000,2250,0.15,0.15,0.15,0.15,0.01,1
2012/03/19,129000,20350,0.15,0.16,0.15,0.16,0.01,6
2012/03/20,280000,42400,0.17,0.17,0.15,0.15,-0.01,9
2012/03/21,402000,65970,0.14,0.22,0.14,0.19,0.04,8
2012/03/22,25000,4400,0.18,0.18,0.17,0.17,-0.02,2
2012/03/23,90000,16200,0.18,0.18,0.18,0.18,0.01,1
2012/03/26,99000,18810,0.19,0.19,0.19,0.19,0.01,1
2012/03/27,123000,20910,0.17,0.17,0.17,0.17,-0.02,2
2012/03/28,12000,1760,0.16,0.16,0.14,0.14,-0.03,4
2012/03/29,15000,2250,0.15,0.15,0.15,0.15,0.01,1
2012/03/30,30000,5050,0.21,0.21,0.16,0.16,0.01,4
2012/04/02,0,0,--,--,--,--,,0
2012/04/03,56000,9950,0.15,0.19,0.15,0.18,0.02,3
2012/04/05,40000,7200,0.19,0.19,0.17,0.17,-0.01,2
2012/04/06,0,0,--,--,--,--,,0
2012/04/09,0,0,--,--,--,--,,0
2012/04/10,0,0,--,--,--,--,,0
2012/04/11,0,0,--,--,--,--,,0
2012/04/12,30000,3900,0.13,0.13,0.13,0.13,-0.04,1
2012/04/13,292000,32520,0.13,0.13,0.11,0.11,-0.02,4
2012/04/16,926000,94160,0.11,0.11,0.10,0.11,,13
2012/04/17,90000,10800,0.12,0.12,0.12,0.12,0.01,1
2012/04/18,213000,24570,0.11,0.12,0.11,0.12,,3
2012/04/19,130000,16900,0.13,0.13,0.13,0.13,0.01,3
2012/04/20,145000,17800,0.13,0.13,0.12,0.12,-0.01,3
2012/04/23,1071000,148950,0.15,0.15,0.12,0.15,0.03,22
2012/04/24,857000,121650,0.15,0.16,0.13,0.13,-0.02,14
2012/04/25,661000,66100,0.10,0.10,0.10,0.10,-0.03,14
2012/04/26,651000,64410,0.10,0.11,0.09,0.11,0.01,12
2012/04/27,930000,98080,0.10,0.12,0.10,0.12,0.01,15
2012/04/30,994000,105760,0.10,0.11,0.10,0.11,-0.01,17
2012/05/02,1165000,101420,0.12,0.12,0.07,0.07,-0.04,19
2012/05/03,300000,21000,0.08,0.08,0.06,0.07,,6
2012/05/04,134000,9030,0.07,0.07,0.06,0.06,-0.01,4
2012/05/07,277000,17620,0.07,0.07,0.06,0.07,0.01,6
2012/05/08,202000,12120,0.06,0.06,0.06,0.06,-0.01,3
2012/05/09,0,0,--,--,--,--,,0
2012/05/10,3000,160,0.05,0.06,0.05,0.06,,2
2012/05/11,0,0,--,--,--,--,,0
2012/05/14,50000,3500,0.07,0.07,0.07,0.07,0.01,1
2012/05/15,353000,19630,0.06,0.06,0.05,0.05,-0.02,5
2012/05/16,179000,10640,0.05,0.07,0.05,0.07,0.02,5
2012/05/17,300000,16870,0.06,0.06,0.04,0.05,-0.02,5
2012/05/18,300000,14010,0.05,0.05,0.04,0.05,,6
2012/05/21,396000,19800,0.05,0.05,0.05,0.05,,4
2012/05/22,102000,4080,0.04,0.04,0.04,0.04,-0.01,2
2012/05/23,297000,8910,0.03,0.03,0.03,0.03,-0.01,3
2012/05/24,318000,8340,0.02,0.03,0.02,0.03,,4
2012/05/25,822000,22380,0.02,0.03,0.02,0.03,,10
2012/05/28,0,0,--,--,--,--,,0
2012/05/29,9000,810,0.09,0.09,0.09,0.09,0.06,1
2012/05/30,0,0,--,--,--,--,,0
2012/05/31,10000,600,0.06,0.06,0.06,0.06,0.01,1
2012/06/01,1014000,20280,0.02,0.02,0.02,0.02,-0.04,14
2012/06/04,0,0,--,--,--,--,,0
2012/06/05,0,0,--,--,--,--,,0
2012/06/06,0,0,--,--,--,--,,0
