2017/08/08,52000,47050,0.90,0.91,0.89,0.91,0.00,10
2017/08/09,52000,45960,0.88,0.92,0.88,0.92,+0.01,2
2017/08/10,13000,10850,0.84,0.85,0.82,0.85,-0.07,3
2017/08/11,11000,9100,0.83,0.83,0.82,0.83,-0.02,4
2017/08/14,302000,179530,0.69,0.69,0.53,0.56,-0.27,14
2017/08/15,685000,362740,0.54,0.56,0.48,0.50,-0.06,17
2017/08/16,1043000,549330,0.50,0.59,0.50,0.52,+0.02,23
2017/08/17,1758000,795470,0.51,0.51,0.41,0.44,-0.08,44
2017/08/18,1057000,448900,0.43,0.43,0.41,0.42,-0.02,23
2017/08/21,390000,176100,0.44,0.46,0.44,0.46,+0.04,8
