2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,528000,768710,1.38,1.49,1.38,1.45,+0.08,23
2017/08/08,484000,696940,1.46,1.48,1.40,1.40,-0.05,25
2017/08/09,82000,98400,1.23,1.23,1.18,1.18,-0.22,4
2017/08/10,19000,21390,1.20,1.20,1.08,1.11,-0.07,3
2017/08/11,5000,5200,1.04,1.04,1.04,1.04,-0.07,2
2017/08/14,38000,37860,1.02,1.02,0.99,0.99,-0.05,2
2017/08/15,448000,438680,0.95,1.01,0.95,0.98,-0.01,7
2017/08/16,592000,561850,0.93,1.06,0.88,1.06,+0.08,21
2017/08/17,434000,453750,1.05,1.08,0.99,1.08,+0.02,18
2017/08/18,842000,899100,1.01,1.13,1.01,1.09,+0.01,23
2017/08/21,833000,924600,1.11,1.14,1.05,1.12,+0.03,26
