2017/08/04,4000,3920,1.01,1.01,0.95,0.95,-0.18,3
2017/08/07,22000,22080,0.97,1.02,0.97,1.01,+0.06,4
2017/08/08,264000,219150,0.95,0.95,0.72,0.87,-0.14,15
2017/08/09,470000,347860,0.73,0.78,0.70,0.74,-0.13,13
2017/08/10,275000,167650,0.63,0.63,0.50,0.51,-0.23,8
2017/08/11,50000,23500,0.47,0.47,0.47,0.47,-0.04,2
2017/08/14,0,0,---,---,---,---,---,0
2017/08/15,0,0,---,---,---,---,---,0
2017/08/16,0,0,---,---,---,---,---,0
2017/08/17,103000,46320,0.44,0.45,0.44,0.45,+0.08,2
2017/08/18,473000,214750,0.43,0.49,0.41,0.49,+0.04,12
2017/08/21,310000,142100,0.48,0.48,0.44,0.44,-0.05,6
