Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2014/03/21,0,0,--,--,--,--,,0
2014/03/24,0,0,--,--,--,--,,0
2014/03/25,79000,62440,0.79,0.80,0.79,0.80,X,2
2014/03/26,677000,587050,0.85,0.89,0.85,0.88,0.08,7
2014/03/27,628000,550460,0.86,0.92,0.86,0.91,0.03,9
2014/03/28,21000,18260,0.89,0.89,0.85,0.85,-0.06,4
2014/03/31,23000,19670,0.86,0.86,0.83,0.84,-0.01,3
2014/04/01,569000,481670,0.85,0.86,0.83,0.86,0.02,6
2014/04/02,783000,686030,0.88,0.90,0.85,0.90,0.04,9
2014/04/03,5000,4400,0.88,0.88,0.88,0.88,-0.02,1
2014/04/07,30000,26100,0.87,0.87,0.87,0.87,-0.01,1
2014/04/08,49000,45670,0.93,0.96,0.92,0.92,0.05,3
2014/04/09,174000,160080,0.92,0.92,0.92,0.92,,2
2014/04/10,17000,15380,0.94,0.94,0.89,0.89,-0.03,2
2014/04/11,5000,4300,0.86,0.86,0.86,0.86,-0.03,1
2014/04/14,10000,8600,0.86,0.86,0.86,0.86,,1
2014/04/15,508000,470240,0.85,0.95,0.85,0.90,0.04,23
2014/04/16,930000,837410,0.89,0.93,0.88,0.93,0.03,15
2014/04/17,863000,824190,0.94,0.99,0.93,0.93,,10
2014/04/18,227000,200860,0.93,0.93,0.88,0.88,-0.05,6
2014/04/21,119000,105300,0.92,0.95,0.86,0.86,-0.02,17
2014/04/22,178000,146400,0.84,0.85,0.82,0.82,-0.04,9
2014/04/23,196000,150920,0.81,0.81,0.75,0.77,-0.05,15
2014/04/24,548000,415240,0.77,0.77,0.74,0.77,,12
2014/04/25,509000,400810,0.78,0.80,0.74,0.75,-0.02,9
2014/04/28,11000,8090,0.73,0.75,0.69,0.75,,3
2014/04/29,84000,52420,0.64,0.64,0.60,0.64,-0.11,10
2014/04/30,475000,254050,0.59,0.59,0.50,0.54,-0.10,12
2014/05/02,237000,118840,0.53,0.53,0.50,0.50,-0.04,8
2014/05/05,823000,419750,0.50,0.53,0.49,0.51,0.01,10
2014/05/06,79000,42330,0.51,0.55,0.50,0.55,0.04,9
2014/05/07,270000,143130,0.53,0.54,0.53,0.53,-0.02,8
2014/05/08,275000,138250,0.53,0.53,0.48,0.49,-0.04,8
2014/05/09,0,0,--,--,--,--,,0
2014/05/12,225000,87620,0.42,0.42,0.38,0.38,X,7
2014/05/13,162000,62340,0.39,0.40,0.38,0.38,,6
2014/05/14,156000,54190,0.36,0.36,0.34,0.35,-0.03,4
2014/05/15,100000,46600,0.61,0.61,0.37,0.37,0.02,4
2014/05/16,167000,66800,0.39,0.42,0.39,0.41,0.04,6
2014/05/19,60000,24700,0.42,0.42,0.40,0.41,,3
2014/05/20,0,0,--,--,--,--,,0
2014/05/21,0,0,--,--,--,--,,0
2014/05/22,13000,5230,0.41,0.41,0.40,0.40,X,3
2014/05/23,28000,11400,0.40,0.41,0.40,0.41,0.01,3
2014/05/26,15000,6150,0.41,0.41,0.41,0.41,,3
2014/05/27,60000,22200,0.37,0.37,0.37,0.37,-0.04,2
2014/05/28,10000,3700,0.37,0.37,0.37,0.37,,1
2014/05/29,76000,28850,0.37,0.40,0.37,0.40,0.03,6
2014/05/30,294000,118090,0.40,0.41,0.39,0.41,0.01,8
2014/06/03,31000,12710,0.41,0.41,0.41,0.41,,2
2014/06/04,56000,22490,0.41,0.41,0.40,0.40,-0.01,5
2014/06/05,37000,16970,0.43,0.48,0.43,0.48,0.08,6
2014/06/06,30000,14100,0.47,0.47,0.47,0.47,-0.01,1
2014/06/09,75000,37350,0.49,0.51,0.49,0.51,0.04,5
2014/06/10,220000,114620,0.52,0.53,0.50,0.50,-0.01,19
2014/06/11,40000,19800,0.49,0.50,0.49,0.50,,2
2014/06/12,65000,31200,0.48,0.48,0.48,0.48,-0.02,3
2014/06/13,0,0,--,--,--,--,,0
2014/06/16,0,0,--,--,--,--,,0
2014/06/17,70000,30800,0.44,0.44,0.44,0.44,X,4
2014/06/18,107000,43000,0.42,0.42,0.39,0.41,-0.03,5
2014/06/19,50000,20500,0.41,0.41,0.41,0.41,,1
2014/06/20,5000,2050,0.41,0.41,0.41,0.41,,1
2014/06/23,220000,80290,0.39,0.39,0.34,0.34,-0.07,14
2014/06/24,7000,2310,0.33,0.33,0.33,0.33,-0.01,1
2014/06/25,1000,350,0.35,0.35,0.35,0.35,0.02,1
2014/06/26,0,0,--,--,--,--,,0
2014/06/27,0,0,--,--,--,--,,0
2014/06/30,38000,14320,0.33,0.38,0.33,0.38,X,3
2014/07/01,24000,9170,0.38,0.39,0.38,0.38,,4
2014/07/02,65000,25700,0.40,0.42,0.38,0.38,,3
2014/07/03,170000,68100,0.40,0.41,0.40,0.40,0.02,4
2014/07/04,104000,46970,0.46,0.46,0.44,0.44,0.04,10
2014/07/07,106000,43070,0.43,0.43,0.40,0.40,-0.04,6
2014/07/08,51000,20180,0.40,0.40,0.38,0.38,-0.02,3
2014/07/09,379000,160730,0.40,0.44,0.40,0.44,0.06,7
2014/07/10,379000,162970,0.43,0.43,0.43,0.43,-0.01,4
2014/07/11,2000,800,0.40,0.40,0.40,0.40,-0.03,1
2014/07/14,5000,2000,0.40,0.40,0.40,0.40,,1
2014/07/15,18000,7120,0.40,0.40,0.39,0.39,-0.01,2
2014/07/16,13000,4560,0.36,0.36,0.35,0.35,-0.04,4
2014/07/17,0,0,--,--,--,--,,0
2014/07/18,22000,7040,0.32,0.32,0.32,0.32,X,1
2014/07/21,0,0,--,--,--,--,,0
2014/07/22,401000,163930,0.39,0.42,0.39,0.42,X,6
2014/07/24,550000,238000,0.43,0.44,0.42,0.44,0.02,4
2014/07/25,0,0,--,--,--,--,,0
2014/07/28,0,0,--,--,--,--,,0
2014/07/29,290000,104400,0.36,0.36,0.36,0.36,X,3
2014/07/30,100000,36000,0.36,0.36,0.36,0.36,,2
2014/07/31,6000,2120,0.34,0.36,0.34,0.36,,2
2014/08/01,102000,37660,0.33,0.37,0.33,0.37,0.01,2
2014/08/04,0,0,--,--,--,--,,0
2014/08/05,15000,5550,0.37,0.37,0.37,0.37,X,2
2014/08/06,191000,70580,0.37,0.39,0.34,0.39,0.02,6
2014/08/07,231000,86970,0.39,0.39,0.36,0.37,-0.02,5
2014/08/08,22000,6780,0.32,0.32,0.29,0.31,-0.06,4
2014/08/11,49000,14210,0.29,0.29,0.29,0.29,-0.02,1
2014/08/12,7000,2030,0.29,0.29,0.29,0.29,,1
2014/08/13,29000,7900,0.28,0.28,0.27,0.27,-0.02,4
