2017/08/07,4000,4680,1.17,1.17,1.17,1.17,+0.02,1
2017/08/08,4000,4440,1.11,1.11,1.11,1.11,-0.06,1
2017/08/09,0,0,---,---,---,---,---,0
2017/08/10,0,0,---,---,---,---,---,0
2017/08/11,12000,11040,0.92,0.92,0.92,0.92,+0.02,4
2017/08/14,12000,9120,0.76,0.76,0.76,0.76,-0.16,2
2017/08/15,314000,244140,0.77,0.81,0.77,0.77,+0.01,7
2017/08/16,264000,187230,0.74,0.74,0.67,0.68,-0.09,14
2017/08/17,210000,172200,0.80,0.84,0.80,0.82,+0.14,3
2017/08/18,210000,162100,0.75,0.78,0.75,0.77,-0.05,8
2017/08/21,300000,239000,0.78,0.82,0.78,0.82,+0.05,3
