2017/08/07,0,0,---,---,---,---,---,0
2017/08/08,1400000,1336280,0.87,1.08,0.87,1.06,+0.19,28
2017/08/09,1145000,1020000,0.90,0.91,0.87,0.91,-0.15,25
2017/08/10,735000,559440,0.83,0.83,0.72,0.80,-0.11,14
2017/08/11,153000,126020,0.82,0.83,0.81,0.81,+0.01,5
2017/08/14,660000,525530,0.84,0.84,0.79,0.80,-0.01,16
2017/08/15,668000,539630,0.77,0.83,0.74,0.81,+0.01,10
2017/08/16,196000,144020,0.76,0.78,0.69,0.78,-0.03,9
2017/08/17,407000,334660,0.78,0.86,0.78,0.82,+0.04,9
2017/08/18,321000,242230,0.73,0.84,0.72,0.84,+0.02,7
2017/08/21,299000,234280,0.79,0.82,0.75,0.82,-0.02,7
