Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2016/11/18,0,0,---,---,---,---,---,0
2016/11/21,880000,739700,0.84,0.85,0.84,0.84,0.10,14
2016/11/22,930000,838990,0.85,0.91,0.85,0.90,0.06,8
2016/11/23,62000,53560,0.88,0.88,0.86,0.86,-0.04,2
2016/11/24,42000,38100,0.91,0.91,0.90,0.90,0.04,2
2016/11/25,30000,25500,0.85,0.85,0.85,0.85,-0.05,1
2016/11/28,0,0,---,---,---,---,---,0
2016/11/29,40000,34400,0.86,0.86,0.86,0.86,0.00,2
2016/11/30,45000,38400,0.85,0.86,0.85,0.86,0.00,5
2016/12/01,125000,115350,0.87,0.93,0.87,0.93,0.07,4
2016/12/02,0,0,---,---,---,---,---,0
2016/12/05,20000,18600,0.95,0.95,0.91,0.91,0.00,2
2016/12/06,0,0,---,---,---,---,---,0
2016/12/07,10000,9400,0.94,0.94,0.94,0.94,0.04,1
2016/12/08,11000,9950,0.90,0.91,0.90,0.91,-0.03,3
2016/12/09,6000,5570,0.92,0.93,0.92,0.93,0.02,2
2016/12/12,30000,26100,0.87,0.87,0.87,0.87,-0.06,1
2016/12/13,5000,4300,0.86,0.86,0.86,0.86,-0.01,1
2016/12/14,210000,166900,0.79,0.80,0.79,0.80,-0.06,3
2016/12/15,40000,32400,0.81,0.81,0.81,0.81,0.01,2
2016/12/16,949000,768690,0.81,0.81,0.81,0.81,0.00,12
2016/12/19,954000,843380,0.91,0.91,0.85,0.85,0.04,9
2016/12/20,465000,370550,0.81,0.81,0.78,0.80,-0.05,12
2016/12/21,465000,398000,0.83,0.88,0.83,0.86,0.06,8
2016/12/22,451000,359520,0.78,0.82,0.78,0.82,-0.04,38
2016/12/23,536000,449480,0.86,0.86,0.81,0.82,0.00,14
2016/12/26,70000,57400,0.82,0.82,0.82,0.82,0.00,2
2016/12/27,0,0,---,---,---,---,---,0
2016/12/28,0,0,---,---,---,---,---,0
2016/12/29,50000,38500,0.77,0.77,0.77,0.77,-0.05,1
2016/12/30,50000,44000,0.88,0.88,0.88,0.88,0.11,1
2017/01/03,0,0,---,---,---,---,---,0
2017/01/04,0,0,---,---,---,---,---,0
2017/01/05,0,0,---,---,---,---,---,0
2017/01/06,0,0,---,---,---,---,---,0
2017/01/09,0,0,---,---,---,---,---,0
2017/01/10,62000,56200,0.95,0.95,0.88,0.88,-0.07,3
2017/01/11,102000,86180,0.84,0.85,0.84,0.84,-0.04,7
2017/01/12,0,0,---,---,---,---,---,0
2017/01/13,0,0,---,---,---,---,---,0
2017/01/16,10000,7100,0.71,0.71,0.71,0.71,-0.06,1
2017/01/17,0,0,---,---,---,---,---,0
2017/01/18,0,0,---,---,---,---,---,0
2017/01/19,100000,72000,0.72,0.72,0.72,0.72,0.01,2
2017/01/20,0,0,---,---,---,---,---,0
2017/01/23,130000,89700,0.69,0.69,0.69,0.69,0.00,13
2017/01/24,0,0,---,---,---,---,---,0
2017/02/02,220000,148900,0.69,0.69,0.66,0.66,-0.03,13
2017/02/03,0,0,---,---,---,---,---,0
2017/02/06,0,0,---,---,---,---,---,0
2017/02/07,70000,46900,0.67,0.67,0.67,0.67,0.00,1
2017/02/08,4000,2780,0.70,0.70,0.69,0.69,0.02,2
2017/02/09,10000,6900,0.69,0.69,0.69,0.69,0.00,1
2017/02/10,170000,119590,0.70,0.75,0.70,0.70,0.01,6
2017/02/13,0,0,---,---,---,---,---,0
2017/02/14,58000,38860,0.67,0.67,0.67,0.67,-0.03,1
2017/02/15,2000,1380,0.69,0.69,0.69,0.69,0.02,1
2017/02/16,0,0,---,---,---,---,---,0
2017/02/17,0,0,---,---,---,---,---,0
2017/02/20,0,0,---,---,---,---,---,0
2017/02/21,0,0,---,---,---,---,---,0
2017/02/22,60000,34800,0.58,0.58,0.58,0.58,-0.03,1
2017/02/23,0,0,---,---,---,---,---,0
2017/02/24,0,0,---,---,---,---,---,0
2017/03/01,0,0,---,---,---,---,---,0
2017/03/02,0,0,---,---,---,---,---,0
2017/03/03,0,0,---,---,---,---,---,0
2017/03/06,0,0,---,---,---,---,---,0
2017/03/07,0,0,---,---,---,---,---,0
2017/03/08,0,0,---,---,---,---,---,0
2017/03/09,0,0,---,---,---,---,---,0
2017/03/10,0,0,---,---,---,---,---,0
2017/03/13,0,0,---,---,---,---,---,0
2017/03/14,0,0,---,---,---,---,---,0
2017/03/15,0,0,---,---,---,---,---,0
2017/03/16,0,0,---,---,---,---,---,0
2017/03/17,0,0,---,---,---,---,---,0
2017/03/20,0,0,---,---,---,---,---,0
2017/03/21,0,0,---,---,---,---,---,0
2017/03/22,0,0,---,---,---,---,---,0
2017/03/23,24000,10560,0.44,0.44,0.44,0.44,-0.02,1
2017/03/24,0,0,---,---,---,---,---,0
2017/03/27,0,0,---,---,---,---,---,0
2017/03/28,0,0,---,---,---,---,---,0
2017/03/29,0,0,---,---,---,---,---,0
2017/03/30,0,0,---,---,---,---,---,0
2017/03/31,0,0,---,---,---,---,---,0
2017/04/05,90000,36000,0.40,0.40,0.40,0.40,0.03,9
2017/04/06,0,0,---,---,---,---,---,0
2017/04/07,90000,34200,0.38,0.38,0.38,0.38,-0.02,1
2017/04/10,0,0,---,---,---,---,---,0
2017/04/11,0,0,---,---,---,---,---,0
2017/04/12,0,0,---,---,---,---,---,0
2017/04/13,0,0,---,---,---,---,---,0
2017/04/14,0,0,---,---,---,---,---,0
2017/04/17,0,0,---,---,---,---,---,0
2017/04/18,0,0,---,---,---,---,---,0
2017/04/19,0,0,---,---,---,---,---,0
2017/04/20,0,0,---,---,---,---,---,0
2017/04/21,0,0,---,---,---,---,---,0
2017/04/24,0,0,---,---,---,---,---,0
2017/04/25,0,0,---,---,---,---,---,0
2017/04/26,0,0,---,---,---,---,---,0
2017/04/27,0,0,---,---,---,---,---,0
2017/04/28,0,0,---,---,---,---,---,0
