Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2014/10/08,0,0,--,--,--,--,,0
2014/10/09,0,0,--,--,--,--,,0
2014/10/13,0,0,--,--,--,--,,0
2014/10/14,20000,7600,0.38,0.38,0.38,0.38,X,1
2014/10/15,21000,5920,0.32,0.32,0.28,0.28,-0.10,2
2014/10/16,1000,250,0.25,0.25,0.25,0.25,-0.03,1
2014/10/17,0,0,--,--,--,--,,0
2014/10/20,0,0,--,--,--,--,,0
2014/10/21,507000,131900,0.26,0.27,0.26,0.27,X,2
2014/10/22,759000,227200,0.30,0.33,0.29,0.29,0.02,4
2014/10/23,554000,136000,0.26,0.26,0.24,0.25,-0.04,4
2014/10/24,140000,34600,0.25,0.25,0.24,0.24,-0.01,2
2014/10/27,0,0,--,--,--,--,,0
2014/10/28,13000,2370,0.19,0.19,0.18,0.18,X,2
2014/10/29,3000,630,0.21,0.21,0.21,0.21,0.03,1
2014/10/30,3000,720,0.24,0.24,0.24,0.24,0.03,1
2014/10/31,0,0,--,--,--,--,,0
2014/11/03,207000,61910,0.25,0.30,0.25,0.29,X,3
2014/11/04,40000,10400,0.26,0.26,0.26,0.26,-0.03,1
2014/11/05,0,0,--,--,--,--,,0
2014/11/06,20000,5600,0.27,0.29,0.27,0.29,X,2
2014/11/07,2000,480,0.24,0.24,0.24,0.24,-0.05,1
2014/11/10,2000,580,0.29,0.29,0.29,0.29,0.05,1
2014/11/11,0,0,--,--,--,--,,0
2014/11/12,0,0,--,--,--,--,,0
2014/11/13,1000,320,0.32,0.32,0.32,0.32,X,1
2014/11/14,12000,4950,0.41,0.43,0.41,0.43,0.11,3
2014/11/17,261000,130450,0.47,0.52,0.46,0.50,0.07,12
2014/11/18,100000,45390,0.43,0.46,0.43,0.46,-0.04,22
2014/11/19,27000,13300,0.50,0.51,0.47,0.47,0.01,3
2014/11/20,83000,47050,0.57,0.59,0.56,0.59,0.12,6
2014/11/21,436000,272830,0.60,0.65,0.58,0.61,0.02,12
2014/11/24,86000,47590,0.59,0.59,0.52,0.53,-0.08,14
2014/11/25,188000,110980,0.52,0.64,0.52,0.64,0.11,14
2014/11/26,380000,254640,0.65,0.70,0.61,0.62,-0.02,27
2014/11/27,2989000,1921160,0.62,0.68,0.59,0.66,0.04,36
2014/11/28,2718000,1754320,0.64,0.65,0.61,0.63,-0.03,33
2014/12/01,2699000,1836580,0.56,0.75,0.56,0.72,0.09,26
2014/12/02,2621000,1978070,0.80,0.86,0.68,0.68,-0.04,58
2014/12/03,144000,102600,0.66,0.75,0.66,0.73,0.05,5
2014/12/04,90000,66300,0.76,0.76,0.69,0.69,-0.04,3
2014/12/05,72000,45380,0.68,0.68,0.60,0.61,-0.08,8
2014/12/08,10000,6100,0.61,0.61,0.61,0.61,,1
2014/12/09,190000,92510,0.50,0.50,0.48,0.49,-0.12,26
2014/12/10,336000,153440,0.49,0.50,0.44,0.49,,19
2014/12/11,60000,31200,0.52,0.52,0.52,0.52,0.03,1
2014/12/12,144000,73440,0.53,0.53,0.46,0.46,-0.06,7
2014/12/15,10000,4900,0.49,0.49,0.49,0.49,0.03,2
2014/12/16,5000,2550,0.51,0.51,0.51,0.51,0.02,1
2014/12/17,114000,43880,0.42,0.42,0.37,0.37,-0.14,5
2014/12/18,11000,4610,0.42,0.42,0.41,0.41,0.04,2
2014/12/19,129000,40180,0.38,0.38,0.30,0.32,-0.09,8
2014/12/22,10000,3300,0.33,0.33,0.33,0.33,0.01,1
2014/12/23,25000,10200,0.41,0.41,0.40,0.40,0.07,2
2014/12/24,0,0,--,--,--,--,,0
2014/12/25,26000,10400,0.40,0.40,0.40,0.40,X,1
2014/12/26,10000,3900,0.39,0.39,0.39,0.39,-0.01,1
2014/12/29,2000,800,0.40,0.40,0.40,0.40,X,1
2014/12/30,34000,13920,0.42,0.42,0.38,0.38,-0.02,2
2014/12/31,0,0,--,--,--,--,,0
2015/01/05,0,0,--,--,--,--,,0
2015/01/06,0,0,--,--,--,--,,0
2015/01/07,14000,5000,0.37,0.37,0.35,0.35,X,2
2015/01/08,0,0,--,--,--,--,,0
2015/01/09,2000,900,0.45,0.45,0.45,0.45,X,1
2015/01/12,7000,3290,0.47,0.47,0.47,0.47,0.02,2
2015/01/13,1130000,594080,0.48,0.56,0.48,0.52,0.05,16
2015/01/14,533000,266340,0.50,0.50,0.49,0.49,-0.03,7
2015/01/15,536000,261910,0.49,0.49,0.46,0.48,-0.01,4
2015/01/16,122000,50430,0.44,0.44,0.40,0.41,-0.07,5
2015/01/19,0,0,--,--,--,--,,0
2015/01/20,125000,58520,0.43,0.48,0.43,0.47,X,7
2015/01/21,36000,17040,0.48,0.48,0.46,0.46,-0.01,6
2015/01/22,30000,15400,0.52,0.52,0.50,0.50,0.04,2
2015/01/23,70000,40910,0.68,0.68,0.47,0.47,-0.03,10
2015/01/26,112000,50330,0.45,0.45,0.44,0.45,-0.02,8
2015/01/27,65000,32450,0.51,0.51,0.49,0.50,0.05,4
2015/01/28,40000,19400,0.49,0.49,0.48,0.48,-0.02,2
2015/01/29,131000,58480,0.48,0.48,0.42,0.44,-0.04,7
2015/01/30,165000,69150,0.41,0.42,0.41,0.42,-0.02,2
2015/02/02,67000,25210,0.37,0.38,0.37,0.38,-0.04,3
2015/02/03,153000,55710,0.37,0.38,0.36,0.36,-0.02,4
2015/02/04,165000,61500,0.39,0.39,0.36,0.37,0.01,4
2015/02/05,79000,24830,0.32,0.32,0.30,0.31,-0.06,5
2015/02/06,103000,32330,0.31,0.32,0.31,0.31,,4
2015/02/09,69000,19030,0.28,0.29,0.26,0.26,-0.05,4
2015/02/10,193000,61000,0.27,0.33,0.27,0.32,0.06,12
2015/02/11,210000,66200,0.32,0.32,0.30,0.31,-0.01,9
2015/02/12,307000,92100,0.30,0.30,0.30,0.30,-0.01,3
2015/02/13,101000,33810,0.33,0.34,0.31,0.31,0.01,4
2015/02/24,0,0,--,--,--,--,,0
2015/02/25,12000,3240,0.27,0.27,0.27,0.27,X,1
2015/02/26,34000,9420,0.27,0.28,0.27,0.28,0.01,3
2015/03/02,19000,4750,0.25,0.25,0.25,0.25,-0.03,2
2015/03/03,109000,25260,0.24,0.24,0.23,0.24,-0.01,4
2015/03/04,100000,23000,0.23,0.23,0.23,0.23,-0.01,3
2015/03/05,277000,85100,0.29,0.31,0.29,0.31,0.08,8
2015/03/06,140000,43600,0.31,0.32,0.30,0.32,0.01,5
2015/03/09,656000,218060,0.30,0.36,0.30,0.35,0.03,22
2015/03/10,366000,90140,0.25,0.25,0.23,0.23,-0.12,7
2015/03/11,75000,18750,0.25,0.25,0.25,0.25,0.02,2
2015/03/12,0,0,--,--,--,--,,0
2015/03/13,65000,15200,0.23,0.24,0.23,0.24,X,2
2015/03/16,35000,8400,0.24,0.24,0.24,0.24,,1
2015/03/17,65000,16600,0.26,0.26,0.24,0.24,,2
2015/03/18,0,0,--,--,--,--,,0
2015/03/19,110000,28800,0.28,0.28,0.26,0.26,X,2
2015/03/20,20000,5200,0.26,0.26,0.26,0.26,,1
2015/03/23,965000,296430,0.25,0.32,0.25,0.29,0.03,14
2015/03/24,145000,39400,0.27,0.29,0.26,0.26,-0.03,6
2015/03/25,260000,66100,0.26,0.26,0.23,0.23,-0.03,9
2015/03/26,267000,60910,0.22,0.23,0.22,0.23,,3
2015/03/27,227000,52110,0.24,0.24,0.21,0.21,-0.02,7
2015/03/30,30000,5800,0.21,0.21,0.18,0.19,-0.02,3
2015/03/31,160000,35750,0.22,0.23,0.22,0.23,0.04,6
2015/04/01,10000,2200,0.22,0.22,0.22,0.22,-0.01,1
2015/04/02,0,0,--,--,--,--,,0
2015/04/07,0,0,--,--,--,--,,0
2015/04/08,0,0,--,--,--,--,,0
2015/04/09,50000,6500,0.13,0.13,0.13,0.13,X,1
2015/04/10,160000,17000,0.10,0.11,0.10,0.10,-0.03,5
2015/04/13,10000,1000,0.10,0.10,0.10,0.10,,1
2015/04/14,10000,700,0.07,0.07,0.07,0.07,-0.03,1
2015/04/15,0,0,--,--,--,--,,0
2015/04/16,100000,5000,0.05,0.05,0.05,0.05,X,1
2015/04/17,0,0,--,--,--,--,,0
2015/04/20,0,0,--,--,--,--,,0
2015/04/21,0,0,--,--,--,--,,0
2015/04/22,0,0,--,--,--,--,,0
2015/04/23,0,0,--,--,--,--,,0
2015/04/24,0,0,--,--,--,--,,0
2015/04/27,0,0,--,--,--,--,,0
2015/04/28,0,0,--,--,--,--,,0
2015/04/29,25000,500,0.02,0.02,0.02,0.02,X,1
2015/04/30,0,0,--,--,--,--,,0
2015/05/04,0,0,--,--,--,--,,0
2015/05/05,0,0,--,--,--,--,,0
2015/05/06,0,0,--,--,--,--,,0
2015/05/07,0,0,--,--,--,--,,0
2015/05/08,0,0,--,--,--,--,,0
2015/05/11,0,0,--,--,--,--,,0
2015/05/12,0,0,--,--,--,--,,0
2015/05/13,0,0,--,--,--,--,,0
2015/05/14,0,0,--,--,--,--,,0
