2017/08/04,42000,49840,1.19,1.19,1.18,1.18,-0.32,2
2017/08/07,5000,5950,1.19,1.19,1.19,1.19,+0.01,1
2017/08/08,0,0,---,---,---,---,---,0
2017/08/09,0,0,---,---,---,---,---,0
2017/08/10,318000,333880,1.00,1.09,1.00,1.09,+0.05,7
2017/08/11,950000,984200,0.94,1.19,0.94,1.19,+0.10,27
2017/08/14,1052000,1457130,1.38,1.43,1.32,1.42,+0.23,33
2017/08/15,802000,926470,1.18,1.21,1.10,1.21,-0.21,50
2017/08/16,1087000,1453680,1.26,1.48,1.25,1.43,+0.22,54
2017/08/17,934000,1454990,1.53,1.63,1.45,1.46,+0.03,54
2017/08/18,203000,271060,1.34,1.36,1.30,1.36,-0.10,13
2017/08/21,296000,406700,1.33,1.40,1.33,1.40,+0.04,9
