2017/08/04,18000,22530,1.26,1.26,1.25,1.25,-0.07,4
2017/08/07,348000,438260,1.22,1.28,1.16,1.28,+0.03,14
2017/08/08,793000,1011010,1.30,1.33,1.21,1.32,+0.04,20
2017/08/09,1337000,1703320,1.22,1.33,1.17,1.26,-0.06,43
2017/08/10,576000,645970,1.24,1.24,1.06,1.07,-0.19,13
2017/08/11,427000,531990,1.09,1.31,1.09,1.30,+0.23,23
2017/08/14,378000,465970,1.28,1.28,1.16,1.16,-0.14,39
2017/08/15,1252000,1668780,1.23,1.43,1.23,1.24,+0.08,46
2017/08/16,771000,866800,1.17,1.17,1.08,1.14,-0.10,44
2017/08/17,376000,469520,1.17,1.29,1.16,1.23,+0.09,18
2017/08/18,469000,578510,1.22,1.30,1.17,1.22,-0.01,22
2017/08/21,1472000,2210210,1.33,1.73,1.32,1.73,+0.51,71
