2017/08/07,0,0,---,---,---,---,---,0
2017/08/08,223000,194580,0.87,0.90,0.87,0.87,+0.03,5
2017/08/09,193000,151050,0.80,0.80,0.77,0.77,-0.10,6
2017/08/10,64000,43110,0.72,0.72,0.62,0.62,-0.15,6
2017/08/11,387000,255570,0.66,0.67,0.65,0.66,+0.04,7
2017/08/14,0,0,---,---,---,---,---,0
2017/08/15,179000,117720,0.66,0.67,0.64,0.64,+0.01,3
2017/08/16,153000,99150,0.64,0.65,0.64,0.65,+0.01,3
2017/08/17,123000,78730,0.64,0.65,0.64,0.65,0.00,6
2017/08/18,137000,82270,0.60,0.61,0.60,0.60,-0.05,5
2017/08/21,0,0,---,---,---,---,---,0
