2017/08/04,497000,399500,0.79,0.85,0.79,0.79,+0.04,14
2017/08/07,338000,264010,0.82,0.82,0.77,0.77,-0.02,8
2017/08/08,480000,339250,0.69,0.72,0.69,0.71,-0.06,9
2017/08/09,200000,136000,0.68,0.68,0.68,0.68,-0.03,2
2017/08/10,215000,134150,0.61,0.63,0.61,0.63,-0.05,3
2017/08/11,81000,51530,0.64,0.64,0.63,0.63,0.00,3
2017/08/14,86000,49050,0.60,0.60,0.57,0.57,-0.06,3
2017/08/15,180000,106100,0.57,0.60,0.57,0.60,+0.03,3
2017/08/16,210000,126100,0.60,0.61,0.60,0.61,+0.01,4
2017/08/17,150000,93500,0.61,0.63,0.61,0.63,+0.02,2
2017/08/18,113000,67420,0.60,0.60,0.59,0.59,-0.04,8
2017/08/21,100000,58000,0.58,0.58,0.58,0.58,-0.01,1
