2017/08/04,18000,14760,0.82,0.82,0.82,0.82,+0.06,3
2017/08/07,101000,80770,0.80,0.80,0.77,0.77,-0.05,2
2017/08/08,2531000,2190400,0.81,0.93,0.81,0.87,+0.10,67
2017/08/09,200000,178550,0.90,0.90,0.88,0.89,+0.02,5
2017/08/10,384000,347180,0.92,0.92,0.89,0.92,+0.03,14
2017/08/11,1284000,1055860,0.82,0.85,0.74,0.74,-0.18,20
2017/08/14,764000,515590,0.73,0.73,0.65,0.66,-0.08,34
2017/08/15,60000,46300,0.78,0.78,0.77,0.77,+0.11,6
2017/08/16,78000,58320,0.75,0.75,0.74,0.74,-0.03,7
2017/08/17,90000,67200,0.77,0.77,0.70,0.70,-0.04,4
2017/08/18,119000,75650,0.65,0.65,0.60,0.60,-0.10,14
2017/08/21,264000,132240,0.51,0.52,0.48,0.50,-0.10,31
