2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,179000,176590,0.98,1.01,0.95,0.95,0.00,4
2017/08/08,502000,490940,0.98,1.00,0.94,0.97,+0.02,12
2017/08/09,320000,225600,0.71,0.71,0.68,0.68,-0.29,4
2017/08/10,0,0,---,---,---,---,---,0
2017/08/11,0,0,---,---,---,---,---,0
2017/08/14,0,0,---,---,---,---,---,0
2017/08/15,0,0,---,---,---,---,---,0
2017/08/16,0,0,---,---,---,---,---,0
2017/08/17,0,0,---,---,---,---,---,0
2017/08/18,0,0,---,---,---,---,---,0
2017/08/21,400000,230000,0.55,0.60,0.55,0.60,+0.08,4
