2017/08/07,519000,783700,1.39,1.71,1.35,1.71,+0.73,41
2017/08/08,307000,446070,1.55,1.55,1.31,1.43,-0.28,40
2017/08/09,359000,513930,1.43,1.53,1.38,1.44,+0.01,23
2017/08/10,187000,230160,1.37,1.41,1.11,1.30,-0.14,20
2017/08/11,373000,564620,1.33,1.61,1.33,1.57,+0.27,38
2017/08/14,289000,468760,1.81,1.85,1.20,1.20,-0.37,22
2017/08/15,197000,323790,1.55,1.72,1.54,1.72,+0.52,25
2017/08/16,214000,366530,1.65,1.80,1.59,1.63,-0.09,15
2017/08/17,328000,644560,1.74,2.18,1.69,2.12,+0.49,27
2017/08/18,141000,304170,1.98,2.32,1.98,2.20,+0.08,15
2017/08/21,70000,163500,2.28,2.37,2.25,2.25,+0.05,6
