2017/08/09,400000,264000,0.66,0.66,0.66,0.66,-0.10,4
2017/08/10,420000,281600,0.67,0.68,0.67,0.68,+0.02,4
2017/08/11,3000,1860,0.64,0.64,0.60,0.60,-0.08,3
2017/08/14,21000,11550,0.55,0.55,0.55,0.55,-0.05,2
2017/08/15,1000,600,0.60,0.60,0.60,0.60,+0.05,1
2017/08/16,7000,4550,0.65,0.66,0.60,0.60,0.00,3
2017/08/17,48000,28800,0.60,0.60,0.60,0.60,0.00,3
2017/08/18,0,0,---,---,---,---,---,0
2017/08/21,0,0,---,---,---,---,---,0
