2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,1038000,1308440,1.17,1.43,1.17,1.43,+0.31,34
2017/08/08,1154000,1531410,1.34,1.37,1.24,1.24,-0.19,51
2017/08/09,1818000,2511480,1.27,1.54,1.27,1.44,+0.20,66
2017/08/10,2022000,2847630,1.46,1.50,1.18,1.19,-0.25,99
2017/08/11,1168000,1440100,1.18,1.30,1.13,1.27,+0.08,33
2017/08/14,1392000,1654390,1.30,1.30,1.08,1.08,-0.19,72
2017/08/15,1976000,2258940,1.15,1.16,1.07,1.10,+0.02,41
2017/08/16,1312000,1450440,1.05,1.15,1.02,1.14,+0.04,41
2017/08/17,747000,918810,1.14,1.32,1.14,1.24,+0.10,39
2017/08/18,3141000,4265190,1.22,1.54,1.17,1.52,+0.28,106
2017/08/21,2525000,4288850,1.55,1.95,1.55,1.93,+0.41,113
