2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,280000,337680,1.18,1.23,1.18,1.20,+0.07,7
2017/08/08,284000,332080,1.18,1.18,1.13,1.13,-0.07,6
2017/08/09,0,0,---,---,---,---,---,0
2017/08/10,105000,107200,1.02,1.04,1.02,1.04,0.00,2
2017/08/11,100000,91000,0.91,0.91,0.91,0.91,-0.13,1
2017/08/14,0,0,---,---,---,---,---,0
2017/08/15,550000,491500,0.88,0.94,0.87,0.94,+0.10,9
2017/08/16,550000,500500,0.93,0.93,0.90,0.90,-0.04,7
2017/08/17,404000,369070,0.86,0.95,0.86,0.92,+0.02,6
2017/08/18,545000,455080,0.85,0.88,0.81,0.88,-0.04,11
2017/08/21,164000,147600,0.90,0.90,0.90,0.90,+0.02,2
