2017/08/07,0,0,---,---,---,---,---,0
2017/08/08,930000,1202340,1.23,1.37,1.23,1.37,+0.14,22
2017/08/09,707000,905150,1.29,1.30,1.26,1.26,-0.11,16
2017/08/10,77000,92400,1.20,1.20,1.20,1.20,-0.06,1
2017/08/11,241000,285560,1.16,1.20,1.16,1.20,0.00,8
2017/08/14,283000,333350,1.17,1.19,1.16,1.18,-0.02,7
2017/08/15,521000,604140,1.11,1.23,1.11,1.17,-0.01,12
2017/08/16,334000,385550,1.18,1.18,1.02,1.11,-0.06,8
2017/08/17,678000,818570,1.15,1.25,1.15,1.18,+0.07,25
2017/08/18,542000,575110,1.04,1.09,1.04,1.09,-0.09,13
2017/08/21,206000,230050,1.14,1.14,1.08,1.14,+0.05,5
