2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,616000,663820,1.01,1.14,1.01,1.14,+0.16,17
2017/08/08,714000,794090,1.20,1.20,1.01,1.02,-0.12,29
2017/08/09,152000,144950,0.96,0.97,0.90,0.90,-0.12,6
2017/08/10,665000,562770,0.83,0.86,0.83,0.85,-0.05,6
2017/08/11,825000,678060,0.79,0.85,0.76,0.82,-0.03,19
2017/08/14,217000,161240,0.84,0.84,0.70,0.70,-0.12,8
2017/08/15,42000,31860,0.77,0.77,0.73,0.73,+0.03,5
2017/08/16,349000,273560,0.78,0.80,0.72,0.72,-0.01,8
2017/08/17,778000,616560,0.73,0.85,0.72,0.83,+0.11,24
2017/08/18,467000,361110,0.77,0.79,0.75,0.77,-0.06,12
2017/08/21,447000,348500,0.77,0.81,0.72,0.80,+0.03,22
