2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,37000,67050,1.81,1.84,1.80,1.80,+0.07,3
2017/08/08,134000,238990,1.78,1.82,1.71,1.71,-0.09,9
2017/08/09,97000,131930,1.36,1.43,1.35,1.43,-0.28,5
2017/08/10,0,0,---,---,---,---,---,0
2017/08/11,11000,11750,1.05,1.07,1.05,1.07,+0.03,2
2017/08/14,11000,10390,1.09,1.09,0.93,0.93,-0.14,2
2017/08/15,549000,450780,0.82,0.84,0.82,0.84,-0.09,8
2017/08/16,761000,642240,0.85,0.85,0.84,0.84,0.00,6
2017/08/17,1624000,1654710,0.86,1.13,0.86,1.10,+0.26,31
2017/08/18,1408000,1407800,0.96,1.04,0.95,1.04,-0.06,39
2017/08/21,275000,319170,1.13,1.17,1.13,1.15,+0.11,5
