Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2014/01/08,2000,1560,0.78,0.78,0.78,0.78,-0.02,1
2014/01/09,10000,7900,0.79,0.79,0.79,0.79,0.01,1
2014/01/10,0,0,---,---,---,---,---,0
2014/01/13,0,0,---,---,---,---,---,0
2014/01/14,0,0,---,---,---,---,---,0
2014/01/15,159000,130610,0.79,0.88,0.79,0.88,0.17,4
2014/01/16,82000,74040,0.90,0.92,0.89,0.89,0.01,5
2014/01/17,45000,37350,0.83,0.83,0.83,0.83,-0.06,2
2014/01/20,85000,68800,0.86,0.86,0.74,0.74,-0.09,5
2014/01/21,50000,36720,0.75,0.75,0.73,0.75,0.01,3
2014/01/22,1000,720,0.72,0.72,0.72,0.72,-0.03,1
2014/01/23,0,0,---,---,---,---,---,0
2014/01/24,20000,14800,0.74,0.74,0.74,0.74,-0.03,1
2014/01/27,0,0,---,---,---,---,---,0
2014/02/05,0,0,---,---,---,---,---,0
2014/02/06,0,0,---,---,---,---,---,0
2014/02/07,257000,190180,0.74,0.74,0.74,0.74,0.02,2
2014/02/10,274000,235900,0.78,0.88,0.78,0.86,0.12,8
2014/02/11,457000,442160,0.86,1.02,0.86,1.01,0.15,14
2014/02/12,832000,1057160,1.21,1.28,1.21,1.28,0.27,26
2014/02/13,212000,291230,1.27,1.52,1.27,1.49,0.21,17
2014/02/14,285000,435500,1.68,1.68,1.50,1.52,0.03,16
2014/02/17,70000,104500,1.49,1.50,1.47,1.47,-0.05,5
2014/02/18,282000,434880,1.55,1.58,1.49,1.49,0.02,12
2014/02/19,132000,191150,1.47,1.47,1.29,1.29,-0.20,6
2014/02/20,50000,66500,1.33,1.33,1.33,1.33,0.04,1
2014/02/21,152000,215920,1.46,1.46,1.41,1.41,0.08,3
2014/02/24,2000,2940,1.47,1.47,1.47,1.47,0.06,1
2014/02/25,100000,145000,1.45,1.45,1.45,1.45,-0.02,1
2014/02/26,115000,152050,1.33,1.33,1.27,1.27,-0.18,2
2014/02/27,0,0,---,---,---,---,---,0
2014/03/03,0,0,---,---,---,---,---,0
2014/03/04,0,0,---,---,---,---,---,0
2014/03/05,67000,86580,1.29,1.30,1.29,1.29,0.06,8
2014/03/06,73000,101860,1.44,1.45,1.36,1.37,0.08,8
2014/03/07,27000,38310,1.46,1.46,1.38,1.39,0.02,4
2014/03/10,10000,12300,1.23,1.23,1.23,1.23,-0.16,1
2014/03/11,0,0,---,---,---,---,---,0
2014/03/12,0,0,---,---,---,---,---,0
2014/03/13,80000,102000,1.26,1.29,1.26,1.29,0.07,4
2014/03/14,0,0,---,---,---,---,---,0
2014/03/17,0,0,---,---,---,---,---,0
2014/03/18,0,0,---,---,---,---,---,0
2014/03/19,0,0,---,---,---,---,---,0
2014/03/20,0,0,---,---,---,---,---,0
2014/03/21,0,0,---,---,---,---,---,0
2014/03/24,0,0,---,---,---,---,---,0
2014/03/25,30000,34200,1.14,1.14,1.14,1.14,0.01,3
2014/03/26,10000,11400,1.14,1.14,1.14,1.14,0.00,1
2014/03/27,30000,35200,1.17,1.18,1.17,1.18,0.04,3
2014/03/28,30000,40700,1.37,1.38,1.32,1.32,0.14,3
2014/03/31,30000,36500,1.21,1.22,1.21,1.22,-0.10,2
2014/04/01,0,0,---,---,---,---,---,0
2014/04/02,0,0,---,---,---,---,---,0
2014/04/03,0,0,---,---,---,---,---,0
2014/04/07,0,0,---,---,---,---,---,0
2014/04/08,0,0,---,---,---,---,---,0
2014/04/09,5000,8000,1.60,1.60,1.60,1.60,0.37,1
2014/04/10,3000,5320,2.02,2.02,1.65,1.65,0.05,2
2014/04/11,0,0,---,---,---,---,---,0
2014/04/14,0,0,---,---,---,---,---,0
2014/04/15,0,0,---,---,---,---,---,0
2014/04/16,10000,12100,1.21,1.21,1.21,1.21,-0.01,2
2014/04/17,0,0,---,---,---,---,---,0
2014/04/18,0,0,---,---,---,---,---,0
2014/04/21,0,0,---,---,---,---,---,0
2014/04/22,0,0,---,---,---,---,---,0
2014/04/23,0,0,---,---,---,---,---,0
2014/04/24,0,0,---,---,---,---,---,0
2014/04/25,0,0,---,---,---,---,---,0
2014/04/28,0,0,---,---,---,---,---,0
2014/04/29,87000,111070,1.24,1.36,1.24,1.36,0.25,11
2014/04/30,75000,103000,1.36,1.46,1.36,1.46,0.10,8
2014/05/02,0,0,---,---,---,---,---,0
2014/05/05,0,0,---,---,---,---,---,0
2014/05/06,1000,1370,1.37,1.37,1.37,1.37,0.11,1
2014/05/07,0,0,---,---,---,---,---,0
2014/05/08,10000,15550,1.52,1.59,1.52,1.59,0.23,2
2014/05/09,35000,63300,1.74,1.98,1.74,1.98,0.39,4
2014/05/12,55000,98800,1.76,1.84,1.76,1.84,-0.14,6
2014/05/13,80000,140300,1.86,1.86,1.67,1.71,-0.13,8
2014/05/14,50000,87400,1.71,1.90,1.71,1.90,0.19,5
2014/05/15,10000,17400,1.74,1.74,1.74,1.74,-0.16,1
2014/05/16,0,0,---,---,---,---,---,0
2014/05/19,120000,207600,1.73,1.73,1.73,1.73,0.05,12
2014/05/20,10000,18000,1.80,1.80,1.80,1.80,0.07,1
2014/05/21,0,0,---,---,---,---,---,0
2014/05/22,0,0,---,---,---,---,---,0
2014/05/23,0,0,---,---,---,---,---,0
2014/05/26,0,0,---,---,---,---,---,0
2014/05/27,0,0,---,---,---,---,---,0
2014/05/28,0,0,---,---,---,---,---,0
2014/05/29,0,0,---,---,---,---,---,0
2014/05/30,0,0,---,---,---,---,---,0
2014/06/03,0,0,---,---,---,---,---,0
2014/06/04,0,0,---,---,---,---,---,0
2014/06/05,0,0,---,---,---,---,---,0
2014/06/06,0,0,---,---,---,---,---,0
2014/06/09,0,0,---,---,---,---,---,0
2014/06/10,0,0,---,---,---,---,---,0
2014/06/11,0,0,---,---,---,---,---,0
2014/06/12,0,0,---,---,---,---,---,0
2014/06/13,0,0,---,---,---,---,---,0
2014/06/16,0,0,---,---,---,---,---,0
2014/06/17,0,0,---,---,---,---,---,0
2014/06/18,0,0,---,---,---,---,---,0
2014/06/19,0,0,---,---,---,---,---,0
2014/06/20,0,0,---,---,---,---,---,0
2014/06/23,0,0,---,---,---,---,---,0
2014/06/24,0,0,---,---,---,---,---,0
2014/06/25,0,0,---,---,---,---,---,0
2014/06/26,0,0,---,---,---,---,---,0
2014/06/27,0,0,---,---,---,---,---,0
2014/06/30,0,0,---,---,---,---,---,0
2014/07/01,60000,88800,1.48,1.48,1.48,1.48,-0.12,1
2014/07/02,0,0,---,---,---,---,---,0
2014/07/03,0,0,---,---,---,---,---,0
