Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2012/11/01,0,0,---,---,---,---,---,0
2012/11/02,0,0,---,---,---,---,---,0
2012/11/05,0,0,---,---,---,---,---,0
2012/11/06,12000,10200,0.85,0.85,0.85,0.85,0.05,1
2012/11/07,28000,24280,0.86,0.87,0.86,0.87,0.02,2
2012/11/08,42000,35670,0.84,0.86,0.83,0.86,-0.01,4
2012/11/09,370000,317400,0.84,0.86,0.84,0.86,0.00,8
2012/11/12,361000,299630,0.83,0.83,0.83,0.83,-0.03,6
2012/11/13,0,0,---,---,---,---,---,0
2012/11/14,7000,5140,0.72,0.74,0.72,0.72,-0.02,3
2012/11/15,7000,4890,0.70,0.71,0.68,0.71,-0.01,3
2012/11/16,1000,740,0.74,0.74,0.74,0.74,0.03,1
2012/11/19,26000,17010,0.71,0.72,0.59,0.59,-0.15,10
2012/11/20,31000,15840,0.54,0.54,0.51,0.51,-0.08,2
2012/11/21,0,0,---,---,---,---,---,0
2012/11/22,73000,44710,0.60,0.62,0.60,0.61,0.02,4
2012/11/23,2000,1280,0.64,0.64,0.64,0.64,0.03,1
2012/11/26,1000,670,0.67,0.67,0.67,0.67,0.03,1
2012/11/27,0,0,---,---,---,---,---,0
2012/11/28,121000,89780,0.74,0.76,0.74,0.76,0.09,4
2012/11/29,303000,263600,0.87,0.88,0.85,0.85,0.09,9
2012/11/30,381000,315550,0.82,0.84,0.82,0.82,-0.03,11
2012/12/03,46000,37470,0.81,0.82,0.81,0.82,0.00,3
2012/12/04,35000,27600,0.78,0.81,0.78,0.81,-0.01,2
2012/12/05,0,0,---,---,---,---,---,0
2012/12/06,0,0,---,---,---,---,---,0
2012/12/07,0,0,---,---,---,---,---,0
2012/12/10,0,0,---,---,---,---,---,0
2012/12/11,0,0,---,---,---,---,---,0
2012/12/12,95000,89700,0.94,0.96,0.94,0.94,0.07,5
2012/12/13,35000,32700,0.95,0.95,0.92,0.92,-0.02,3
2012/12/14,68000,63600,0.95,0.95,0.93,0.93,0.01,2
2012/12/17,80000,79500,1.01,1.01,0.99,0.99,0.06,3
2012/12/18,55000,57850,0.97,1.09,0.97,1.09,0.10,3
2012/12/19,58000,63130,1.11,1.16,1.06,1.07,-0.02,4
2012/12/20,260000,257200,1.02,1.02,0.97,0.99,-0.08,5
2012/12/21,202000,205000,1.01,1.02,1.00,1.00,0.01,5
2012/12/24,0,0,---,---,---,---,---,0
2012/12/25,0,0,---,---,---,---,---,0
2012/12/26,0,0,---,---,---,---,---,0
2012/12/27,0,0,---,---,---,---,---,0
2012/12/28,23000,24320,1.06,1.06,1.04,1.04,-0.07,2
2013/01/02,10000,10800,1.08,1.08,1.08,1.08,0.04,1
2013/01/03,0,0,---,---,---,---,---,0
2013/01/04,0,0,---,---,---,---,---,0
2013/01/07,298000,296160,0.97,1.05,0.97,1.05,0.06,4
2013/01/08,338000,339950,0.98,1.10,0.98,1.10,0.05,9
2013/01/09,40000,42400,1.06,1.06,1.06,1.06,-0.04,2
2013/01/10,0,0,---,---,---,---,---,0
2013/01/11,0,0,---,---,---,---,---,0
2013/01/14,0,0,---,---,---,---,---,0
2013/01/15,0,0,---,---,---,---,---,0
2013/01/16,348000,409980,1.20,1.23,1.11,1.11,0.10,11
2013/01/17,198000,200680,1.06,1.06,0.93,0.93,-0.18,8
2013/01/18,397000,400460,0.90,1.05,0.90,1.02,0.09,13
2013/01/21,350000,360990,1.04,1.04,1.01,1.03,0.01,9
2013/01/22,140000,155100,1.10,1.20,1.05,1.05,0.02,7
2013/01/23,90000,90850,1.02,1.02,1.00,1.00,-0.05,5
2013/01/24,95000,97000,1.05,1.05,0.98,0.98,-0.02,6
2013/01/25,250000,247900,1.02,1.02,0.93,0.94,-0.04,8
2013/01/28,244000,232300,0.96,1.01,0.92,0.95,0.01,6
2013/01/29,176000,174240,0.98,1.04,0.98,1.04,0.09,4
2013/01/30,10000,9900,0.99,0.99,0.99,0.99,-0.05,1
2013/01/31,20000,20800,1.04,1.04,1.04,1.04,0.05,1
