2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,710000,512010,0.72,0.74,0.71,0.71,+0.04,8
2017/08/08,714000,481590,0.68,0.68,0.67,0.67,-0.04,9
2017/08/09,1000,650,0.65,0.65,0.65,0.65,-0.02,1
2017/08/10,1000,560,0.56,0.56,0.56,0.56,-0.09,1
2017/08/11,0,0,---,---,---,---,---,0
2017/08/14,0,0,---,---,---,---,---,0
2017/08/15,358000,195820,0.54,0.56,0.54,0.56,+0.03,5
2017/08/16,358000,200480,0.56,0.56,0.56,0.56,0.00,3
2017/08/17,0,0,---,---,---,---,---,0
2017/08/18,0,0,---,---,---,---,---,0
2017/08/21,0,0,---,---,---,---,---,0
