2017/08/07,0,0,---,---,---,---,---,0
2017/08/08,0,0,---,---,---,---,---,0
2017/08/09,532000,608710,1.14,1.17,1.02,1.02,-0.03,17
2017/08/10,572000,550270,1.00,1.00,0.86,0.86,-0.16,34
2017/08/11,40000,31600,0.79,0.79,0.79,0.79,-0.07,1
2017/08/14,15000,11850,0.79,0.79,0.79,0.79,0.00,11
2017/08/15,150000,108150,0.76,0.76,0.70,0.71,-0.08,14
2017/08/16,938000,692930,0.73,0.76,0.73,0.76,+0.05,10
2017/08/17,775000,576890,0.75,0.76,0.71,0.74,-0.02,25
2017/08/18,179000,124060,0.70,0.70,0.68,0.68,-0.06,3
2017/08/21,623000,456440,0.73,0.76,0.72,0.76,+0.08,9
