Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2010/06/01,2000,1620,0.81,0.81,0.81,0.81,-0.21,2
2010/06/02,1000,830,0.83,0.83,0.83,0.83,0.02,1
2010/06/03,1000,910,0.91,0.91,0.91,0.91,0.08,1
2010/06/04,0,0,--,--,--,--,,0
2010/06/07,10000,6830,0.74,0.74,0.65,0.65,-0.26,3
2010/06/08,18000,12940,0.71,0.73,0.71,0.73,0.08,3
2010/06/09,0,0,--,--,--,--,,0
2010/06/10,0,0,--,--,--,--,,0
2010/06/11,0,0,--,--,--,--,,0
2010/06/14,199000,144250,0.70,0.73,0.70,0.73,,3
2010/06/15,631000,437270,0.69,0.73,0.67,0.73,,10
2010/06/17,406000,274250,0.69,0.69,0.61,0.61,-0.12,17
2010/06/18,123000,72200,0.63,0.63,0.56,0.56,-0.05,10
2010/06/21,926000,582120,0.60,0.64,0.60,0.62,0.06,20
2010/06/22,674000,401470,0.62,0.62,0.58,0.62,,16
2010/06/23,610000,367360,0.58,0.62,0.58,0.62,,11
2010/06/24,111000,63960,0.58,0.58,0.57,0.57,-0.05,9
2010/06/25,344000,158120,0.51,0.51,0.43,0.44,-0.13,27
2010/06/28,2042000,752870,0.45,0.45,0.33,0.34,-0.10,98
2010/06/29,1348000,456570,0.33,0.36,0.32,0.32,-0.02,44
2010/06/30,5262000,1604750,0.28,0.33,0.27,0.29,-0.03,128
2010/07/01,5507000,1337180,0.30,0.30,0.21,0.22,-0.07,164
2010/07/02,2290000,505440,0.26,0.27,0.20,0.22,,122
2010/07/05,3511000,866320,0.22,0.26,0.22,0.25,0.03,104
2010/07/06,4507000,1338660,0.25,0.32,0.25,0.32,0.07,153
2010/07/07,2242000,702710,0.33,0.35,0.29,0.30,-0.02,126
2010/07/08,7225000,2434790,0.31,0.36,0.31,0.33,0.03,151
2010/07/09,5323000,1952570,0.35,0.43,0.33,0.41,0.08,144
2010/07/12,2276000,896210,0.42,0.44,0.35,0.37,-0.04,87
2010/07/13,2212000,829630,0.40,0.41,0.33,0.35,-0.02,120
2010/07/14,3692000,1500200,0.39,0.44,0.38,0.41,0.06,122
2010/07/15,3179000,1150640,0.38,0.39,0.34,0.35,-0.06,120
2010/07/16,1313000,469410,0.35,0.37,0.34,0.36,0.01,60
