2017/08/04,9000,12420,1.38,1.38,1.38,1.38,-0.10,1
2017/08/07,664000,916460,1.37,1.40,1.37,1.38,0.00,20
2017/08/08,543000,716160,1.39,1.39,1.27,1.29,-0.09,15
2017/08/09,40000,52000,1.30,1.30,1.30,1.30,+0.01,2
2017/08/10,60000,66600,1.11,1.11,1.11,1.11,-0.19,1
2017/08/11,30000,34500,1.15,1.15,1.15,1.15,+0.04,1
2017/08/14,0,0,---,---,---,---,---,0
2017/08/15,15000,16200,1.08,1.08,1.08,1.08,+0.07,1
2017/08/16,15000,15750,1.05,1.05,1.05,1.05,-0.03,1
2017/08/17,0,0,---,---,---,---,---,0
2017/08/18,0,0,---,---,---,---,---,0
2017/08/21,0,0,---,---,---,---,---,0
