Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2014/10/07,0,0,--,--,--,--,,0
2014/10/08,0,0,--,--,--,--,,0
2014/10/09,0,0,--,--,--,--,,0
2014/10/13,0,0,--,--,--,--,,0
2014/10/14,537000,649230,1.18,1.27,1.18,1.27,X,7
2014/10/15,389000,509680,1.36,1.36,1.28,1.28,0.01,9
2014/10/16,248000,294680,1.17,1.22,1.16,1.22,-0.06,3
2014/10/17,100000,122000,1.22,1.22,1.22,1.22,,1
2014/10/20,0,0,--,--,--,--,,0
2014/10/21,0,0,--,--,--,--,,0
2014/10/22,608000,740700,1.18,1.24,1.18,1.20,X,11
2014/10/23,350000,399600,1.15,1.16,1.13,1.14,-0.06,11
2014/10/24,258000,297180,1.18,1.18,1.11,1.11,-0.03,13
2014/10/27,697000,869880,1.23,1.27,1.23,1.24,0.13,10
2014/10/28,544000,640320,1.11,1.20,1.11,1.18,-0.06,12
2014/10/29,475000,596270,1.26,1.49,1.24,1.46,0.28,10
2014/10/30,2000,2960,1.48,1.48,1.48,1.48,0.02,1
2014/10/31,0,0,--,--,--,--,,0
2014/11/03,0,0,--,--,--,--,,0
2014/11/04,0,0,--,--,--,--,,0
2014/11/05,3000,4020,1.34,1.34,1.34,1.34,X,1
2014/11/06,3000,3540,1.18,1.18,1.18,1.18,-0.16,1
2014/11/07,0,0,--,--,--,--,,0
2014/11/10,0,0,--,--,--,--,,0
2014/11/11,0,0,--,--,--,--,,0
2014/11/12,0,0,--,--,--,--,,0
2014/11/13,0,0,--,--,--,--,,0
2014/11/14,0,0,--,--,--,--,,0
2014/11/17,0,0,--,--,--,--,,0
2014/11/18,0,0,--,--,--,--,,0
2014/11/19,489000,480300,0.96,1.00,0.96,1.00,X,3
2014/11/20,489000,517240,1.05,1.09,1.03,1.04,0.04,16
2014/11/21,0,0,--,--,--,--,,0
2014/11/24,768000,947380,1.20,1.26,1.20,1.26,X,10
2014/11/25,768000,914060,1.19,1.22,1.17,1.22,-0.04,12
2014/11/26,0,0,--,--,--,--,,0
2014/11/27,0,0,--,--,--,--,,0
2014/11/28,0,0,--,--,--,--,,0
2014/12/01,121000,159720,1.32,1.32,1.32,1.32,X,1
2014/12/02,576000,786490,1.28,1.44,1.28,1.40,0.08,10
2014/12/03,561000,753620,1.36,1.44,1.30,1.44,0.04,27
2014/12/04,506000,799800,1.52,1.82,1.52,1.73,0.29,15
2014/12/05,436000,752000,1.79,1.79,1.63,1.66,-0.07,14
2014/12/08,70000,113300,1.64,1.65,1.59,1.59,-0.07,4
2014/12/09,75000,121000,1.63,1.63,1.53,1.53,-0.06,3
2014/12/10,0,0,--,--,--,--,,0
2014/12/11,119000,177010,1.43,1.49,1.43,1.49,X,2
2014/12/12,370000,607540,1.60,1.69,1.58,1.65,0.16,12
2014/12/15,98000,157780,1.61,1.61,1.61,1.61,-0.04,1
2014/12/16,0,0,--,--,--,--,,0
2014/12/17,60000,85200,1.44,1.44,1.38,1.38,X,2
2014/12/18,4000,6120,1.53,1.53,1.53,1.53,0.15,1
2014/12/19,0,0,--,--,--,--,,0
2014/12/22,0,0,--,--,--,--,,0
2014/12/23,11000,17050,1.55,1.55,1.55,1.55,X,1
2014/12/24,152000,246360,1.57,1.99,1.57,1.99,0.44,8
2014/12/25,98000,165240,1.68,1.70,1.63,1.63,-0.36,5
2014/12/26,42000,68880,1.64,1.64,1.64,1.64,0.01,1
2014/12/29,0,0,--,--,--,--,,0
2014/12/30,0,0,--,--,--,--,,0
2014/12/31,0,0,--,--,--,--,,0
2015/01/05,0,0,--,--,--,--,,0
2015/01/06,0,0,--,--,--,--,,0
2015/01/07,0,0,--,--,--,--,,0
2015/01/08,0,0,--,--,--,--,,0
2015/01/09,50000,110000,2.20,2.20,2.20,2.20,X,1
2015/01/12,0,0,--,--,--,--,,0
2015/01/13,0,0,--,--,--,--,,0
2015/01/14,0,0,--,--,--,--,,0
2015/01/15,0,0,--,--,--,--,,0
2015/01/16,30000,82200,2.74,2.74,2.74,2.74,X,1
2015/01/19,20000,52600,2.63,2.63,2.63,2.63,-0.11,1
2015/01/20,0,0,--,--,--,--,,0
2015/01/21,60000,167400,2.79,2.79,2.79,2.79,X,1
2015/01/22,61000,188280,3.09,3.09,2.88,2.88,0.09,2
2015/01/23,0,0,--,--,--,--,,0
2015/01/26,56000,192300,3.45,3.47,3.43,3.47,X,3
2015/01/27,56000,195310,3.48,3.57,3.48,3.52,0.05,5
2015/01/28,51000,214630,4.01,4.26,4.01,4.26,0.74,3
2015/01/29,61000,257430,4.57,4.57,4.00,4.22,-0.04,5
2015/01/30,5000,20950,4.19,4.19,4.19,4.19,-0.03,1
2015/02/02,0,0,--,--,--,--,,0
2015/02/03,0,0,--,--,--,--,,0
2015/02/04,0,0,--,--,--,--,,0
2015/02/05,0,0,--,--,--,--,,0
2015/02/06,0,0,--,--,--,--,,0
2015/02/09,0,0,--,--,--,--,,0
2015/02/10,4000,14560,3.64,3.64,3.64,3.64,X,1
2015/02/11,0,0,--,--,--,--,,0
2015/02/12,8000,25680,3.21,3.21,3.21,3.21,X,1
2015/02/13,3000,12570,4.17,4.20,4.17,4.20,0.99,2
2015/02/24,1000,5000,5.00,5.00,5.00,5.00,0.80,1
2015/02/25,2000,9740,4.92,4.92,4.82,4.82,-0.18,2
2015/02/26,0,0,--,--,--,--,,0
2015/03/02,10000,46700,4.67,4.67,4.67,4.67,X,1
2015/03/03,0,0,--,--,--,--,,0
2015/03/04,3000,13900,4.76,4.76,4.52,4.62,X,3
2015/03/05,1000,5700,5.70,5.70,5.70,5.70,1.08,1
