2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,215000,398810,1.85,1.88,1.74,1.87,+0.36,10
2017/08/08,466000,844150,2.00,2.00,1.62,1.79,-0.08,34
2017/08/09,611000,1109540,1.93,1.93,1.74,1.81,+0.02,27
2017/08/10,294000,515880,1.85,1.85,1.50,1.66,-0.15,29
2017/08/11,370000,669730,1.68,1.88,1.62,1.84,+0.18,26
2017/08/14,157000,326110,2.27,2.27,1.65,1.71,-0.13,28
2017/08/15,24000,45870,1.92,2.16,1.87,2.16,+0.45,5
2017/08/16,23000,47740,2.10,2.10,2.06,2.06,-0.10,3
2017/08/17,0,0,---,---,---,---,---,0
2017/08/18,0,0,---,---,---,---,---,0
2017/08/21,0,0,---,---,---,---,---,0
