Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2013/01/11,0,0,--,--,--,--,,0
2013/01/14,0,0,--,--,--,--,,0
2013/01/15,0,0,--,--,--,--,,0
2013/01/16,0,0,--,--,--,--,,0
2013/01/17,0,0,--,--,--,--,,0
2013/01/18,0,0,--,--,--,--,,0
2013/01/21,76000,111880,1.42,1.48,1.42,1.48,X,3
2013/01/22,175000,262700,1.55,1.56,1.46,1.46,-0.02,4
2013/01/23,347000,526260,1.53,1.54,1.47,1.47,0.01,7
2013/01/24,25000,35250,1.41,1.41,1.41,1.41,-0.06,2
2013/01/25,253000,383600,1.54,1.54,1.47,1.47,0.06,5
2013/01/28,10000,14500,1.45,1.45,1.45,1.45,-0.02,1
2013/01/29,40000,60000,1.50,1.50,1.50,1.50,0.05,1
2013/01/30,70000,117400,1.68,1.71,1.64,1.64,0.14,5
2013/01/31,104000,173530,1.67,1.67,1.64,1.64,,2
2013/02/01,80000,166130,2.08,2.11,2.04,2.05,0.41,6
2013/02/04,219000,542690,2.46,2.53,2.42,2.42,0.37,6
2013/02/05,288000,676800,2.35,2.35,2.35,2.35,-0.07,3
2013/02/06,0,0,--,--,--,--,,0
2013/02/18,0,0,--,--,--,--,,0
2013/02/19,0,0,--,--,--,--,,0
2013/02/20,152000,394510,2.53,2.67,2.53,2.67,X,12
2013/02/21,152000,364900,2.44,2.44,2.35,2.35,-0.32,9
2013/02/22,0,0,--,--,--,--,,0
2013/02/25,19000,41610,2.19,2.19,2.19,2.19,X,1
2013/02/26,19000,39710,2.09,2.09,2.09,2.09,-0.10,1
2013/02/27,0,0,--,--,--,--,,0
2013/03/01,0,0,--,--,--,--,,0
2013/03/04,10000,20000,2.00,2.00,2.00,2.00,X,1
2013/03/05,45000,90540,2.00,2.03,2.00,2.03,0.03,3
2013/03/06,223000,502660,2.20,2.70,2.14,2.70,0.67,15
2013/03/07,178000,466930,2.69,2.69,2.54,2.55,-0.15,11
2013/03/08,35000,100250,2.77,2.88,2.77,2.88,0.33,2
2013/03/11,39000,115600,2.95,3.03,2.90,3.03,0.15,4
2013/03/12,34000,96210,2.95,2.95,2.66,2.66,-0.37,3
2013/03/13,0,0,--,--,--,--,,0
2013/03/14,0,0,--,--,--,--,,0
2013/03/15,0,0,--,--,--,--,,0
2013/03/18,0,0,--,--,--,--,,0
2013/03/19,0,0,--,--,--,--,,0
2013/03/20,0,0,--,--,--,--,,0
2013/03/21,0,0,--,--,--,--,,0
2013/03/22,0,0,--,--,--,--,,0
2013/03/25,416000,889840,2.11,2.18,2.11,2.18,X,8
2013/03/26,216000,467640,2.17,2.17,2.16,2.16,-0.02,4
2013/03/27,50000,98500,1.97,1.97,1.97,1.97,-0.19,2
2013/03/28,100000,195000,1.90,2.00,1.90,2.00,0.03,3
2013/03/29,50000,102000,2.04,2.04,2.04,2.04,0.04,1
2013/04/01,0,0,--,--,--,--,,0
2013/04/02,0,0,--,--,--,--,,0
2013/04/03,0,0,--,--,--,--,,0
2013/04/08,7000,12190,1.75,1.75,1.72,1.72,X,2
2013/04/09,130000,218300,1.65,1.84,1.65,1.84,0.12,5
2013/04/10,0,0,--,--,--,--,,0
2013/04/11,72000,133200,1.85,1.85,1.85,1.85,X,1
2013/04/12,0,0,--,--,--,--,,0
2013/04/15,22000,42900,1.95,1.95,1.95,1.95,X,2
2013/04/16,54000,101780,1.79,1.98,1.79,1.98,0.03,3
2013/04/17,75000,164520,2.09,2.37,2.09,2.37,0.39,7
2013/04/18,53000,123170,2.30,2.41,2.30,2.33,-0.04,6
2013/04/19,60000,146940,2.38,2.50,2.38,2.47,0.14,7
2013/04/22,76000,170200,2.25,2.30,2.20,2.30,-0.17,6
2013/04/23,52000,114440,2.27,2.27,2.17,2.17,-0.13,3
2013/04/24,128000,277560,2.18,2.35,2.11,2.35,0.18,7
2013/04/25,89000,219380,2.34,2.52,2.34,2.42,0.07,10
2013/04/26,51000,116750,2.32,2.32,2.24,2.30,-0.12,23
2013/04/29,102000,184540,1.90,1.90,1.78,1.82,-0.48,6
2013/04/30,202000,392500,1.84,2.06,1.84,1.98,0.16,9
2013/05/02,218000,432470,1.86,1.99,1.85,1.99,0.01,6
2013/05/03,293000,448700,1.43,1.56,1.43,1.49,-0.50,92
2013/05/06,677000,1076270,1.46,1.65,1.46,1.62,0.13,17
2013/05/07,607000,923190,1.52,1.54,1.51,1.54,-0.08,13
2013/05/08,0,0,--,--,--,--,,0
2013/05/09,105000,163550,1.57,1.59,1.53,1.56,X,7
2013/05/10,115000,159700,1.52,1.52,1.31,1.31,-0.25,8
2013/05/13,70000,93850,1.32,1.35,1.32,1.35,0.04,3
2013/05/14,60000,83350,1.42,1.42,1.33,1.34,-0.01,5
2013/05/15,5000,7100,1.42,1.42,1.42,1.42,0.08,1
2013/05/16,88000,118880,1.34,1.38,1.32,1.38,-0.04,7
2013/05/17,88000,114440,1.28,1.32,1.28,1.30,-0.08,11
2013/05/20,0,0,--,--,--,--,,0
2013/05/21,5000,6250,1.25,1.25,1.25,1.25,X,1
2013/05/22,105000,142250,1.33,1.39,1.32,1.32,0.07,13
2013/05/23,50000,73500,1.43,1.51,1.43,1.48,0.16,4
2013/05/24,250000,409150,1.51,1.77,1.51,1.66,0.18,14
2013/05/27,223000,366310,1.66,1.73,1.50,1.58,-0.08,10
2013/05/28,53000,84970,1.59,1.63,1.59,1.61,0.03,5
2013/05/29,436000,836110,1.78,2.08,1.78,2.08,0.47,20
2013/05/30,395000,793990,2.01,2.06,1.81,1.81,-0.27,15
2013/05/31,46000,106980,2.39,2.46,2.19,2.19,0.38,9
