Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2011/03/21,5000,6900,1.38,1.38,1.38,1.38,0.00,1
2011/03/22,10000,13950,1.42,1.42,1.37,1.37,-0.01,2
2011/03/23,35000,48900,1.42,1.42,1.38,1.38,0.01,4
2011/03/24,25000,29550,1.35,1.35,1.14,1.14,-0.24,2
2011/03/25,40000,43800,1.13,1.13,1.01,1.01,-0.13,3
2011/03/28,322000,309420,0.95,1.05,0.95,0.99,-0.02,8
2011/03/29,307000,313570,1.03,1.03,1.00,1.00,0.01,5
2011/03/30,0,0,0.00,0.00,0.00,0.00,---,0
2011/03/31,30000,27600,0.92,0.92,0.92,0.92,-0.06,1
2011/04/01,70000,66300,0.96,0.96,0.93,0.96,0.04,3
2011/04/06,295000,263710,0.96,0.96,0.83,0.83,-0.13,8
2011/04/07,40000,37700,0.96,0.96,0.93,0.93,0.10,3
2011/04/08,100000,98800,0.98,1.03,0.95,1.01,0.08,5
2011/04/11,40000,39600,1.01,1.01,0.97,0.97,-0.04,2
2011/04/12,40000,30200,0.82,0.82,0.69,0.69,-0.28,2
2011/04/13,40000,23000,0.54,0.61,0.54,0.61,-0.08,2
2011/04/14,60000,39200,0.64,0.66,0.64,0.66,0.05,3
2011/04/15,258000,176230,0.71,0.71,0.65,0.65,-0.01,5
2011/04/18,147000,76700,0.55,0.57,0.50,0.50,-0.15,9
2011/04/19,120000,55800,0.44,0.48,0.44,0.48,-0.02,4
2011/04/20,80000,38400,0.50,0.50,0.46,0.47,-0.01,4
2011/04/21,40000,20100,0.49,0.53,0.49,0.50,0.03,3
2011/04/22,99000,55440,0.56,0.56,0.56,0.56,0.06,1
2011/04/25,20000,11800,0.59,0.59,0.59,0.59,0.03,1
2011/04/26,40000,25800,0.65,0.65,0.64,0.64,0.05,2
2011/04/27,120000,73000,0.64,0.64,0.59,0.59,-0.05,4
2011/04/28,200000,104000,0.54,0.54,0.51,0.52,-0.07,6
2011/04/29,160000,70400,0.45,0.48,0.41,0.41,-0.11,6
2011/05/03,50000,14000,0.28,0.28,0.28,0.28,-0.13,1
2011/05/04,220000,57400,0.23,0.29,0.23,0.28,0.00,6
2011/05/05,160000,51500,0.32,0.34,0.29,0.29,0.01,5
2011/05/06,105000,31250,0.29,0.31,0.29,0.29,0.00,4
2011/05/09,50000,14500,0.29,0.29,0.29,0.29,0.00,2
2011/05/10,100000,28000,0.27,0.29,0.27,0.29,0.00,2
2011/05/11,40000,11400,0.29,0.29,0.28,0.28,-0.01,2
2011/05/12,80000,20800,0.26,0.26,0.26,0.26,-0.02,2
2011/05/13,40000,12000,0.30,0.30,0.30,0.30,0.04,1
2011/05/16,60000,16000,0.27,0.27,0.26,0.26,-0.04,3
2011/05/17,250000,61100,0.26,0.26,0.23,0.23,-0.03,5
2011/05/18,150000,33600,0.25,0.25,0.20,0.21,-0.02,4
2011/05/19,110000,21700,0.20,0.20,0.19,0.19,-0.02,2
2011/05/20,99000,13860,0.14,0.14,0.14,0.14,-0.05,1
2011/05/23,0,0,0.00,0.00,0.00,0.00,---,0
2011/05/24,35000,3850,0.11,0.11,0.11,0.11,-0.01,1
2011/05/25,0,0,0.00,0.00,0.00,0.00,---,0
2011/05/26,60000,7200,0.12,0.12,0.12,0.12,0.01,1
2011/05/27,20000,3000,0.15,0.15,0.15,0.15,0.03,1
2011/05/30,40000,5600,0.14,0.14,0.14,0.14,-0.01,2
2011/05/31,615000,98350,0.15,0.17,0.15,0.17,0.03,4
2011/06/01,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/02,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/03,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/07,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/08,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/09,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/10,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/13,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/14,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/15,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/16,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/17,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/20,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/21,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/22,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/23,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/24,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/27,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/28,0,0,0.00,0.00,0.00,0.00,---,0
2011/06/29,20000,2400,0.12,0.12,0.12,0.12,0.03,1
2011/06/30,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/01,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/04,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/05,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/06,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/07,10000,1000,0.10,0.10,0.10,0.10,0.02,1
2011/07/08,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/11,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/12,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/13,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/14,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/15,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/18,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/19,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/20,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/21,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/22,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/25,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/26,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/27,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/28,0,0,0.00,0.00,0.00,0.00,---,0
2011/07/29,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/01,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/02,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/03,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/04,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/05,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/08,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/09,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/10,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/11,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/12,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/15,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/16,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/17,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/18,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/19,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/22,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/23,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/24,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/25,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/26,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/29,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/30,0,0,0.00,0.00,0.00,0.00,---,0
2011/08/31,0,0,0.00,0.00,0.00,0.00,---,0
2011/09/01,0,0,0.00,0.00,0.00,0.00,---,0
2011/09/02,0,0,0.00,0.00,0.00,0.00,---,0
2011/09/05,0,0,0.00,0.00,0.00,0.00,---,0
2011/09/06,0,0,0.00,0.00,0.00,0.00,---,0
2011/09/07,0,0,0.00,0.00,0.00,0.00,---,0
2011/09/08,0,0,0.00,0.00,0.00,0.00,---,0
2011/09/09,0,0,0.00,0.00,0.00,0.00,---,0
2011/09/13,0,0,0.00,0.00,0.00,0.00,---,0
2011/09/14,0,0,0.00,0.00,0.00,0.00,---,0
2011/09/15,0,0,0.00,0.00,0.00,0.00,---,0
2011/09/16,0,0,0.00,0.00,0.00,0.00,---,0
