Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2014/04/09,0,0,--,--,--,--,,0
2014/04/10,1200000,982000,0.84,0.84,0.80,0.80,X,6
2014/04/11,0,0,--,--,--,--,,0
2014/04/14,300000,243000,0.79,0.82,0.79,0.82,X,3
2014/04/15,1360000,1075000,0.79,0.85,0.79,0.85,0.03,9
2014/04/16,423000,358960,0.84,0.85,0.82,0.82,-0.03,7
2014/04/17,1333000,1081730,0.82,0.82,0.81,0.81,-0.01,10
2014/04/18,1000000,792000,0.79,0.81,0.79,0.81,,4
2014/04/21,1110000,876900,0.79,0.79,0.79,0.79,-0.02,6
2014/04/22,720000,555400,0.78,0.78,0.77,0.77,-0.02,4
2014/04/23,135000,102600,0.76,0.76,0.76,0.76,-0.01,1
2014/04/24,195000,148900,0.76,0.78,0.76,0.78,0.02,5
2014/04/25,350000,249700,0.74,0.74,0.71,0.71,-0.07,6
2014/04/28,340000,224100,0.65,0.66,0.65,0.66,-0.05,5
2014/04/29,0,0,--,--,--,--,,0
2014/04/30,0,0,--,--,--,--,,0
2014/05/02,0,0,--,--,--,--,,0
2014/05/05,2000,1320,0.66,0.66,0.66,0.66,X,1
2014/05/06,900000,585000,0.65,0.65,0.65,0.65,-0.01,4
2014/05/07,320000,204800,0.64,0.64,0.64,0.64,-0.01,4
2014/05/08,325000,204800,0.64,0.64,0.63,0.63,-0.01,6
2014/05/09,212000,141920,0.66,0.68,0.66,0.68,0.05,5
2014/05/12,219000,142350,0.65,0.65,0.65,0.65,-0.03,4
2014/05/13,750000,511500,0.69,0.69,0.68,0.69,0.04,5
2014/05/14,300000,195700,0.68,0.68,0.63,0.63,-0.06,8
2014/05/15,355000,220100,0.62,0.62,0.62,0.62,-0.01,8
2014/05/16,145000,88450,0.61,0.61,0.61,0.61,-0.01,3
2014/05/19,3612000,2094960,0.58,0.58,0.58,0.58,-0.03,20
2014/05/20,655000,366550,0.56,0.56,0.55,0.55,-0.03,12
2014/05/21,190000,108300,0.55,0.58,0.55,0.58,0.03,5
2014/05/22,205000,118850,0.56,0.59,0.56,0.59,0.01,6
2014/05/23,15000,8850,0.59,0.59,0.59,0.59,,2
2014/05/26,70000,40600,0.58,0.58,0.58,0.58,-0.01,3
2014/05/27,240000,132000,0.55,0.55,0.55,0.55,-0.03,7
2014/05/28,230000,126500,0.55,0.55,0.55,0.55,,7
2014/05/29,260000,145600,0.56,0.56,0.56,0.56,0.01,9
2014/05/30,250000,138500,0.56,0.56,0.55,0.55,-0.01,3
2014/06/03,910000,455900,0.49,0.53,0.49,0.53,-0.02,15
2014/06/04,1030000,511400,0.49,0.51,0.49,0.51,-0.02,12
2014/06/05,880000,431100,0.49,0.49,0.48,0.49,-0.02,12
2014/06/06,740000,358000,0.48,0.50,0.48,0.50,0.01,12
2014/06/09,175000,84100,0.50,0.50,0.48,0.48,-0.02,9
2014/06/10,497000,239750,0.49,0.49,0.48,0.49,0.01,6
2014/06/11,0,0,--,--,--,--,,0
2014/06/12,510000,250500,0.49,0.50,0.49,0.50,X,4
2014/06/13,1000,490,0.49,0.49,0.49,0.49,-0.01,1
2014/06/16,461000,221270,0.48,0.48,0.47,0.48,-0.01,5
2014/06/17,450000,216000,0.48,0.48,0.48,0.48,,3
2014/06/18,4154000,2225260,0.49,0.57,0.49,0.56,0.08,40
2014/06/19,4320000,2441680,0.58,0.59,0.55,0.58,0.02,45
2014/06/20,678000,392760,0.59,0.59,0.56,0.58,,15
2014/06/23,211000,119120,0.57,0.57,0.56,0.56,-0.02,12
2014/06/24,96000,53400,0.56,0.56,0.55,0.56,,5
2014/06/25,50000,26100,0.54,0.54,0.51,0.51,-0.05,5
2014/06/26,130000,63500,0.49,0.49,0.48,0.48,-0.03,6
2014/06/27,100000,50000,0.50,0.50,0.50,0.50,0.02,1
