2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,391000,333130,0.84,0.88,0.84,0.88,+0.04,5
2017/08/08,972000,806800,0.81,0.84,0.80,0.82,-0.06,24
2017/08/09,483000,402870,0.83,0.84,0.82,0.82,0.00,10
2017/08/10,0,0,---,---,---,---,---,0
2017/08/11,99000,59400,0.60,0.60,0.60,0.60,-0.08,1
2017/08/14,99000,71890,0.76,0.76,0.71,0.71,+0.11,7
2017/08/15,121000,82480,0.69,0.69,0.68,0.68,-0.03,3
2017/08/16,136000,87040,0.64,0.64,0.64,0.64,-0.04,12
2017/08/17,294000,188160,0.64,0.64,0.64,0.64,0.00,3
2017/08/18,294000,183100,0.63,0.63,0.61,0.61,-0.03,2
2017/08/21,441000,276720,0.64,0.64,0.62,0.62,+0.01,8
