2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,0,0,---,---,---,---,---,0
2017/08/08,369000,298760,0.80,0.83,0.80,0.83,+0.10,8
2017/08/09,314000,251500,0.81,0.81,0.79,0.79,-0.04,3
2017/08/10,340000,236600,0.69,0.70,0.69,0.70,-0.09,3
2017/08/11,340000,226520,0.68,0.68,0.65,0.68,-0.02,10
2017/08/14,225000,165750,0.71,0.74,0.71,0.71,+0.03,5
2017/08/15,661000,483040,0.70,0.77,0.69,0.77,+0.06,10
2017/08/16,441000,269470,0.62,0.64,0.58,0.64,-0.13,15
2017/08/17,600000,446000,0.72,0.76,0.72,0.76,+0.12,3
2017/08/18,615000,434950,0.71,0.75,0.69,0.75,-0.01,7
2017/08/21,0,0,---,---,---,---,---,0
