Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2014/07/24,0,0,---,---,---,---,---,0
2014/07/25,0,0,---,---,---,---,---,0
2014/07/28,0,0,---,---,---,---,---,0
2014/07/29,0,0,---,---,---,---,---,0
2014/07/30,5000,3700,0.74,0.74,0.74,0.74,0.03,1
2014/07/31,0,0,---,---,---,---,---,0
2014/08/01,10000,7750,0.75,0.80,0.75,0.80,0.06,2
2014/08/04,0,0,---,---,---,---,---,0
2014/08/05,0,0,---,---,---,---,---,0
2014/08/06,0,0,---,---,---,---,---,0
2014/08/07,0,0,---,---,---,---,---,0
2014/08/08,5000,2900,0.58,0.58,0.58,0.58,0.00,1
2014/08/11,133000,115530,0.80,0.88,0.80,0.82,0.24,6
2014/08/12,133000,105840,0.80,0.81,0.71,0.71,-0.11,6
2014/08/13,20000,15850,0.80,0.80,0.79,0.79,0.08,3
2014/08/14,25000,19300,0.78,0.78,0.77,0.77,-0.02,2
2014/08/15,100000,67200,0.67,0.69,0.65,0.66,-0.11,5
2014/08/18,80000,48500,0.66,0.66,0.55,0.59,-0.07,4
2014/08/19,668000,474140,0.70,0.76,0.70,0.76,0.17,8
2014/08/20,633000,485360,0.77,0.79,0.76,0.78,0.02,11
2014/08/21,164000,143910,0.86,0.90,0.84,0.88,0.10,5
2014/08/22,144000,125980,0.87,0.90,0.86,0.89,0.01,7
2014/08/25,10000,9000,0.90,0.90,0.90,0.90,0.01,1
2014/08/26,111000,101030,0.91,0.93,0.88,0.90,0.00,10
2014/08/27,214000,201380,0.92,0.96,0.92,0.95,0.05,8
2014/08/28,310000,293700,0.94,0.98,0.93,0.96,0.01,13
2014/08/29,5000,4600,0.92,0.92,0.92,0.92,-0.04,1
2014/09/01,125000,115200,0.92,0.94,0.92,0.92,0.00,5
2014/09/02,0,0,---,---,---,---,---,0
2014/09/03,0,0,---,---,---,---,---,0
2014/09/04,0,0,---,---,---,---,---,0
2014/09/05,10000,8400,0.84,0.84,0.84,0.84,0.01,1
2014/09/09,100000,81500,0.79,0.82,0.79,0.82,-0.02,4
2014/09/10,390000,336300,0.85,0.90,0.84,0.90,0.08,11
2014/09/11,230000,194600,0.84,0.86,0.84,0.86,-0.04,7
2014/09/12,0,0,---,---,---,---,---,0
2014/09/15,0,0,---,---,---,---,---,0
2014/09/16,0,0,---,---,---,---,---,0
2014/09/17,0,0,---,---,---,---,---,0
2014/09/18,0,0,---,---,---,---,---,0
2014/09/19,0,0,---,---,---,---,---,0
2014/09/22,0,0,---,---,---,---,---,0
2014/09/23,50000,35000,0.70,0.70,0.70,0.70,-0.06,1
2014/09/24,0,0,---,---,---,---,---,0
2014/09/25,5000,3100,0.62,0.62,0.62,0.62,0.01,1
2014/09/26,0,0,---,---,---,---,---,0
2014/09/29,0,0,---,---,---,---,---,0
2014/09/30,0,0,---,---,---,---,---,0
2014/10/01,0,0,---,---,---,---,---,0
2014/10/02,5000,3000,0.60,0.60,0.60,0.60,0.03,1
2014/10/03,5000,3000,0.60,0.60,0.60,0.60,0.00,1
2014/10/06,252000,170950,0.66,0.80,0.66,0.80,0.20,8
2014/10/07,215000,152620,0.72,0.72,0.70,0.71,-0.09,3
2014/10/08,5000,3100,0.62,0.62,0.62,0.62,-0.09,1
2014/10/09,0,0,---,---,---,---,---,0
2014/10/13,2000,1120,0.56,0.56,0.56,0.56,-0.08,1
2014/10/14,10000,5600,0.56,0.56,0.56,0.56,0.00,1
2014/10/15,310000,180770,0.57,0.60,0.57,0.58,0.02,5
2014/10/16,379000,191620,0.55,0.55,0.43,0.48,-0.10,12
2014/10/17,79000,45030,0.57,0.57,0.57,0.57,0.09,2
2014/10/20,0,0,---,---,---,---,---,0
2014/10/21,0,0,---,---,---,---,---,0
2014/10/22,0,0,---,---,---,---,---,0
2014/10/23,105000,51450,0.49,0.49,0.49,0.49,-0.02,2
2014/10/24,105000,49350,0.47,0.47,0.47,0.47,-0.02,2
2014/10/27,0,0,---,---,---,---,---,0
2014/10/28,0,0,---,---,---,---,---,0
2014/10/29,0,0,---,---,---,---,---,0
2014/10/30,0,0,---,---,---,---,---,0
2014/10/31,0,0,---,---,---,---,---,0
2014/11/03,28000,17870,0.64,0.65,0.60,0.60,0.06,4
2014/11/04,21000,11760,0.56,0.56,0.56,0.56,-0.04,2
2014/11/05,5000,2900,0.58,0.58,0.58,0.58,0.02,1
