Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2012/09/06,397000,450450,1.10,1.16,1.10,1.14,0.09,13
2012/09/07,447000,503380,1.09,1.15,1.09,1.15,0.01,14
2012/09/10,318000,386030,1.21,1.24,1.19,1.24,0.09,12
2012/09/11,406000,462170,1.16,1.18,1.13,1.18,-0.06,15
2012/09/12,152000,175660,1.14,1.19,1.14,1.14,-0.04,12
2012/09/13,652000,755170,1.14,1.18,1.14,1.16,0.02,17
2012/09/14,744000,869830,1.14,1.19,1.13,1.19,0.03,25
2012/09/17,785000,880850,1.18,1.18,1.09,1.13,-0.06,22
2012/09/18,1253000,1383950,1.15,1.15,1.08,1.09,-0.04,27
2012/09/19,404000,406360,1.06,1.06,0.99,1.03,-0.06,13
2012/09/20,165000,173600,1.02,1.09,1.02,1.07,0.04,8
2012/09/21,351000,373380,1.09,1.09,1.06,1.06,-0.01,10
2012/09/24,236000,243520,1.05,1.05,1.03,1.03,-0.03,5
2012/09/25,617000,677050,1.06,1.13,1.06,1.13,0.10,21
2012/09/26,2204000,2749350,1.20,1.35,1.17,1.31,0.18,74
2012/09/27,1000000,1277860,1.30,1.31,1.24,1.27,-0.04,38
2012/09/28,987000,1244360,1.27,1.28,1.23,1.25,-0.02,29
2012/10/01,967000,1198750,1.26,1.30,1.20,1.28,0.03,38
2012/10/02,1165000,1410100,1.27,1.27,1.16,1.18,-0.10,42
2012/10/03,584000,681260,1.18,1.18,1.15,1.16,-0.02,16
2012/10/04,764000,871160,1.14,1.17,1.13,1.14,-0.02,15
2012/10/05,31000,35890,1.16,1.16,1.15,1.15,0.01,5
2012/10/08,1721000,2104010,1.17,1.30,1.17,1.28,0.13,53
2012/10/09,1573000,1876180,1.24,1.24,1.18,1.22,-0.06,32
2012/10/11,884000,1012550,1.22,1.22,1.12,1.14,-0.08,35
2012/10/12,1285000,1443760,1.13,1.14,1.09,1.09,-0.05,28
2012/10/15,1129000,1181330,1.07,1.07,1.01,1.04,-0.05,24
2012/10/16,361000,377670,1.02,1.07,1.02,1.06,0.02,17
2012/10/17,570000,619040,1.04,1.10,1.04,1.09,0.03,22
2012/10/18,1417000,1635090,1.11,1.17,1.09,1.17,0.08,33
2012/10/19,513000,594710,1.20,1.20,1.13,1.15,-0.02,18
2012/10/22,125000,141530,1.17,1.18,1.12,1.13,-0.02,11
2012/10/23,243000,270260,1.11,1.12,1.10,1.12,-0.01,12
2012/10/24,500000,561000,1.12,1.14,1.11,1.11,-0.01,11
2012/10/25,419000,443660,1.06,1.09,1.04,1.09,-0.02,13
2012/10/26,447000,493920,1.10,1.14,1.09,1.11,0.02,17
2012/10/29,1009000,1177960,1.11,1.29,1.08,1.26,0.15,53
2012/10/30,1188000,1315560,1.17,1.17,1.06,1.06,-0.20,41
2012/10/31,790000,820040,1.03,1.07,1.02,1.03,-0.03,24
2012/11/01,561000,540690,1.04,1.04,0.89,0.90,-0.13,31
2012/11/02,669000,607970,0.89,0.94,0.87,0.94,0.04,18
2012/11/05,741000,674660,0.87,0.93,0.87,0.92,-0.02,21
2012/11/06,191000,171570,0.88,0.92,0.87,0.87,-0.05,14
2012/11/07,582000,500360,0.86,0.89,0.83,0.83,-0.04,19
2012/11/08,825000,743920,0.89,0.93,0.88,0.92,0.09,29
2012/11/09,2221000,2194970,0.97,1.04,0.95,0.95,0.03,58
2012/11/12,1440000,1357200,0.95,0.98,0.92,0.96,0.01,32
2012/11/13,1698000,1732830,0.97,1.05,0.96,1.01,0.05,52
2012/11/14,1348000,1336090,1.01,1.02,0.96,0.99,-0.02,35
2012/11/15,500000,486550,1.00,1.00,0.97,0.98,-0.01,13
2012/11/16,687000,698400,0.97,1.03,0.95,1.01,0.03,24
2012/11/19,836000,850820,1.02,1.03,1.00,1.00,-0.01,16
2012/11/20,654000,625170,0.99,0.99,0.94,0.95,-0.05,20
2012/11/21,752000,708300,0.94,0.99,0.93,0.96,0.01,28
2012/11/22,1359000,1389520,0.95,1.05,0.95,1.03,0.07,45
2012/11/23,995000,958050,1.01,1.01,0.94,0.95,-0.08,30
2012/11/26,1158000,1033850,0.90,0.93,0.87,0.93,-0.02,33
2012/11/27,1159000,994210,0.89,0.89,0.82,0.88,-0.05,27
2012/11/28,293000,257450,0.87,0.90,0.87,0.90,0.02,16
