Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2015/11/04,0,0,---,---,---,---,---,0
2015/11/05,505000,631030,1.20,1.37,1.20,1.34,0.19,49
2015/11/06,478000,611960,1.28,1.29,1.21,1.22,-0.12,17
2015/11/09,623000,744800,1.23,1.28,1.08,1.12,-0.10,18
2015/11/10,1390000,1621410,1.12,1.21,1.10,1.19,0.07,35
2015/11/11,997000,1126000,1.17,1.17,1.04,1.04,-0.15,21
2015/11/12,1279000,1452230,1.06,1.18,1.06,1.18,0.14,18
2015/11/13,1330000,1440810,1.09,1.12,1.05,1.06,-0.12,27
2015/11/16,441000,472110,1.02,1.10,1.02,1.09,0.03,11
2015/11/17,1206000,1413110,1.17,1.20,1.13,1.17,0.08,23
2015/11/18,2112000,2489910,1.11,1.31,1.10,1.26,0.09,58
2015/11/19,3412000,4575280,1.25,1.56,1.22,1.48,0.22,75
2015/11/20,2189000,3128600,1.44,1.47,1.38,1.46,-0.02,93
2015/11/23,1476000,2261330,1.53,1.61,1.45,1.48,0.02,43
2015/11/24,2274000,3604100,1.50,1.67,1.50,1.55,0.07,83
2015/11/25,1781000,2743850,1.47,1.63,1.44,1.53,-0.02,47
2015/11/26,849000,1332630,1.61,1.61,1.50,1.54,0.01,34
2015/11/27,882000,1389370,1.56,1.70,1.49,1.51,-0.03,37
2015/11/30,776000,1125300,1.44,1.51,1.41,1.41,-0.10,28
2015/12/01,620000,861940,1.42,1.42,1.35,1.38,-0.03,25
2015/12/02,1497000,2205730,1.40,1.54,1.39,1.48,0.10,46
2015/12/03,1179000,1616280,1.42,1.43,1.29,1.31,-0.17,43
2015/12/04,668000,828210,1.25,1.27,1.21,1.27,-0.04,36
2015/12/07,1324000,1839170,1.34,1.47,1.34,1.43,0.16,52
2015/12/08,1134000,1489520,1.35,1.35,1.28,1.29,-0.14,59
2015/12/09,1002000,1179640,1.29,1.30,1.12,1.12,-0.17,44
2015/12/10,1054000,1088890,1.07,1.09,0.98,1.08,-0.04,55
2015/12/11,1447000,1494140,1.11,1.12,0.97,0.98,-0.10,55
2015/12/14,521000,446810,0.89,0.91,0.83,0.83,-0.15,26
2015/12/15,1794000,1698130,0.86,1.10,0.84,1.04,0.21,60
2015/12/16,1520000,1490710,1.00,1.01,0.94,0.94,-0.10,69
2015/12/17,1373000,1389470,0.97,1.05,0.96,1.00,0.06,55
2015/12/18,1500000,1563900,1.00,1.12,0.97,0.97,-0.03,62
2015/12/21,1222000,1135800,0.92,0.95,0.91,0.92,-0.05,45
2015/12/22,2199000,2163590,0.92,1.02,0.92,0.98,0.06,51
2015/12/23,2489000,2437480,0.99,1.00,0.93,0.99,0.01,64
2015/12/24,1265000,1233670,1.03,1.05,0.85,0.90,-0.09,54
2015/12/25,666000,591400,0.88,0.90,0.85,0.90,0.00,29
2015/12/28,791000,653820,0.90,0.90,0.77,0.78,-0.12,28
2015/12/29,1084000,806740,0.73,0.76,0.73,0.73,-0.05,27
2015/12/30,1175000,912830,0.80,0.82,0.76,0.78,0.05,40
2015/12/31,1298000,989490,0.75,0.81,0.73,0.80,0.02,40
2016/01/04,807000,625660,0.78,0.79,0.75,0.75,-0.05,21
2016/01/05,1439000,1120080,0.73,0.84,0.71,0.82,0.07,35
2016/01/06,1551000,1244250,0.83,0.83,0.77,0.80,-0.02,32
2016/01/07,597000,444420,0.79,0.79,0.69,0.72,-0.08,21
2016/01/08,359000,276460,0.72,0.80,0.72,0.78,0.06,15
2016/01/11,300000,213390,0.76,0.76,0.66,0.70,-0.08,14
2016/01/12,1203000,689260,0.67,0.67,0.53,0.54,-0.16,22
2016/01/13,607000,349150,0.55,0.59,0.55,0.58,0.04,12
2016/01/14,285000,148130,0.48,0.53,0.48,0.53,-0.05,8
2016/01/15,796000,478610,0.57,0.61,0.57,0.61,0.08,13
2016/01/18,2028000,1365420,0.60,0.73,0.60,0.69,0.08,34
2016/01/19,2177000,1507700,0.65,0.75,0.63,0.74,0.05,48
2016/01/20,1501000,1097660,0.66,0.76,0.64,0.74,0.00,38
2016/01/21,621000,427790,0.70,0.71,0.66,0.67,-0.07,12
2016/01/22,594000,419630,0.73,0.74,0.68,0.72,0.05,15
2016/01/25,528000,382900,0.70,0.74,0.70,0.73,0.01,12
2016/01/26,1487000,1300830,0.76,0.95,0.76,0.92,0.19,40
2016/01/27,1593000,1679580,0.99,1.11,0.98,1.04,0.12,74
2016/01/28,558000,562500,1.04,1.07,0.95,0.98,-0.06,28
2016/01/29,894000,948880,1.02,1.14,0.98,1.02,0.04,47
2016/02/01,191000,187200,1.05,1.05,0.95,0.95,-0.08,9
2016/02/02,460000,439490,0.97,0.98,0.93,0.98,0.03,20
2016/02/03,466000,445630,0.98,1.01,0.92,0.92,-0.06,23
2016/02/15,623000,531470,0.86,0.86,0.80,0.80,-0.12,19
2016/02/16,381000,285670,0.76,0.78,0.70,0.78,-0.02,16
2016/02/17,515000,426850,0.79,0.87,0.78,0.83,0.05,13
2016/02/18,944000,883320,0.88,1.04,0.86,0.98,0.15,52
2016/02/19,628000,632620,0.98,1.06,0.97,1.01,0.03,27
2016/02/22,452000,383270,0.91,0.91,0.80,0.85,-0.16,16
2016/02/23,298000,270340,0.88,0.94,0.88,0.90,0.05,11
2016/02/24,232000,203880,0.86,0.89,0.86,0.88,-0.02,9
2016/02/25,45000,41550,0.92,0.93,0.92,0.92,0.04,3
2016/02/26,113000,100640,0.88,0.90,0.88,0.88,-0.04,5
2016/03/01,667000,604510,0.90,0.96,0.89,0.95,0.07,13
2016/03/02,1065000,1026890,0.92,1.04,0.91,1.01,0.06,21
2016/03/03,648000,609030,0.99,0.99,0.85,0.85,-0.16,21
2016/03/04,229000,180950,0.80,0.83,0.77,0.78,-0.07,9
2016/03/07,477000,379630,0.79,0.82,0.77,0.77,-0.01,12
2016/03/08,475000,348120,0.76,0.76,0.70,0.74,-0.03,14
2016/03/09,160000,114800,0.72,0.74,0.70,0.70,-0.04,5
2016/03/10,385000,296800,0.78,0.79,0.75,0.77,0.07,9
2016/03/11,481000,391400,0.77,0.84,0.75,0.84,0.07,17
2016/03/14,238000,196490,0.84,0.85,0.81,0.82,-0.02,12
2016/03/15,116000,81260,0.71,0.71,0.70,0.70,-0.12,4
2016/03/16,18000,13560,0.72,0.76,0.72,0.76,0.06,2
2016/03/17,130000,102400,0.80,0.80,0.76,0.76,0.00,4
2016/03/18,374000,274260,0.71,0.74,0.71,0.72,-0.04,8
2016/03/21,204000,154780,0.77,0.77,0.74,0.76,0.04,12
2016/03/22,34000,25400,0.75,0.75,0.74,0.74,-0.02,2
2016/03/23,168000,110130,0.71,0.71,0.63,0.66,-0.08,5
2016/03/24,215000,134550,0.58,0.68,0.58,0.59,-0.07,5
2016/03/25,100000,58000,0.59,0.59,0.57,0.57,-0.02,3
2016/03/28,125000,66000,0.51,0.54,0.51,0.54,-0.03,4
2016/03/29,326000,150000,0.45,0.47,0.45,0.45,-0.09,9
2016/03/30,526000,269020,0.47,0.52,0.47,0.52,0.07,12
2016/03/31,696000,415050,0.54,0.66,0.54,0.64,0.12,20
2016/04/01,457000,300240,0.65,0.68,0.62,0.68,0.04,17
2016/04/06,144000,86780,0.62,0.64,0.59,0.64,-0.04,8
2016/04/07,536000,453370,0.73,1.05,0.73,1.05,0.41,28
2016/04/08,530000,491170,0.90,1.05,0.87,1.02,-0.03,18
2016/04/11,210000,215450,1.03,1.11,0.99,1.11,0.09,6
2016/04/12,108000,82300,0.85,0.85,0.71,0.71,-0.40,4
2016/04/13,60000,45000,0.75,0.75,0.75,0.75,0.04,2
2016/04/14,168000,162930,0.81,1.22,0.81,1.11,0.36,14
2016/04/15,93000,99340,1.04,1.17,1.02,1.14,0.03,7
2016/04/18,0,0,---,---,---,---,---,0
2016/04/19,33000,45650,1.30,1.53,1.30,1.53,0.41,5
2016/04/20,321000,475530,1.53,1.53,1.48,1.48,-0.05,5
2016/04/21,20000,31700,1.57,1.60,1.57,1.60,0.12,2
2016/04/22,20000,30100,1.52,1.52,1.49,1.49,-0.11,2
2016/04/25,0,0,---,---,---,---,---,0
2016/04/26,50000,63900,1.24,1.34,1.24,1.34,0.07,5
2016/04/27,50000,60100,1.21,1.21,1.19,1.19,-0.15,2
2016/04/28,0,0,---,---,---,---,---,0
