2017/08/07,0,0,---,---,---,---,---,0
2017/08/08,0,0,---,---,---,---,---,0
2017/08/09,738000,494980,0.67,0.68,0.65,0.68,+0.07,7
2017/08/10,918000,568280,0.64,0.64,0.60,0.61,-0.07,15
2017/08/11,525000,332080,0.60,0.68,0.60,0.64,+0.03,13
2017/08/14,583000,351760,0.64,0.64,0.57,0.57,-0.07,14
2017/08/15,364000,222570,0.62,0.62,0.60,0.60,+0.03,6
2017/08/16,143000,80140,0.56,0.59,0.56,0.59,-0.01,4
2017/08/17,534000,345040,0.64,0.66,0.64,0.65,+0.06,8
2017/08/18,512000,294400,0.58,0.58,0.57,0.58,-0.07,8
2017/08/21,2000,1080,0.54,0.54,0.54,0.54,-0.04,1
