2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,25000,30150,1.13,1.25,1.13,1.20,+0.06,3
2017/08/08,5000,6050,1.21,1.21,1.21,1.21,+0.01,1
2017/08/09,290000,310000,1.07,1.08,1.06,1.06,-0.15,7
2017/08/10,550000,613500,1.13,1.13,1.03,1.03,-0.03,9
2017/08/11,351000,367000,1.04,1.05,1.00,1.00,-0.03,5
2017/08/14,200000,212000,1.09,1.09,1.05,1.05,+0.05,4
2017/08/15,250000,261800,1.04,1.06,1.02,1.02,-0.03,12
2017/08/16,150000,152000,1.01,1.02,1.01,1.02,0.00,3
2017/08/17,417000,462840,1.07,1.14,1.07,1.12,+0.10,11
2017/08/18,121000,125830,1.03,1.07,1.02,1.06,-0.06,8
2017/08/21,344000,346250,1.04,1.04,0.98,0.99,-0.07,11
