2017/08/04,69000,53240,0.80,0.80,0.76,0.76,-0.48,4
2017/08/07,383000,294380,0.75,0.80,0.75,0.76,0.00,8
2017/08/08,626000,455700,0.78,0.78,0.64,0.67,-0.09,14
2017/08/09,724000,424160,0.58,0.63,0.53,0.55,-0.12,13
2017/08/10,555000,273260,0.50,0.51,0.46,0.46,-0.09,5
2017/08/11,0,0,---,---,---,---,---,0
2017/08/14,50000,17500,0.35,0.35,0.35,0.35,-0.04,2
2017/08/15,31000,10340,0.34,0.34,0.33,0.33,-0.02,2
2017/08/16,0,0,---,---,---,---,---,0
2017/08/17,120000,47000,0.35,0.40,0.35,0.40,+0.07,2
2017/08/18,0,0,---,---,---,---,---,0
2017/08/21,0,0,---,---,---,---,---,0
