2017/08/08,2000,2920,1.46,1.46,1.46,1.46,+0.21,1
2017/08/09,11000,16060,1.46,1.46,1.46,1.46,0.00,1
2017/08/10,11000,14850,1.35,1.35,1.35,1.35,-0.11,1
2017/08/11,59000,71010,1.20,1.21,1.20,1.21,-0.14,2
2017/08/14,50000,60840,1.23,1.24,1.13,1.13,-0.08,4
2017/08/15,100000,109000,1.09,1.09,1.09,1.09,-0.04,1
2017/08/16,214000,246710,1.08,1.20,1.08,1.17,+0.08,8
2017/08/17,250000,305700,1.19,1.28,1.15,1.28,+0.11,7
2017/08/18,153000,199740,1.28,1.35,1.24,1.35,+0.07,25
2017/08/21,0,0,---,---,---,---,---,0
