2017/08/08,74000,59220,0.78,0.85,0.76,0.76,-0.01,21
2017/08/09,73000,49420,0.69,0.69,0.64,0.64,-0.12,4
2017/08/10,40000,23900,0.60,0.60,0.59,0.59,-0.05,2
2017/08/11,169000,103160,0.62,0.62,0.60,0.61,+0.02,4
2017/08/14,169000,101100,0.60,0.60,0.57,0.57,-0.04,3
2017/08/15,271000,156130,0.57,0.58,0.57,0.58,+0.01,2
2017/08/16,676000,405490,0.56,0.69,0.56,0.69,+0.11,10
2017/08/17,742000,474040,0.63,0.68,0.61,0.68,-0.01,21
2017/08/18,378000,228900,0.60,0.62,0.60,0.62,-0.06,8
2017/08/21,35000,22400,0.64,0.64,0.64,0.64,+0.02,2
