2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,568000,645590,1.14,1.16,1.11,1.15,+0.07,12
2017/08/08,761000,983760,1.33,1.33,1.18,1.18,+0.03,24
2017/08/09,239000,283420,1.22,1.23,1.07,1.07,-0.11,8
2017/08/10,37000,37610,1.13,1.13,0.96,0.96,-0.11,4
2017/08/11,480000,524940,1.04,1.19,1.04,1.15,+0.19,14
2017/08/14,570000,648500,1.15,1.17,0.99,0.99,-0.16,18
2017/08/15,570000,622140,1.12,1.12,1.06,1.10,+0.11,14
2017/08/16,1243000,1385530,1.05,1.22,1.02,1.16,+0.06,46
2017/08/17,2578000,3530230,1.22,1.55,1.20,1.48,+0.32,96
2017/08/18,1522000,2187590,1.38,1.54,1.35,1.42,-0.06,43
2017/08/21,960000,1354330,1.37,1.46,1.32,1.38,-0.04,25
