2017/08/07,0,0,---,---,---,---,---,0
2017/08/08,23000,36040,1.56,1.57,1.56,1.57,+0.09,3
2017/08/09,5000,7400,1.48,1.48,1.48,1.48,-0.09,1
2017/08/10,388000,549940,1.46,1.46,1.37,1.42,-0.06,9
2017/08/11,240000,333100,1.39,1.39,1.38,1.38,-0.04,6
2017/08/14,20000,27400,1.37,1.37,1.37,1.37,-0.01,1
2017/08/15,1000,1310,1.31,1.31,1.31,1.31,-0.06,1
2017/08/16,26000,34220,1.30,1.37,1.30,1.37,+0.06,2
2017/08/17,50000,71650,1.38,1.47,1.38,1.45,+0.08,5
2017/08/18,741000,1179120,1.42,1.71,1.41,1.64,+0.19,29
2017/08/21,780000,1246920,1.64,1.64,1.55,1.63,-0.01,28
