2017/08/08,272000,333850,1.30,1.30,1.15,1.21,-0.16,32
2017/08/09,1378000,1720530,1.34,1.37,1.16,1.24,+0.03,45
2017/08/10,1763000,1935440,1.20,1.23,0.90,1.11,-0.13,81
2017/08/11,4598000,5849520,1.06,1.43,1.06,1.43,+0.32,159
2017/08/14,5076000,6932510,1.60,1.78,1.05,1.09,-0.34,317
2017/08/15,4714000,6445800,1.25,1.63,1.22,1.58,+0.49,229
2017/08/16,1868000,2845470,1.56,1.70,1.42,1.54,-0.04,162
2017/08/17,2053000,3505100,1.54,2.05,1.50,1.94,+0.40,186
2017/08/18,1424000,2875190,1.76,2.23,1.76,1.98,+0.04,139
2017/08/21,682000,1410280,1.98,2.30,1.93,1.93,-0.05,105
