2017/08/04,112000,113020,1.02,1.02,0.98,0.98,+0.05,4
2017/08/07,700000,699860,0.97,1.02,0.96,1.01,+0.03,18
2017/08/08,677000,666000,0.99,1.01,0.87,0.89,-0.12,12
2017/08/09,37000,30150,0.85,0.87,0.79,0.79,-0.10,5
2017/08/10,208000,126080,0.76,0.76,0.60,0.60,-0.19,2
2017/08/11,611000,405660,0.56,0.76,0.56,0.76,+0.16,7
2017/08/14,261000,177880,0.69,0.69,0.64,0.65,-0.11,6
2017/08/15,470000,301000,0.65,0.65,0.64,0.64,-0.01,7
2017/08/16,450000,270080,0.59,0.61,0.59,0.61,-0.03,10
2017/08/17,621000,410610,0.62,0.71,0.62,0.71,+0.10,12
2017/08/18,556000,348800,0.62,0.63,0.61,0.63,-0.08,17
2017/08/21,230000,134400,0.58,0.59,0.58,0.59,-0.04,4
