2017/08/04,0,0,---,---,---,---,---,0
2017/08/07,449000,631690,1.34,1.53,1.34,1.51,+0.27,13
2017/08/08,1173000,1862460,1.48,1.72,1.45,1.62,+0.11,58
2017/08/09,614000,963940,1.61,1.61,1.49,1.58,-0.04,36
2017/08/10,59000,85980,1.54,1.57,1.27,1.30,-0.28,15
2017/08/11,207000,277430,1.30,1.38,1.30,1.37,+0.07,8
2017/08/14,352000,389420,1.35,1.35,0.88,0.88,-0.49,13
2017/08/15,610000,545910,0.92,0.92,0.88,0.90,+0.02,13
2017/08/16,523000,546150,0.98,1.08,0.98,1.04,+0.14,18
2017/08/17,512000,532970,1.03,1.08,0.99,1.08,+0.04,11
2017/08/18,278000,277430,1.00,1.00,0.99,1.00,-0.08,9
2017/08/21,116000,113040,0.98,0.98,0.94,0.94,-0.06,3
