Date,shares,TotalM,Open,High,Low,Close,Diff,Count
2012/11/19,0,0,--,--,--,--,,0
2012/11/20,2000,2380,1.19,1.19,1.19,1.19,X,1
2012/11/21,116000,128730,1.03,1.12,1.03,1.10,-0.09,5
2012/11/22,124000,127400,1.07,1.07,1.02,1.07,-0.03,6
2012/11/23,21000,22720,1.07,1.10,1.06,1.10,0.03,6
2012/11/26,313000,385100,1.11,1.28,1.11,1.27,0.17,8
2012/11/27,1146000,1452770,1.24,1.29,1.20,1.20,-0.07,20
2012/11/28,1349000,1763530,1.24,1.35,1.24,1.34,0.14,18
2012/11/29,562000,762120,1.36,1.41,1.32,1.40,0.06,11
2012/11/30,285000,444340,1.57,1.67,1.54,1.54,0.14,11
2012/12/03,181000,276580,1.54,1.55,1.45,1.50,-0.04,13
2012/12/04,107000,178400,1.61,1.75,1.61,1.75,0.25,10
2012/12/05,203000,364820,1.67,1.92,1.67,1.87,0.12,12
2012/12/06,257000,480470,1.97,1.97,1.81,1.85,-0.02,8
2012/12/07,547000,893560,1.74,1.74,1.52,1.52,-0.33,34
2012/12/10,499000,817770,1.52,1.72,1.52,1.66,0.14,23
2012/12/11,225000,380200,1.71,1.77,1.60,1.64,-0.02,16
2012/12/12,388000,711620,1.80,1.87,1.78,1.82,0.18,31
2012/12/13,493000,954580,1.89,1.98,1.85,1.95,0.13,19
2012/12/14,398000,742550,1.83,1.93,1.81,1.84,-0.11,18
2012/12/17,180000,313400,1.86,1.86,1.64,1.66,-0.18,10
2012/12/18,195000,325240,1.67,1.72,1.58,1.68,0.02,10
2012/12/19,219000,388500,1.76,1.81,1.71,1.71,0.03,10
2012/12/20,437000,727720,1.58,1.74,1.58,1.64,-0.07,13
2012/12/21,414000,695970,1.67,1.73,1.60,1.73,0.09,14
2012/12/24,222000,373420,1.73,1.73,1.65,1.65,-0.10,6
2012/12/25,377000,653820,1.68,1.78,1.68,1.76,0.11,15
2012/12/26,312000,545140,1.75,1.76,1.72,1.72,-0.04,7
2012/12/27,491000,993700,1.89,2.11,1.89,2.06,0.34,31
2012/12/28,365000,801990,2.21,2.27,2.15,2.25,0.19,16
2013/01/02,535000,1225220,2.28,2.33,2.19,2.20,-0.05,15
2013/01/03,622000,1325300,2.23,2.24,1.98,1.98,-0.22,20
2013/01/04,406000,759390,1.92,1.95,1.80,1.81,-0.17,13
2013/01/07,448000,819430,1.76,1.88,1.76,1.83,0.02,10
2013/01/08,420000,687300,1.77,1.77,1.53,1.55,-0.28,15
2013/01/09,279000,449390,1.50,1.65,1.50,1.64,0.09,10
2013/01/10,365000,560160,1.66,1.66,1.50,1.50,-0.14,9
2013/01/11,283000,443990,1.57,1.63,1.55,1.56,0.06,7
2013/01/14,303000,482680,1.49,1.81,1.49,1.81,0.25,10
2013/01/15,414000,757600,1.80,1.91,1.79,1.80,-0.01,14
2013/01/16,154000,282740,1.86,1.89,1.82,1.82,0.02,8
2013/01/17,471000,820590,1.90,1.97,1.54,1.58,-0.24,23
2013/01/18,264000,446920,1.72,1.74,1.66,1.71,0.13,12
2013/01/21,253000,427510,1.65,1.74,1.62,1.69,-0.02,5
2013/01/22,650000,1148990,1.75,1.79,1.75,1.77,0.08,15
2013/01/23,500000,862260,1.77,1.81,1.53,1.57,-0.20,15
2013/01/24,374000,578830,1.55,1.58,1.51,1.56,-0.01,9
2013/01/25,163000,271100,1.67,1.70,1.63,1.63,0.07,7
2013/01/28,411000,634340,1.61,1.63,1.51,1.51,-0.12,11
2013/01/29,133000,208040,1.53,1.58,1.53,1.57,0.06,7
2013/01/30,333000,541410,1.59,1.75,1.55,1.75,0.18,15
2013/01/31,159000,268650,1.70,1.72,1.68,1.70,-0.05,10
2013/02/01,40000,71660,1.80,1.82,1.72,1.73,0.03,9
2013/02/04,207000,325680,1.61,1.61,1.55,1.58,-0.15,8
2013/02/05,80000,92920,1.53,1.53,1.00,1.12,-0.46,7
2013/02/06,70000,75650,1.04,1.21,1.04,1.21,0.09,4
2013/02/18,139000,173480,1.25,1.27,1.22,1.22,0.01,4
2013/02/19,1000,1370,1.37,1.37,1.37,1.37,0.15,1
2013/02/20,379000,506610,1.42,1.45,1.29,1.29,-0.08,12
2013/02/21,251000,333220,1.35,1.35,1.32,1.32,0.03,6
2013/02/22,118000,152020,1.29,1.29,1.28,1.28,-0.04,2
2013/02/25,213000,259860,1.24,1.24,1.20,1.20,-0.06,3
2013/02/26,143000,171750,1.21,1.21,1.18,1.20,,5
