Date,Open,Buy,Sell,Total
2007/01/02,0,2758000,0,2758000
2007/01/03,0,3612000,-448000,3164000
2007/01/04,0,4730000,-1161000,3569000
2007/01/05,0,4650000,-2506000,2144000
2007/01/08,0,4478000,-2253548,2224452
2007/01/09,0,7708000,-2974000,4734000
2007/01/10,0,3821000,-2572000,1249000
2007/01/11,0,2801000,-279000,2522000
2007/01/12,0,1227000,-283000,944000
2007/01/15,0,1122000,-1434000,-312000
2007/01/16,0,2781000,-24000,2757000
2007/01/17,0,954000,-1103000,-149000
2007/01/18,0,1582000,-1555000,27000
2007/01/19,0,2337000,-2112000,225000
2007/01/22,0,440000,-515000,-75000
2007/01/23,0,258000,-96000,162000
2007/01/24,0,2648000,0,2648000
2007/01/25,0,1592000,-40000,1552000
2007/01/26,0,2313000,-301000,2012000
2007/01/29,0,2079000,-526000,1553000
2007/01/30,0,2253000,-492083,1760917
2007/01/31,0,229000,-958000,-729000
2007/02/01,0,918000,-305000,613000
2007/02/02,0,332000,0,332000
2007/02/05,0,854000,-10000,844000
2007/02/06,0,91000,-379000,-288000
2007/02/07,0,520000,-1051000,-531000
2007/02/08,0,1199000,-409136,789864
2007/02/09,0,1235000,-152000,1083000
2007/02/12,0,369000,-203000,166000
2007/02/13,0,221000,-172000,49000
2007/02/14,0,1548000,-1622717,-74717
2007/02/15,0,0,0,0
2007/02/16,0,0,0,0
2007/02/19,0,0,0,0
2007/02/20,0,0,0,0
2007/02/21,0,0,0,0
2007/02/22,0,0,0,0
2007/02/23,0,0,0,0
2007/02/26,0,1939000,-1210129,728871
2007/02/27,0,2554000,-1100000,1454000
2007/02/28,0,0,0,0
2007/03/01,0,1245000,-3011000,-1766000
2007/03/02,0,132000,-1408000,-1276000
2007/03/05,0,262000,-3760000,-3498000
2007/03/06,0,1119000,-2991700,-1872700
2007/03/07,0,868000,-2736277,-1868277
2007/03/08,0,740000,-977203,-237203
2007/03/09,0,743000,-1162000,-419000
2007/03/12,0,589000,-223040,365960
2007/03/13,0,562000,-587000,-25000
2007/03/14,0,4449000,-5032000,-583000
2007/03/15,0,3065000,-1601000,1464000
2007/03/16,0,1827000,-2864000,-1037000
2007/03/19,0,674000,-3404169,-2730169
2007/03/20,0,3252000,-176000,3076000
2007/03/21,0,152000,-928000,-776000
2007/03/22,0,6604000,-920600,5683400
2007/03/23,0,4453000,-1544400,2908600
2007/03/26,0,3304000,-2105000,1199000
2007/03/27,0,6932000,-3878000,3054000
2007/03/28,0,1035000,-917000,118000
2007/03/29,0,3575000,-2363000,1212000
2007/03/30,0,2786000,-1964000,822000
2007/04/02,0,400000,-1550000,-1150000
2007/04/03,0,7639700,-3249730,4389970
2007/04/04,0,15758000,-2728800,13029200
2007/04/05,0,0,0,0
2007/04/06,0,0,0,0
2007/04/09,0,8605000,-6150760,2454240
2007/04/10,0,3728000,-2719000,1009000
2007/04/11,0,5294000,-9054810,-3760810
2007/04/12,0,8514100,-15050000,-6535900
2007/04/13,0,11281000,-23992000,-12711000
2007/04/16,0,3955000,-25835950,-21880950
2007/04/17,0,25094000,-22987730,2106270
2007/04/18,0,9211600,-10708000,-1496400
2007/04/19,0,13311000,-40534386,-27223386
2007/04/20,0,18379300,-39497115,-21117815
2007/04/23,0,16031000,-15502157,528843
2007/04/24,0,7789000,-5096000,2693000
2007/04/25,0,3359000,-7991000,-4632000
2007/04/26,0,34573000,-30774824,3798176
2007/04/27,0,2244025,-10097741,-7853716
2007/04/30,0,10372000,-12109065,-1737065
2007/05/01,0,0,0,0
2007/05/02,0,13783000,-7190255,6592745
2007/05/03,0,9079000,-9095703,-16703
2007/05/04,0,14312000,-11907075,2404925
2007/05/07,0,8405000,-1708310,6696690
2007/05/08,0,8579000,-2817000,5762000
2007/05/09,0,5044000,-1310000,3734000
2007/05/10,0,15529000,-425001,15103999
2007/05/11,0,3177000,-2404067,772933
2007/05/14,0,9128000,-4125215,5002785
2007/05/15,0,975000,-710000,265000
2007/05/16,0,274000,-771155,-497155
2007/05/17,0,2056000,-1736000,320000
2007/05/18,0,3401000,-4646000,-1245000
2007/05/21,0,10193000,-5382381,4810619
2007/05/22,0,58825000,-57916260,908740
2007/05/23,0,14176000,-10273000,3903000
2007/05/24,0,15494000,-10508000,4986000
2007/05/25,0,5977000,-5091000,886000
2007/05/28,0,2390000,-1876000,514000
2007/05/29,0,9519000,-1421000,8098000
2007/05/30,0,4816000,-4815000,1000
2007/05/31,0,10639000,-13820935,-3181935
2007/06/01,0,18604000,-4736026,13867974
2007/06/04,0,45180000,-6337000,38843000
2007/06/05,0,29014500,-4405500,24609000
2007/06/06,0,25825798,-4427000,21398798
2007/06/07,0,24884000,-1362500,23521500
2007/06/08,0,797000,-1282000,-485000
2007/06/11,0,2252000,-3356000,-1104000
2007/06/12,0,11413000,-5393000,6020000
2007/06/13,0,9733000,-5246300,4486700
2007/06/14,0,21772430,-19375350,2397080
2007/06/15,0,49842000,-13361000,36481000
2007/06/18,0,0,0,0
2007/06/19,0,0,0,0
2007/06/20,0,147747000,-64174000,83573000
2007/06/21,0,66337000,-40573000,25764000
2007/06/22,0,39600000,-40966870,-1366870
2007/06/25,0,41941000,-6743500,35197500
2007/06/26,0,28324015,-7518000,20806015
2007/06/27,0,9484000,-14095000,-4611000
2007/06/28,0,20971000,-16840394,4130606
2007/06/29,0,36658000,-9328733,27329267
2007/07/02,0,17743000,-9318000,8425000
2007/07/03,0,25449000,-31671920,-6222920
2007/07/04,0,21085450,-11066308,10019142
2007/07/05,0,36264000,-4103000,32161000
2007/07/06,0,20836000,-22824025,-1988025
2007/07/09,0,22819000,-9947000,12872000
2007/07/10,0,11097000,-5258559,5838441
2007/07/11,0,4189500,-9904912,-5715412
2007/07/12,0,14268000,-11780000,2488000
2007/07/13,0,22030000,-4050500,17979500
2007/07/16,0,60684000,-16959886,43724114
2007/07/17,0,17016000,-13390000,3626000
2007/07/18,0,12998000,-19285000,-6287000
2007/07/19,0,12394000,-16722287,-4328287
2007/07/20,0,11879500,-16657000,-4777500
2007/07/23,0,16413000,-24376004,-7963004
2007/07/24,0,17648000,-14195795,3452205
2007/07/25,0,17892000,-25708953,-7816953
2007/07/26,0,37466000,-32466874,4999126
2007/07/27,0,8482000,-48931945,-40449945
2007/07/30,0,18044000,-29214507,-11170507
2007/07/31,0,18931000,-11742000,7189000
2007/08/01,0,12326858,-50589000,-38262142
2007/08/02,0,13811675,-12295226,1516449
