Date,Open,Buy,Sell,Total
2007/01/02,0,55000,-5000,50000
2007/01/03,0,27000,-1000,26000
2007/01/04,0,13000,0,13000
2007/01/05,0,10000,0,10000
2007/01/08,0,3000,-67169,-64169
2007/01/09,0,1000,-1000,0
2007/01/10,0,0,-58000,-58000
2007/01/11,0,108000,-149132,-41132
2007/01/12,0,1000,-179000,-178000
2007/01/15,0,2000,-142000,-140000
2007/01/16,0,0,-431000,-431000
2007/01/17,0,6000,-129000,-123000
2007/01/18,0,25000,-85000,-60000
2007/01/19,0,19000,-180000,-161000
2007/01/22,0,8000,-94000,-86000
2007/01/23,0,402000,-950145,-548145
2007/01/24,0,503000,-716000,-213000
2007/01/25,0,22000,-213000,-191000
2007/01/26,0,242000,-170000,72000
2007/01/29,0,254000,-379000,-125000
2007/01/30,0,278000,-281000,-3000
2007/01/31,0,64000,-153000,-89000
2007/02/01,0,96000,-110000,-14000
2007/02/02,0,216000,-98000,118000
2007/02/05,0,44000,-174000,-130000
2007/02/06,0,121000,-605408,-484408
2007/02/07,0,383000,-550000,-167000
2007/02/08,0,223000,-325000,-102000
2007/02/09,0,466000,-655892,-189892
2007/02/12,0,0,-577120,-577120
2007/02/13,0,112000,-543000,-431000
2007/02/14,0,6000,-439618,-433618
2007/02/15,0,0,0,0
2007/02/16,0,0,0,0
2007/02/19,0,0,0,0
2007/02/20,0,0,0,0
2007/02/21,0,0,0,0
2007/02/22,0,0,0,0
2007/02/23,0,0,0,0
2007/02/26,0,5000,-136000,-131000
2007/02/27,0,3000,-27000,-24000
2007/02/28,0,0,0,0
2007/03/01,0,103000,-128000,-25000
2007/03/02,0,0,-81062,-81062
2007/03/05,0,8000,-215000,-207000
2007/03/06,0,0,-190000,-190000
2007/03/07,0,0,-252820,-252820
2007/03/08,0,0,-160000,-160000
2007/03/09,0,43000,-512000,-469000
2007/03/12,0,429000,-514000,-85000
2007/03/13,0,123000,-22000,101000
2007/03/14,0,133000,-9000,124000
2007/03/15,0,154000,0,154000
2007/03/16,0,192000,-5000,187000
2007/03/19,0,152000,-2000,150000
2007/03/20,0,149000,-15000,134000
2007/03/21,0,144000,-5000,139000
2007/03/22,0,196000,-36000,160000
2007/03/23,0,1772000,-1503000,269000
2007/03/26,0,294000,-168000,126000
2007/03/27,0,122000,-131545,-9545
2007/03/28,0,88000,-99000,-11000
2007/03/29,0,65000,-50000,15000
2007/03/30,0,1705000,-1561000,144000
2007/04/02,0,163000,-15000,148000
2007/04/03,0,2289000,-2005000,284000
2007/04/04,0,2278000,-2252000,26000
2007/04/05,0,0,0,0
2007/04/06,0,0,0,0
2007/04/09,0,7000,-150000,-143000
2007/04/10,0,18000,-91000,-73000
2007/04/11,0,1611000,-1075000,536000
2007/04/12,0,525000,-204095,320905
2007/04/13,0,955000,-423000,532000
2007/04/16,0,213000,-300000,-87000
2007/04/17,0,1000,-246000,-245000
2007/04/18,0,0,0,0
2007/04/19,0,10000,-72000,-62000
2007/04/20,0,0,-31000,-31000
2007/04/23,0,135000,0,135000
2007/04/24,0,64000,-4000,60000
2007/04/25,0,60000,-57641,2359
2007/04/26,0,78000,0,78000
2007/04/27,0,70000,0,70000
2007/04/30,0,256000,-262000,-6000
2007/05/01,0,0,0,0
2007/05/02,0,1000,-1000,0
2007/05/03,0,0,-1000,-1000
2007/05/04,0,5000,0,5000
2007/05/07,0,0,-2000,-2000
2007/05/08,0,1000,-55000,-54000
2007/05/09,0,3000,-91000,-88000
2007/05/10,0,1000,-96000,-95000
2007/05/11,0,65000,-1000,64000
2007/05/14,0,939000,-855000,84000
