Date,Open,Buy,Sell,Total
2007/04/23,0,10000,-486000,-476000
2007/04/24,0,15000,-13962,1038
2007/04/25,0,19000,-679000,-660000
2007/04/26,0,22000,-1230196,-1208196
2007/04/27,0,170000,-207000,-37000
2007/04/30,0,2000,-519000,-517000
2007/05/01,0,0,0,0
2007/05/02,0,154000,-65397,88603
2007/05/03,0,7000,-40000,-33000
2007/05/04,0,355000,-370340,-15340
2007/05/07,0,693000,-1214000,-521000
2007/05/08,0,1777000,-83000,1694000
2007/05/09,0,72000,-1211000,-1139000
2007/05/10,0,1009000,-10000,999000
2007/05/11,0,11000,-120000,-109000
2007/05/14,0,110000,-1346000,-1236000
2007/05/15,0,281000,-154000,127000
2007/05/16,0,0,-16000,-16000
2007/05/17,0,320000,-23000,297000
2007/05/18,0,300000,-15000,285000
2007/05/21,0,728000,-3000,725000
2007/05/22,0,0,-1780000,-1780000
2007/05/23,0,2059000,-332000,1727000
2007/05/24,0,113000,-35000,78000
2007/05/25,0,81000,-1055000,-974000
2007/05/28,0,17000,-155000,-138000
2007/05/29,0,6000,-55000,-49000
2007/05/30,0,645000,-317000,328000
2007/05/31,0,1815000,0,1815000
2007/06/01,0,23000,-47000,-24000
2007/06/04,0,1061000,-56492,1004508
2007/06/05,0,1981000,-97000,1884000
2007/06/06,0,309000,-588000,-279000
2007/06/07,0,40000,-514000,-474000
2007/06/08,0,1037000,-105000,932000
2007/06/11,0,2178000,-313000,1865000
2007/06/12,0,58000,-815000,-757000
2007/06/13,0,100000,-448000,-348000
2007/06/14,0,412000,-802000,-390000
2007/06/15,0,59000,-528000,-469000
2007/06/18,0,0,0,0
2007/06/19,0,0,0,0
2007/06/20,0,360000,-1421000,-1061000
2007/06/21,0,601000,-86000,515000
2007/06/22,0,57000,-461000,-404000
2007/06/25,0,74000,-752000,-678000
2007/06/26,0,58000,-601000,-543000
2007/06/27,0,86000,-1718000,-1632000
2007/06/28,0,156000,-1929000,-1773000
2007/06/29,0,29000,-252000,-223000
2007/07/02,0,0,-175000,-175000
2007/07/03,0,4000,-98000,-94000
2007/07/04,0,69000,-30000,39000
