"106年06月26日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
"3481  ","群創            ","2,918,000","2,791,000","127,000","18,486,000","5,086,000","13,400,000","21,404,000","7,877,000","13,527,000",
="00633L","富邦上証正2     ","1,095,000","1,472,000","-377,000","13,749,000","5,021,000","8,728,000","14,844,000","6,493,000","8,351,000",
"2888  ","新光金          ","113,000","26,000","87,000","7,651,000","511,000","7,140,000","7,764,000","537,000","7,227,000",
="00637L","元大滬深300正2  ","0","140,000","-140,000","31,123,000","24,873,000","6,250,000","31,123,000","25,013,000","6,110,000",
"2882  ","國泰金          ","870,000","70,000","800,000","5,252,000","72,000","5,180,000","6,122,000","142,000","5,980,000",
"2409  ","友達            ","539,000","200,000","339,000","8,172,000","3,320,000","4,852,000","8,711,000","3,520,000","5,191,000",
="03285B","臺股指元大69熊19","0","0","0","5,544,000","930,000","4,614,000","5,544,000","930,000","4,614,000",
"2881  ","富邦金          ","1,671,000","100,000","1,571,000","3,138,000","419,000","2,719,000","4,809,000","519,000","4,290,000",
="059292","台積電凱基6A購05","0","0","0","4,297,000","10,000","4,287,000","4,297,000","10,000","4,287,000",
"2317  ","鴻海            ","5,881,000","3,357,000","2,524,000","3,217,000","2,015,000","1,202,000","9,098,000","5,372,000","3,726,000",
"2884  ","玉山金          ","96,000","0","96,000","3,456,000","1,000","3,455,000","3,552,000","1,000","3,551,000",
"2891  ","中信金          ","1,549,000","850,000","699,000","3,013,000","371,000","2,642,000","4,562,000","1,221,000","3,341,000",
="00686R","群益臺灣加權反1 ","0","0","0","4,145,000","1,281,000","2,864,000","4,145,000","1,281,000","2,864,000",
="0056  ","元大高股息      ","0","0","0","2,862,000","0","2,862,000","2,862,000","0","2,862,000",
="058375","大立光元大69購12","0","0","0","3,400,000","594,000","2,806,000","3,400,000","594,000","2,806,000",
="059173","群創元大6A購02  ","0","0","0","3,708,000","1,285,000","2,423,000","3,708,000","1,285,000","2,423,000",
="08047P","鴻海統一68售03  ","0","0","0","2,405,000","0","2,405,000","2,405,000","0","2,405,000",
="00692 ","富邦公司治理    ","0","0","0","2,763,000","379,000","2,384,000","2,763,000","379,000","2,384,000",
="058177","台積電日盛69購02","0","0","0","2,397,000","99,000","2,298,000","2,397,000","99,000","2,298,000",
="055843","彩晶元大68購01  ","0","0","0","2,210,000","0","2,210,000","2,210,000","0","2,210,000",
="054578","友達永昌67購02  ","0","0","0","2,187,000","38,000","2,149,000","2,187,000","38,000","2,149,000",
"2887  ","台新金          ","203,000","0","203,000","2,093,000","214,000","1,879,000","2,296,000","214,000","2,082,000",
