"106年08月17日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
"2344  ","華邦電          ","2,141,000","423,000","1,718,000","12,629,000","3,914,000","8,715,000","14,770,000","4,337,000","10,433,000",
="00701 ","國泰臺灣低波動30","0","0","0","10,559,000","1,879,000","8,680,000","10,559,000","1,879,000","8,680,000",
"2409  ","友達            ","0","256,000","-256,000","7,426,000","1,569,000","5,857,000","7,426,000","1,825,000","5,601,000",
="061256","台新金凱基6C購02","0","0","0","3,858,000","68,000","3,790,000","3,858,000","68,000","3,790,000",
="03018X","元展18          ","0","0","0","3,609,000","10,000","3,599,000","3,609,000","10,000","3,599,000",
="00702 ","國泰標普低波高息","0","0","0","3,745,000","408,000","3,337,000","3,745,000","408,000","3,337,000",
"3481  ","群創            ","869,000","223,000","646,000","3,534,000","919,000","2,615,000","4,403,000","1,142,000","3,261,000",
="061755","台積電統一73購04","0","0","0","3,064,000","52,000","3,012,000","3,064,000","52,000","3,012,000",
="00673R","元大S&P原油反1  ","0","0","0","3,078,000","180,000","2,898,000","3,078,000","180,000","2,898,000",
="056302","樺漢統一6B購01  ","0","0","0","2,797,000","155,000","2,642,000","2,797,000","155,000","2,642,000",
="060822","GIS凱基6B購06   ","0","0","0","4,010,000","1,430,000","2,580,000","4,010,000","1,430,000","2,580,000",
"2888  ","新光金          ","0","67,000","-67,000","2,764,000","141,000","2,623,000","2,764,000","208,000","2,556,000",
="059872","台新金凱基6B購01","0","0","0","2,722,000","302,000","2,420,000","2,722,000","302,000","2,420,000",
="059875","合庫金日盛6B購01","0","0","0","2,402,000","0","2,402,000","2,402,000","0","2,402,000",
="056175","臺股指元大69購13","0","0","0","3,384,000","1,040,000","2,344,000","3,384,000","1,040,000","2,344,000",
="059434","智易國泰6A購01  ","0","0","0","2,619,000","472,000","2,147,000","2,619,000","472,000","2,147,000",
"1907  ","永豐餘          ","1,617,000","6,000","1,611,000","534,000","1,000","533,000","2,151,000","7,000","2,144,000",
"2610  ","華航            ","1,814,000","1,174,000","640,000","2,123,000","648,000","1,475,000","3,937,000","1,822,000","2,115,000",
="03488C","南亞元富75牛01  ","0","0","0","2,100,000","0","2,100,000","2,100,000","0","2,100,000",
="04185P","亞德客元大71售01","0","0","0","2,345,000","258,000","2,087,000","2,345,000","258,000","2,087,000",
="058495","華邦電元大6A購04","0","0","0","3,069,000","1,035,000","2,034,000","3,069,000","1,035,000","2,034,000",
="059339","長榮航國泰6B購01","0","0","0","2,089,000","154,000","1,935,000","2,089,000","154,000","1,935,000",
="04171P","鴻海兆豐72售01  ","0","0","0","2,065,000","440,000","1,625,000","2,065,000","440,000","1,625,000",
="03803P","佳世達永豐6C售03","0","0","0","1,612,000","10,000","1,602,000","1,612,000","10,000","1,602,000",
="03697P","上銀元大6C售03  ","0","0","0","2,538,000","1,033,000","1,505,000","2,538,000","1,033,000","1,505,000",
="08730P","聯發科統一6B售03","0","0","0","1,500,000","0","1,500,000","1,500,000","0","1,500,000",
="056772","T50反1元大6C購01","0","0","0","1,498,000","0","1,498,000","1,498,000","0","1,498,000",
="061927","華邦電日盛71購01","0","0","0","1,693,000","221,000","1,472,000","1,693,000","221,000","1,472,000",
="062945","長榮航國票72購01","0","0","0","1,592,000","146,000","1,446,000","1,592,000","146,000","1,446,000",
="061466","貿聯元大6C購01  ","0","0","0","2,616,000","1,187,000","1,429,000","2,616,000","1,187,000","1,429,000",
="057570","友達元富69購01  ","0","0","0","1,390,000","0","1,390,000","1,390,000","0","1,390,000",
="03315P","和大群益6B售03  ","0","0","0","1,448,000","79,000","1,369,000","1,448,000","79,000","1,369,000",
"2884  ","玉山金          ","4,000","436,000","-432,000","1,870,000","72,000","1,798,000","1,874,000","508,000","1,366,000",
="04539P","榮成元大72售01  ","0","0","0","2,097,000","751,000","1,346,000","2,097,000","751,000","1,346,000",
="062966","長榮凱基71購01  ","0","0","0","2,426,000","1,091,000","1,335,000","2,426,000","1,091,000","1,335,000",
="04177P","亞德客群益71售03","0","0","0","1,303,000","0","1,303,000","1,303,000","0","1,303,000",
="055463","彩晶統一69購01  ","0","0","0","1,304,000","23,000","1,281,000","1,304,000","23,000","1,281,000",
="03745P","和大元大6C售03  ","0","0","0","1,578,000","308,000","1,270,000","1,578,000","308,000","1,270,000",
="060040","貿聯元大71購01  ","0","0","0","2,411,000","1,149,000","1,262,000","2,411,000","1,149,000","1,262,000",
="04265P","和大群益72售03  ","0","0","0","1,285,000","31,000","1,254,000","1,285,000","31,000","1,254,000",
="04438P","美律元大71售04  ","0","0","0","1,260,000","9,000","1,251,000","1,260,000","9,000","1,251,000",
"3006  ","晶豪科          ","192,000","3,000","189,000","1,286,000","264,000","1,022,000","1,478,000","267,000","1,211,000",
="064430","長榮統一72購01  ","0","0","0","1,619,000","414,000","1,205,000","1,619,000","414,000","1,205,000",
"8105  ","凌巨            ","428,000","0","428,000","961,000","190,000","771,000","1,389,000","190,000","1,199,000",
="059250","訊芯元大6A購01  ","0","0","0","1,395,000","215,000","1,180,000","1,395,000","215,000","1,180,000",
="059835","敦泰群益6C購01  ","0","0","0","1,807,000","627,000","1,180,000","1,807,000","627,000","1,180,000",
="064206","長榮群益72購01  ","0","0","0","1,571,000","396,000","1,175,000","1,571,000","396,000","1,175,000",
="03578P","日月光凱基6C售01","0","0","0","1,244,000","71,000","1,173,000","1,244,000","71,000","1,173,000",
="03003P","聯鈞永豐6A售02  ","0","0","0","1,201,000","30,000","1,171,000","1,201,000","30,000","1,171,000",
"9136  ","巨騰-DR         ","0","0","0","1,291,000","125,000","1,166,000","1,291,000","125,000","1,166,000",
="062033","台灣50元富72購03","0","0","0","1,421,000","267,000","1,154,000","1,421,000","267,000","1,154,000",
="064143","榮成康和72購01  ","0","0","0","1,413,000","279,000","1,134,000","1,413,000","279,000","1,134,000",
="059520","富邦金凱基6A購05","0","0","0","1,838,000","713,000","1,125,000","1,838,000","713,000","1,125,000",
="058223","台新金凱基69購01","0","0","0","1,118,000","0","1,118,000","1,118,000","0","1,118,000",
="061688","鎧勝群益6C購01  ","0","0","0","1,129,000","30,000","1,099,000","1,129,000","30,000","1,099,000",
"2317  ","鴻海            ","238,000","136,000","102,000","1,003,000","6,000","997,000","1,241,000","142,000","1,099,000",
="063965","鴻海兆豐72購03  ","0","0","0","1,690,000","605,000","1,085,000","1,690,000","605,000","1,085,000",
="059570","華邦電統一6A購06","0","0","0","1,440,000","363,000","1,077,000","1,440,000","363,000","1,077,000",
="062016","英業達永豐6C購01","0","0","0","1,089,000","16,000","1,073,000","1,089,000","16,000","1,073,000",
"2455  ","全新            ","106,000","5,000","101,000","982,000","19,000","963,000","1,088,000","24,000","1,064,000",
="061875","台積電永昌6C購04","0","0","0","1,155,000","103,000","1,052,000","1,155,000","103,000","1,052,000",
="064209","鎧勝群益73購01  ","0","0","0","1,044,000","0","1,044,000","1,044,000","0","1,044,000",
"2352  ","佳世達          ","24,000","302,000","-278,000","1,641,000","327,000","1,314,000","1,665,000","629,000","1,036,000",
="058400","中磊凱基6A購01  ","0","0","0","1,749,000","719,000","1,030,000","1,749,000","719,000","1,030,000",
="061987","啟碁凱基6C購01  ","0","0","0","2,174,000","1,146,000","1,028,000","2,174,000","1,146,000","1,028,000",
="062899","長榮元富72購01  ","0","0","0","1,883,000","855,000","1,028,000","1,883,000","855,000","1,028,000",
"1605  ","華新            ","130,000","212,000","-82,000","1,218,000","117,000","1,101,000","1,348,000","329,000","1,019,000",
="056176","臺股指元大69購14","0","0","0","1,047,000","36,000","1,011,000","1,047,000","36,000","1,011,000",
="060809","貿聯元大71購02  ","0","0","0","1,518,000","508,000","1,010,000","1,518,000","508,000","1,010,000",
="00631L","元大台灣50正2   ","162,000","0","162,000","928,000","81,000","847,000","1,090,000","81,000","1,009,000",
="057986","臺股指凱基69購11","0","0","0","1,069,000","64,000","1,005,000","1,069,000","64,000","1,005,000",
="062977","第一金元大71購01","0","0","0","1,037,000","36,000","1,001,000","1,037,000","36,000","1,001,000",
="057755","中石化宏遠69購01","0","0","0","998,000","0","998,000","998,000","0","998,000",
="058509","友達永昌6A購01  ","0","0","0","1,607,000","610,000","997,000","1,607,000","610,000","997,000",
="03901P","台積電凱基6C售07","0","0","0","1,011,000","16,000","995,000","1,011,000","16,000","995,000",
="058759","正隆永豐6A購01  ","0","0","0","998,000","3,000","995,000","998,000","3,000","995,000",
="04634P","華通富邦72售02  ","0","0","0","1,028,000","40,000","988,000","1,028,000","40,000","988,000",
="062389","宏達電凱基73購01","0","0","0","1,127,000","142,000","985,000","1,127,000","142,000","985,000",
="061962","台灣50永豐6C購03","0","0","0","1,183,000","207,000","976,000","1,183,000","207,000","976,000",
="060074","奇力新兆豐6B購01","0","0","0","1,008,000","40,000","968,000","1,008,000","40,000","968,000",
="059561","神基日盛6A購01  ","0","0","0","1,334,000","371,000","963,000","1,334,000","371,000","963,000",
="059407","神基永豐6A購01  ","0","0","0","1,062,000","102,000","960,000","1,062,000","102,000","960,000",
="063420","超眾元大71購02  ","0","0","0","1,392,000","446,000","946,000","1,392,000","446,000","946,000",
="060483","神基國泰6C購01  ","0","0","0","2,191,000","1,253,000","938,000","2,191,000","1,253,000","938,000",
="062658","鴻海玉山71購02  ","0","0","0","1,900,000","962,000","938,000","1,900,000","962,000","938,000",
="062972","鴻海元大71購10  ","0","0","0","1,346,000","411,000","935,000","1,346,000","411,000","935,000",
"3673  ","TPK-KY          ","297,000","10,000","287,000","821,000","189,000","632,000","1,118,000","199,000","919,000",
="064521","榮成國泰72購01  ","0","0","0","1,226,000","309,000","917,000","1,226,000","309,000","917,000",
="061393","台勝科統一6C購02","0","0","0","937,000","21,000","916,000","937,000","21,000","916,000",
="064446","鴻海元大72購04  ","0","0","0","910,000","5,000","905,000","910,000","5,000","905,000",
