"106年07月24日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="062772","光磊元大71購01  ","0","0","0","4,346,000","397,000","3,949,000","4,346,000","397,000","3,949,000",
"2105  ","正新            ","779,000","5,000","774,000","2,770,000","0","2,770,000","3,549,000","5,000","3,544,000",
="058623","光磊凱基6A購01  ","0","0","0","3,756,000","396,000","3,360,000","3,756,000","396,000","3,360,000",
"3481  ","群創            ","524,000","671,000","-147,000","5,147,000","1,712,000","3,435,000","5,671,000","2,383,000","3,288,000",
="060367","台郡永昌6C購01  ","0","0","0","3,719,000","672,000","3,047,000","3,719,000","672,000","3,047,000",
"2409  ","友達            ","0","102,000","-102,000","3,785,000","784,000","3,001,000","3,785,000","886,000","2,899,000",
"2371  ","大同            ","397,000","24,000","373,000","2,023,000","21,000","2,002,000","2,420,000","45,000","2,375,000",
"2887  ","台新金          ","100,000","0","100,000","2,363,000","227,000","2,136,000","2,463,000","227,000","2,236,000",
"3019  ","亞光            ","288,000","83,000","205,000","2,081,000","58,000","2,023,000","2,369,000","141,000","2,228,000",
="063104","彩晶統一73購01  ","0","0","0","2,353,000","239,000","2,114,000","2,353,000","239,000","2,114,000",
="00633L","富邦上証正2     ","35,000","195,000","-160,000","5,877,000","3,614,000","2,263,000","5,912,000","3,809,000","2,103,000",
="056176","臺股指元大69購14","0","0","0","2,237,000","146,000","2,091,000","2,237,000","146,000","2,091,000",
="060036","中華電元大6B購01","0","0","0","2,006,000","1,000","2,005,000","2,006,000","1,000","2,005,000",
"2313  ","華通            ","393,000","1,820,000","-1,427,000","4,266,000","883,000","3,383,000","4,659,000","2,703,000","1,956,000",
"2002  ","中鋼            ","0","407,000","-407,000","2,315,000","11,000","2,304,000","2,315,000","418,000","1,897,000",
="055336","台達電群益69購01","0","0","0","2,134,000","300,000","1,834,000","2,134,000","300,000","1,834,000",
"2888  ","新光金          ","132,000","111,000","21,000","2,058,000","266,000","1,792,000","2,190,000","377,000","1,813,000",
="058121","中華電富邦69購01","0","0","0","1,812,000","0","1,812,000","1,812,000","0","1,812,000",
"3037  ","欣興            ","391,000","0","391,000","1,668,000","250,000","1,418,000","2,059,000","250,000","1,809,000",
"2892  ","第一金          ","1,278,000","0","1,278,000","1,589,000","1,087,000","502,000","2,867,000","1,087,000","1,780,000",
="060228","中華電富邦6B購01","0","0","0","1,661,000","0","1,661,000","1,661,000","0","1,661,000",
"2884  ","玉山金          ","1,214,000","0","1,214,000","360,000","10,000","350,000","1,574,000","10,000","1,564,000",
="059958","彩晶統一6C購01  ","0","0","0","1,936,000","399,000","1,537,000","1,936,000","399,000","1,537,000",
="062571","友達統一73購01  ","0","0","0","2,002,000","503,000","1,499,000","2,002,000","503,000","1,499,000",
="00637L","元大滬深300正2  ","0","0","0","18,693,000","17,212,000","1,481,000","18,693,000","17,212,000","1,481,000",
="060437","興勤凱基6B購01  ","0","0","0","2,110,000","667,000","1,443,000","2,110,000","667,000","1,443,000",
="0056  ","元大高股息      ","0","0","0","1,431,000","0","1,431,000","1,431,000","0","1,431,000",
="062783","興勤元大71購02  ","0","0","0","1,465,000","35,000","1,430,000","1,465,000","35,000","1,430,000",
="061797","華邦電永豐6C購04","0","0","0","1,463,000","35,000","1,428,000","1,463,000","35,000","1,428,000",
"1101  ","台泥            ","526,000","2,000","524,000","989,000","118,000","871,000","1,515,000","120,000","1,395,000",
="062329","潤泰全國泰6C購01","0","0","0","1,419,000","30,000","1,389,000","1,419,000","30,000","1,389,000",
="03011P","大立光統一6A售04","0","0","0","1,365,000","0","1,365,000","1,365,000","0","1,365,000",
="060821","TPK凱基6B購02   ","0","0","0","2,042,000","692,000","1,350,000","2,042,000","692,000","1,350,000",
="061211","佳世達群益6C購04","0","0","0","1,557,000","277,000","1,280,000","1,557,000","277,000","1,280,000",
="03058P","群創凱基6A售03  ","0","0","0","1,460,000","200,000","1,260,000","1,460,000","200,000","1,260,000",
="062530","致茂元大74購03  ","0","0","0","1,357,000","104,000","1,253,000","1,357,000","104,000","1,253,000",
="058760","光磊永豐6A購01  ","0","0","0","1,340,000","90,000","1,250,000","1,340,000","90,000","1,250,000",
="061978","葡萄王凱基6C購01","0","0","0","1,320,000","100,000","1,220,000","1,320,000","100,000","1,220,000",
="062347","全新元富6C購01  ","0","0","0","1,298,000","83,000","1,215,000","1,298,000","83,000","1,215,000",
="059442","統一宏遠6A購01  ","0","0","0","1,369,000","160,000","1,209,000","1,369,000","160,000","1,209,000",
="062482","彩晶統一72購01  ","0","0","0","1,705,000","509,000","1,196,000","1,705,000","509,000","1,196,000",
="060866","GIS統一71購01   ","0","0","0","1,496,000","327,000","1,169,000","1,496,000","327,000","1,169,000",
="00635U","元大S&P黃金     ","0","0","0","1,408,000","276,000","1,132,000","1,408,000","276,000","1,132,000",
="04240P","台光電元大71售03","0","0","0","1,109,000","0","1,109,000","1,109,000","0","1,109,000",
="00639 ","富邦深100       ","160,000","0","160,000","1,158,000","224,000","934,000","1,318,000","224,000","1,094,000",
="04135P","T50正2統一71售01","0","0","0","1,125,000","50,000","1,075,000","1,125,000","50,000","1,075,000",
="03587P","敦泰群益71售01  ","0","0","0","1,075,000","10,000","1,065,000","1,075,000","10,000","1,065,000",
="059213","友達群益6B購02  ","0","0","0","1,289,000","230,000","1,059,000","1,289,000","230,000","1,059,000",
="060589","興勤國泰6B購01  ","0","0","0","1,251,000","206,000","1,045,000","1,251,000","206,000","1,045,000",
="062169","南亞科凱基6C購01","0","0","0","2,336,000","1,322,000","1,014,000","2,336,000","1,322,000","1,014,000",
="060680","彩晶玉山6B購01  ","0","0","0","1,175,000","166,000","1,009,000","1,175,000","166,000","1,009,000",
="060232","聯發科富邦6C購06","0","0","0","994,000","10,000","984,000","994,000","10,000","984,000",
