"106年06月21日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
"3481  ","群創            ","6,580,000","2,612,000","3,968,000","27,859,000","4,756,000","23,103,000","34,439,000","7,368,000","27,071,000",
="00632R","元大台灣50反1   ","363,000","1,850,000","-1,487,000","27,908,000","5,048,000","22,860,000","28,271,000","6,898,000","21,373,000",
"2409  ","友達            ","5,050,000","772,000","4,278,000","11,697,000","3,066,000","8,631,000","16,747,000","3,838,000","12,909,000",
"6116  ","彩晶            ","1,989,000","2,000","1,987,000","6,669,000","587,000","6,082,000","8,658,000","589,000","8,069,000",
"2303  ","聯電            ","3,218,000","258,000","2,960,000","4,011,000","651,000","3,360,000","7,229,000","909,000","6,320,000",
"2330  ","台積電          ","4,562,000","443,000","4,119,000","1,849,000","631,000","1,218,000","6,411,000","1,074,000","5,337,000",
="00633L","富邦上証正2     ","2,397,000","772,000","1,625,000","8,191,000","4,523,000","3,668,000","10,588,000","5,295,000","5,293,000",
="00637L","元大滬深300正2  ","1,000,000","0","1,000,000","23,273,000","19,044,000","4,229,000","24,273,000","19,044,000","5,229,000",
="059223","群創群益6A購04  ","0","0","0","5,916,000","2,039,000","3,877,000","5,916,000","2,039,000","3,877,000",
"2892  ","第一金          ","594,000","0","594,000","3,009,000","0","3,009,000","3,603,000","0","3,603,000",
="006205","富邦上証        ","3,662,000","58,000","3,604,000","3,923,000","4,176,000","-253,000","7,585,000","4,234,000","3,351,000",
="0056  ","元大高股息      ","105,000","105,000","0","3,173,000","0","3,173,000","3,278,000","105,000","3,173,000",
"2356  ","英業達          ","1,493,000","1,096,000","397,000","2,625,000","336,000","2,289,000","4,118,000","1,432,000","2,686,000",
="059401","群創元大6C購02  ","0","0","0","4,178,000","1,574,000","2,604,000","4,178,000","1,574,000","2,604,000",
="054613","滬深2X群益68購01","0","0","0","3,271,000","719,000","2,552,000","3,271,000","719,000","2,552,000",
="060740","鴻海統一72購02  ","0","0","0","2,466,000","20,000","2,446,000","2,466,000","20,000","2,446,000",
="050506","聯發科第一68購01","0","0","0","2,176,000","0","2,176,000","2,176,000","0","2,176,000",
"2454  ","聯發科          ","372,000","119,000","253,000","2,106,000","189,000","1,917,000","2,478,000","308,000","2,170,000",
="006207","FH滬深          ","410,000","10,000","400,000","2,950,000","1,315,000","1,635,000","3,360,000","1,325,000","2,035,000",
="060746","和碩凱基6B購01  ","0","0","0","3,802,000","1,771,000","2,031,000","3,802,000","1,771,000","2,031,000",
"2891  ","中信金          ","986,000","0","986,000","1,312,000","292,000","1,020,000","2,298,000","292,000","2,006,000",
="059673","國巨群益6B購05  ","0","0","0","2,192,000","205,000","1,987,000","2,192,000","205,000","1,987,000",
="03089P","台積電富邦6C售02","0","0","0","2,263,000","279,000","1,984,000","2,263,000","279,000","1,984,000",
"2317  ","鴻海            ","2,260,000","386,000","1,874,000","1,197,000","1,150,000","47,000","3,457,000","1,536,000","1,921,000",
="060723","綠悅元富6B購01  ","0","0","0","1,906,000","0","1,906,000","1,906,000","0","1,906,000",
="057266","元油2X統一6A購01","0","0","0","1,992,000","87,000","1,905,000","1,992,000","87,000","1,905,000",
="061340","可成統一71購02  ","0","0","0","2,094,000","291,000","1,803,000","2,094,000","291,000","1,803,000",
="060282","鴻海凱基6B購05  ","0","0","0","3,611,000","1,836,000","1,775,000","3,611,000","1,836,000","1,775,000",
="060714","東陽元大71購01  ","0","0","0","2,128,000","395,000","1,733,000","2,128,000","395,000","1,733,000",
="058384","力成元富69購01  ","0","0","0","1,834,000","249,000","1,585,000","1,834,000","249,000","1,585,000",
"3702  ","大聯大          ","741,000","824,000","-83,000","1,834,000","168,000","1,666,000","2,575,000","992,000","1,583,000",
="055167","台泥群益67購01  ","0","0","0","1,624,000","106,000","1,518,000","1,624,000","106,000","1,518,000",
="059654","國巨國泰6B購01  ","0","0","0","1,774,000","278,000","1,496,000","1,774,000","278,000","1,496,000",
="058135","和碩統一69購01  ","0","0","0","1,905,000","437,000","1,468,000","1,905,000","437,000","1,468,000",
="060145","鴻海統一71購03  ","0","0","0","1,487,000","20,000","1,467,000","1,487,000","20,000","1,467,000",
="08722P","和碩元大6A售01  ","0","0","0","1,463,000","20,000","1,443,000","1,463,000","20,000","1,443,000",
="061556","可成凱基6C購03  ","0","0","0","2,021,000","590,000","1,431,000","2,021,000","590,000","1,431,000",
="03246P","台積電永豐6C售01","0","0","0","1,409,000","0","1,409,000","1,409,000","0","1,409,000",
="061341","可成統一72購01  ","0","0","0","3,068,000","1,664,000","1,404,000","3,068,000","1,664,000","1,404,000",
="03013P","可成統一6A售07  ","0","0","0","1,395,000","0","1,395,000","1,395,000","0","1,395,000",
="060064","綠悅永豐6C購01  ","0","0","0","1,608,000","234,000","1,374,000","1,608,000","234,000","1,374,000",
"2002  ","中鋼            ","851,000","0","851,000","688,000","178,000","510,000","1,539,000","178,000","1,361,000",
="060298","鴻海元富71購02  ","0","0","0","1,369,000","53,000","1,316,000","1,369,000","53,000","1,316,000",
="061413","大同富邦71購01  ","0","0","0","1,314,000","10,000","1,304,000","1,314,000","10,000","1,304,000",
="061203","台積電統一73購02","0","0","0","1,567,000","287,000","1,280,000","1,567,000","287,000","1,280,000",
="08644P","大立光統一69售09","0","0","0","1,330,000","80,000","1,250,000","1,330,000","80,000","1,250,000",
="055764","群創國泰6A購01  ","0","0","0","1,247,000","0","1,247,000","1,247,000","0","1,247,000",
"3037  ","欣興            ","123,000","59,000","64,000","1,372,000","204,000","1,168,000","1,495,000","263,000","1,232,000",
="058828","至上元富6A購01  ","0","0","0","1,332,000","105,000","1,227,000","1,332,000","105,000","1,227,000",
="061609","可成凱基6C購04  ","0","0","0","1,944,000","722,000","1,222,000","1,944,000","722,000","1,222,000",
"2884  ","玉山金          ","415,000","0","415,000","900,000","123,000","777,000","1,315,000","123,000","1,192,000",
="055389","鴻準永豐68購01  ","0","0","0","1,625,000","435,000","1,190,000","1,625,000","435,000","1,190,000",
="058437","中壽凱基6A購01  ","0","0","0","1,533,000","378,000","1,155,000","1,533,000","378,000","1,155,000",
="03550P","台積電永昌6B售01","0","0","0","2,129,000","996,000","1,133,000","2,129,000","996,000","1,133,000",
="0061  ","元大寶滬深      ","270,000","70,000","200,000","1,838,000","927,000","911,000","2,108,000","997,000","1,111,000",
="058944","和碩元大6A購02  ","0","0","0","1,966,000","878,000","1,088,000","1,966,000","878,000","1,088,000",
="059643","國巨中信6A購02  ","0","0","0","1,744,000","679,000","1,065,000","1,744,000","679,000","1,065,000",
="0051  ","元大中型100     ","0","0","0","1,059,000","0","1,059,000","1,059,000","0","1,059,000",
="059563","華新科日盛6A購01","0","0","0","1,315,000","264,000","1,051,000","1,315,000","264,000","1,051,000",
="059397","東陽元大6A購02  ","0","0","0","1,133,000","104,000","1,029,000","1,133,000","104,000","1,029,000",
="08220P","台積電國泰69售02","0","0","0","1,060,000","31,000","1,029,000","1,060,000","31,000","1,029,000",
="059623","國巨凱基6A購03  ","0","0","0","1,362,000","342,000","1,020,000","1,362,000","342,000","1,020,000",
="059280","富邦金永昌6A購01","0","0","0","1,584,000","568,000","1,016,000","1,584,000","568,000","1,016,000",
="08289P","上銀凱基6A售01  ","0","0","0","2,025,000","1,025,000","1,000,000","2,025,000","1,025,000","1,000,000",
="056417","群創永豐69購01  ","0","0","0","1,154,000","168,000","986,000","1,154,000","168,000","986,000",
="08898P","鴻海永昌6A售01  ","0","0","0","1,816,000","839,000","977,000","1,816,000","839,000","977,000",
="08319P","GIS元大69售03   ","0","0","0","976,000","0","976,000","976,000","0","976,000",
"2882A ","國泰特          ","973,000","0","973,000","0","0","0","973,000","0","973,000",
="058919","鴻海元富6B購02  ","0","0","0","1,015,000","48,000","967,000","1,015,000","48,000","967,000",
="057278","廣宇元大6A購01  ","0","0","0","947,000","0","947,000","947,000","0","947,000",
="03614P","致伸元大6C售01  ","0","0","0","1,434,000","491,000","943,000","1,434,000","491,000","943,000",
="03283B","臺股指兆豐67熊07","0","0","0","976,000","46,000","930,000","976,000","46,000","930,000",
="057242","和碩富邦69購01  ","0","0","0","930,000","0","930,000","930,000","0","930,000",
="061397","為升元富6C購01  ","0","0","0","1,091,000","161,000","930,000","1,091,000","161,000","930,000",
="03657P","台積電元大6C售05","0","0","0","1,527,000","605,000","922,000","1,527,000","605,000","922,000",
="058450","力成群益6B購01  ","0","0","0","1,660,000","739,000","921,000","1,660,000","739,000","921,000",
="060417","鴻海元富6C購05  ","0","0","0","1,030,000","110,000","920,000","1,030,000","110,000","920,000",
="058063","元大金凱基69購02","0","0","0","1,450,000","551,000","899,000","1,450,000","551,000","899,000",
="03424P","上銀統一6B售04  ","0","0","0","1,331,000","445,000","886,000","1,331,000","445,000","886,000",
="059018","瑞儀凱基6A購01  ","0","0","0","1,221,000","338,000","883,000","1,221,000","338,000","883,000",
="07554P","鴻準元大69售01  ","0","0","0","2,555,000","1,674,000","881,000","2,555,000","1,674,000","881,000",
="060850","為升富邦71購01  ","0","0","0","878,000","0","878,000","878,000","0","878,000",
="056545","群創元富69購01  ","0","0","0","1,020,000","145,000","875,000","1,020,000","145,000","875,000",
="03403P","上銀統一6B售03  ","0","0","0","1,056,000","184,000","872,000","1,056,000","184,000","872,000",
="057012","和碩凱基68購01  ","0","0","0","1,270,000","402,000","868,000","1,270,000","402,000","868,000",
="061641","臻鼎元大71購01  ","0","0","0","1,324,000","463,000","861,000","1,324,000","463,000","861,000",
="00631L","元大台灣50正2   ","75,000","0","75,000","1,102,000","319,000","783,000","1,177,000","319,000","858,000",
="03284P","致伸元富6B售02  ","0","0","0","854,000","0","854,000","854,000","0","854,000",
="054186","友達永昌67購01  ","0","0","0","870,000","20,000","850,000","870,000","20,000","850,000",
="00678 ","群益NBI生技     ","0","0","0","838,000","0","838,000","838,000","0","838,000",
="060396","綠悅兆豐6C購01  ","0","0","0","888,000","50,000","838,000","888,000","50,000","838,000",
="057914","華通永豐6A購02  ","0","0","0","1,530,000","694,000","836,000","1,530,000","694,000","836,000",
="03441P","GIS統一6B售05   ","0","0","0","1,166,000","345,000","821,000","1,166,000","345,000","821,000",
="058966","中工凱基6A購01  ","0","0","0","814,000","0","814,000","814,000","0","814,000",
="057454","友達兆豐6A購01  ","0","0","0","1,225,000","414,000","811,000","1,225,000","414,000","811,000",
="061003","和碩兆豐6C購01  ","0","0","0","982,000","173,000","809,000","982,000","173,000","809,000",
="059482","友達兆豐6B購01  ","0","0","0","1,850,000","1,045,000","805,000","1,850,000","1,045,000","805,000",
="058713","和碩國票6B購01  ","0","0","0","802,000","2,000","800,000","802,000","2,000","800,000",
="059162","廣宇凱基6A購01  ","0","0","0","891,000","100,000","791,000","891,000","100,000","791,000",
