"106年08月14日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00672L","元大S&P原油正2  ","520,000","0","520,000","9,178,000","1,778,000","7,400,000","9,698,000","1,778,000","7,920,000",
="062008","佳世達宏遠6C購01","0","0","0","7,071,000","469,000","6,602,000","7,071,000","469,000","6,602,000",
="057565","矽力元大69購01  ","0","0","0","4,165,000","120,000","4,045,000","4,165,000","120,000","4,045,000",
="060833","矽力永豐6B購01  ","0","0","0","4,899,000","1,070,000","3,829,000","4,899,000","1,070,000","3,829,000",
="055174","台達電元大69購02","0","0","0","3,805,000","145,000","3,660,000","3,805,000","145,000","3,660,000",
="063182","佳世達群益71購01","0","0","0","3,728,000","278,000","3,450,000","3,728,000","278,000","3,450,000",
="00677U","富邦VIX         ","0","1,962,000","-1,962,000","6,581,000","1,621,000","4,960,000","6,581,000","3,583,000","2,998,000",
="061688","鎧勝群益6C購01  ","0","0","0","2,993,000","419,000","2,574,000","2,993,000","419,000","2,574,000",
="056967","訊芯元富6A購01  ","0","0","0","2,465,000","0","2,465,000","2,465,000","0","2,465,000",
="055906","大同群益69購01  ","0","0","0","2,494,000","30,000","2,464,000","2,494,000","30,000","2,464,000",
="064092","長榮玉山72購01  ","0","0","0","2,436,000","84,000","2,352,000","2,436,000","84,000","2,352,000",
="00643 ","群益深証中小    ","340,000","0","340,000","2,174,000","227,000","1,947,000","2,514,000","227,000","2,287,000",
="057688","T50反1元大6A購05","0","0","0","2,263,000","0","2,263,000","2,263,000","0","2,263,000",
="062078","台勝科元大6C購03","0","0","0","2,225,000","245,000","1,980,000","2,225,000","245,000","1,980,000",
="03454P","滬深2X凱基6B售01","0","0","0","1,810,000","0","1,810,000","1,810,000","0","1,810,000",
"3006  ","晶豪科          ","249,000","91,000","158,000","1,702,000","276,000","1,426,000","1,951,000","367,000","1,584,000",
="061203","台積電統一73購02","0","0","0","1,851,000","278,000","1,573,000","1,851,000","278,000","1,573,000",
="057533","訊芯永豐6A購01  ","0","0","0","1,551,000","0","1,551,000","1,551,000","0","1,551,000",
="061519","群創統一71購03  ","0","0","0","1,740,000","236,000","1,504,000","1,740,000","236,000","1,504,000",
="063923","京鼎元大75購01  ","0","0","0","1,566,000","90,000","1,476,000","1,566,000","90,000","1,476,000",
="061565","中石化永昌6C購01","0","0","0","1,839,000","400,000","1,439,000","1,839,000","400,000","1,439,000",
="064061","彩晶統一73購02  ","0","0","0","2,751,000","1,312,000","1,439,000","2,751,000","1,312,000","1,439,000",
="059213","友達群益6B購02  ","0","0","0","1,480,000","60,000","1,420,000","1,480,000","60,000","1,420,000",
="061466","貿聯元大6C購01  ","0","0","0","2,210,000","795,000","1,415,000","2,210,000","795,000","1,415,000",
="057169","景碩玉山68購01  ","0","0","0","1,403,000","0","1,403,000","1,403,000","0","1,403,000",
="03376P","台灣50元富72售02","0","0","0","1,864,000","471,000","1,393,000","1,864,000","471,000","1,393,000",
="063581","建準元大71購03  ","0","0","0","1,889,000","535,000","1,354,000","1,889,000","535,000","1,354,000",
="055005","永冠統一68購02  ","0","0","0","1,353,000","0","1,353,000","1,353,000","0","1,353,000",
="059570","華邦電統一6A購06","0","0","0","1,560,000","215,000","1,345,000","1,560,000","215,000","1,345,000",
="060388","華邦電日盛6B購01","0","0","0","1,579,000","235,000","1,344,000","1,579,000","235,000","1,344,000",
="061382","台勝科凱基6C購01","0","0","0","1,742,000","402,000","1,340,000","1,742,000","402,000","1,340,000",
="063640","京鼎國泰73購02  ","0","0","0","1,406,000","80,000","1,326,000","1,406,000","80,000","1,326,000",
="03383P","臺股指統一71售04","0","0","0","1,874,000","565,000","1,309,000","1,874,000","565,000","1,309,000",
="060978","綠悅群益71購01  ","0","0","0","1,320,000","40,000","1,280,000","1,320,000","40,000","1,280,000",
="059926","可成群益6B購02  ","0","0","0","1,304,000","25,000","1,279,000","1,304,000","25,000","1,279,000",
="059755","台橡元大6C購01  ","0","0","0","1,281,000","3,000","1,278,000","1,281,000","3,000","1,278,000",
="056380","彩晶群益6A購01  ","0","0","0","1,492,000","228,000","1,264,000","1,492,000","228,000","1,264,000",
="057861","T50反1中信73購01","0","0","0","1,221,000","0","1,221,000","1,221,000","0","1,221,000",
="062160","統一國泰6C購01  ","0","0","0","1,265,000","50,000","1,215,000","1,265,000","50,000","1,215,000",
="063741","啟碁永豐71購01  ","0","0","0","1,317,000","113,000","1,204,000","1,317,000","113,000","1,204,000",
="03538P","TPK國泰6B售04   ","0","0","0","1,211,000","30,000","1,181,000","1,211,000","30,000","1,181,000",
="00634R","富邦上証反1     ","0","0","0","1,336,000","156,000","1,180,000","1,336,000","156,000","1,180,000",
