"106年07月19日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="0056  ","元大高股息      ","0","0","0","1,299,000","0","1,299,000","1,299,000","0","1,299,000",
="057349","亞光凱基68購04  ","0","0","0","1,683,000","395,000","1,288,000","1,683,000","395,000","1,288,000",
="063102","上銀統一72購01  ","0","0","0","3,514,000","2,234,000","1,280,000","3,514,000","2,234,000","1,280,000",
="062020","創意永豐6C購03  ","0","0","0","1,829,000","580,000","1,249,000","1,829,000","580,000","1,249,000",
="062027","友達兆豐71購02  ","0","0","0","1,353,000","105,000","1,248,000","1,353,000","105,000","1,248,000",
="060528","南亞科凱基6B購03","0","0","0","2,374,000","1,146,000","1,228,000","2,374,000","1,146,000","1,228,000",
="060525","正隆凱基6B購01  ","0","0","0","1,853,000","626,000","1,227,000","1,853,000","626,000","1,227,000",
="057213","中磊永豐68購01  ","0","0","0","1,222,000","0","1,222,000","1,222,000","0","1,222,000",
="00631L","元大台灣50正2   ","0","112,000","-112,000","1,829,000","499,000","1,330,000","1,829,000","611,000","1,218,000",
="062355","群創統一71購04  ","0","0","0","1,270,000","60,000","1,210,000","1,270,000","60,000","1,210,000",
="059704","上銀元富6A購02  ","0","0","0","1,251,000","49,000","1,202,000","1,251,000","49,000","1,202,000",
="062169","南亞科凱基6C購01","0","0","0","1,703,000","513,000","1,190,000","1,703,000","513,000","1,190,000",
="059908","瑞儀元富6B購01  ","0","0","0","1,428,000","248,000","1,180,000","1,428,000","248,000","1,180,000",
="063197","台勝科統一72購01","0","0","0","1,302,000","138,000","1,164,000","1,302,000","138,000","1,164,000",
="062545","鴻海永昌77購02  ","0","0","0","1,746,000","584,000","1,162,000","1,746,000","584,000","1,162,000",
="058993","瑞儀群益6B購01  ","0","0","0","1,145,000","0","1,145,000","1,145,000","0","1,145,000",
="061393","台勝科統一6C購02","0","0","0","1,435,000","300,000","1,135,000","1,435,000","300,000","1,135,000",
="060102","中磊群益6B購01  ","0","0","0","1,143,000","21,000","1,122,000","1,143,000","21,000","1,122,000",
="063039","友達兆豐72購02  ","0","0","0","1,663,000","547,000","1,116,000","1,663,000","547,000","1,116,000",
="061200","高鐵富邦72購01  ","0","0","0","1,112,000","0","1,112,000","1,112,000","0","1,112,000",
="061816","台勝科日盛6C購02","0","0","0","1,167,000","61,000","1,106,000","1,167,000","61,000","1,106,000",
="062875","晶豪科元大71購03","0","0","0","1,212,000","118,000","1,094,000","1,212,000","118,000","1,094,000",
"2412  ","中華電          ","293,000","2,000","291,000","800,000","0","800,000","1,093,000","2,000","1,091,000",
"2377  ","微星            ","734,000","233,000","501,000","914,000","325,000","589,000","1,648,000","558,000","1,090,000",
="060110","上銀元大6C購01  ","0","0","0","1,271,000","182,000","1,089,000","1,271,000","182,000","1,089,000",
="057833","東聯群益6A購01  ","0","0","0","1,151,000","64,000","1,087,000","1,151,000","64,000","1,087,000",
="061958","樺漢統一72購01  ","0","0","0","1,458,000","381,000","1,077,000","1,458,000","381,000","1,077,000",
="061555","友訊凱基6C購01  ","0","0","0","1,084,000","10,000","1,074,000","1,084,000","10,000","1,074,000",
="060940","滬深2X元大6C購01","0","0","0","1,366,000","311,000","1,055,000","1,366,000","311,000","1,055,000",
="059563","華新科日盛6A購01","0","0","0","1,592,000","543,000","1,049,000","1,592,000","543,000","1,049,000",
="062233","上証2X元大6C購06","0","0","0","1,067,000","25,000","1,042,000","1,067,000","25,000","1,042,000",
="060078","群創兆豐6C購01  ","0","0","0","1,093,000","60,000","1,033,000","1,093,000","60,000","1,033,000",
="058826","正隆元富6B購01  ","0","0","0","1,082,000","50,000","1,032,000","1,082,000","50,000","1,032,000",
="060324","瑞儀兆豐6C購01  ","0","0","0","1,270,000","246,000","1,024,000","1,270,000","246,000","1,024,000",
="060692","滬深2X凱基6B購02","0","0","0","1,231,000","207,000","1,024,000","1,231,000","207,000","1,024,000",
="060885","健鼎永豐6B購02  ","0","0","0","1,251,000","236,000","1,015,000","1,251,000","236,000","1,015,000",
="060285","上銀元大6B購05  ","0","0","0","1,237,000","227,000","1,010,000","1,237,000","227,000","1,010,000",
="054444","聯鈞統一69購01  ","0","0","0","1,146,000","137,000","1,009,000","1,146,000","137,000","1,009,000",
="061365","台勝科元大71購01","0","0","0","1,082,000","75,000","1,007,000","1,082,000","75,000","1,007,000",
="061480","聯鈞元富6C購01  ","0","0","0","1,363,000","360,000","1,003,000","1,363,000","360,000","1,003,000",
="054818","晶豪科元大69購01","0","0","0","1,000,000","1,000","999,000","1,000,000","1,000","999,000",
="055904","FB上証群益68購02","0","0","0","998,000","0","998,000","998,000","0","998,000",
="061674","綠悅元大6C購03  ","0","0","0","1,223,000","235,000","988,000","1,223,000","235,000","988,000",
="060146","GIS凱基6C購01   ","0","0","0","2,830,000","1,843,000","987,000","2,830,000","1,843,000","987,000",
="060661","上銀元大6B購06  ","0","0","0","1,032,000","49,000","983,000","1,032,000","49,000","983,000",
="062293","正隆永豐71購01  ","0","0","0","1,061,000","90,000","971,000","1,061,000","90,000","971,000",
="061300","佳世達國泰6C購02","0","0","0","1,035,000","71,000","964,000","1,035,000","71,000","964,000",
="063042","元大金兆豐71購01","0","0","0","2,111,000","1,152,000","959,000","2,111,000","1,152,000","959,000",
="03766P","儒鴻統一71售02  ","0","0","0","976,000","25,000","951,000","976,000","25,000","951,000",
="061927","華邦電日盛71購01","0","0","0","978,000","32,000","946,000","978,000","32,000","946,000",
="059855","華新科兆豐6C購01","0","0","0","950,000","10,000","940,000","950,000","10,000","940,000",
="057613","上銀統一6A購01  ","0","0","0","1,083,000","144,000","939,000","1,083,000","144,000","939,000",
="060367","台郡永昌6C購01  ","0","0","0","1,847,000","909,000","938,000","1,847,000","909,000","938,000",
="059697","敦泰元大6B購01  ","0","0","0","1,059,000","124,000","935,000","1,059,000","124,000","935,000",
="061249","上証2X凱基6C購03","0","0","0","1,000,000","65,000","935,000","1,000,000","65,000","935,000",
="058298","義隆元大69購02  ","0","0","0","1,676,000","746,000","930,000","1,676,000","746,000","930,000",
="059056","上銀中信6C購01  ","0","0","0","1,048,000","124,000","924,000","1,048,000","124,000","924,000",
="061070","佳世達國票71購01","0","0","0","918,000","0","918,000","918,000","0","918,000",
="057978","上銀凱基69購02  ","0","0","0","1,233,000","316,000","917,000","1,233,000","316,000","917,000",
="058773","信錦永豐6A購01  ","0","0","0","975,000","60,000","915,000","975,000","60,000","915,000",
="060847","TPK國泰71購01   ","0","0","0","1,495,000","593,000","902,000","1,495,000","593,000","902,000",
="057490","晶豪科元大69購03","0","0","0","1,000,000","100,000","900,000","1,000,000","100,000","900,000",
="058240","綠悅元大6A購01  ","0","0","0","900,000","0","900,000","900,000","0","900,000",
="058525","南亞凱基6A購01  ","0","0","0","1,063,000","164,000","899,000","1,063,000","164,000","899,000",
"8112  ","至上            ","0","0","0","1,049,000","152,000","897,000","1,049,000","152,000","897,000",
="060369","智易元富6C購01  ","0","0","0","895,000","0","895,000","895,000","0","895,000",
="062078","台勝科元大6C購03","0","0","0","1,158,000","265,000","893,000","1,158,000","265,000","893,000",
="060795","上銀統一71購01  ","0","0","0","1,899,000","1,026,000","873,000","1,899,000","1,026,000","873,000",
="060680","彩晶玉山6B購01  ","0","0","0","915,000","50,000","865,000","915,000","50,000","865,000",
="061092","樺漢群益71購02  ","0","0","0","1,029,000","165,000","864,000","1,029,000","165,000","864,000",
="060095","瑞儀永豐6B購01  ","0","0","0","902,000","43,000","859,000","902,000","43,000","859,000",
="061834","上銀元富6C購02  ","0","0","0","1,264,000","408,000","856,000","1,264,000","408,000","856,000",
="062571","友達統一73購01  ","0","0","0","1,339,000","502,000","837,000","1,339,000","502,000","837,000",
="063227","樺漢統一72購02  ","0","0","0","2,182,000","1,346,000","836,000","2,182,000","1,346,000","836,000",
="056662","瑞儀第一72購01  ","0","0","0","834,000","0","834,000","834,000","0","834,000",
="006206","元大上證50      ","194,000","20,000","174,000","1,110,000","453,000","657,000","1,304,000","473,000","831,000",
="03291P","仁寶元大6B售01  ","0","0","0","851,000","20,000","831,000","851,000","20,000","831,000",
="057284","開發金國泰69購01","0","0","0","901,000","80,000","821,000","901,000","80,000","821,000",
="058690","信錦群益6A購01  ","0","0","0","1,046,000","230,000","816,000","1,046,000","230,000","816,000",
="059222","群創群益6A購03  ","0","0","0","1,347,000","535,000","812,000","1,347,000","535,000","812,000",
="060120","盛餘元大6B購01  ","0","0","0","852,000","40,000","812,000","852,000","40,000","812,000",
="061388","台勝科日盛6C購01","0","0","0","913,000","102,000","811,000","913,000","102,000","811,000",
"3545  ","敦泰            ","511,000","0","511,000","488,000","190,000","298,000","999,000","190,000","809,000",
="058144","瑞儀永豐69購01  ","0","0","0","883,000","78,000","805,000","883,000","78,000","805,000",
="04096P","鴻海元大6C售16  ","0","0","0","1,627,000","825,000","802,000","1,627,000","825,000","802,000",
="061602","滬深2X統一71購02","0","0","0","798,000","0","798,000","798,000","0","798,000",
="059590","瑞儀元大6A購01  ","0","0","0","1,764,000","967,000","797,000","1,764,000","967,000","797,000",
="059130","全新永豐6A購03  ","0","0","0","816,000","21,000","795,000","816,000","21,000","795,000",
="062510","友達凱基71購03  ","0","0","0","985,000","193,000","792,000","985,000","193,000","792,000",
="04140P","東聯元大74售03  ","0","0","0","1,056,000","265,000","791,000","1,056,000","265,000","791,000",
